dialog,order,influence,sender
insult,initiator,-1,Michael
thanks,initiator,5,Dylan
compliment,initiator,0,Michael
compliment,initiator,26,Michael
ignore,receiver,-4,Kofi
ignore,initiator,-5,Tony
compliment,receiver,28,Spongebob
compliment,receiver,30,Emma
compliment,initiator,16,Claire
insult,initiator,-80,Kofi
argue,receiver,5,Pearl
joke,receiver,1,Spongebob
thanks,initiator,0,Dylan
compliment,receiver,0,Emma
ignore,initiator,-3,Ponchis
argue,receiver,-10,Pearl
thanks,initiator,0,Patrick
joke,receiver,1,Michael
insult,initiator,-1,Plankton
compliment,receiver,0,Amber
joke,receiver,2,Micah
compliment,receiver,13,Amber
compliment,receiver,-4,Amber
thanks,initiator,5,Oliver
thanks,initiator,0,Micah
compliment,receiver,0,Pearl
compliment,receiver,0,Dylan
argue,receiver,0,Tony
thanks,initiator,0,Emily
thanks,initiator,5,Oliver
argue,receiver,3,Pearl
insult,initiator,-14,Conald
compliment,receiver,-5,Dylan
joke,receiver,4,Dylan
compliment,receiver,-2,Spongebob
joke,receiver,2,Emma
argue,receiver,2,Emily
argue,receiver,0,Michael
compliment,receiver,26,Ponchis
thanks,receiver,6,Eugene
joke,receiver,5,Ponchis
joke,receiver,0,Claire
thanks,initiator,0,Micah
thanks,initiator,6,Patrick
thanks,initiator,6,Spongebob
compliment,receiver,30,Spongebob
thanks,initiator,7,Ben
insult,receiver,0,Kofi
insult,initiator,-48,Kofi
compliment,receiver,15,Claire
thanks,initiator,6,Claire
ignore,initiator,0,Ponchis
compliment,receiver,0,Dylan
compliment,initiator,15,Michael
thanks,receiver,0,Pearl
joke,receiver,2,Amber
joke,receiver,3,Spongebob
thanks,initiator,0,Claire
joke,receiver,1,Jimmy
joke,receiver,4,Ben
thanks,initiator,6,Spongebob
argue,receiver,-6,Ponchis
argue,receiver,-5,Tony
ignore,initiator,-1,Tony
ignore,initiator,-4,Kofi
insult,receiver,-48,Conald
compliment,receiver,-4,Kofi
insult,receiver,-5,Kofi
thanks,initiator,5,Dylan
compliment,initiator,28,Ben
argue,receiver,0,Pearl
insult,receiver,0,Conald
ignore,initiator,-4,Jimmy
argue,initiator,2,Kofi
ignore,initiator,-3,Squidward
thanks,initiator,6,Patrick
joke,receiver,4,Ponchis
thanks,initiator,6,Micah
thanks,initiator,6,Patrick
argue,receiver,-10,Claire
joke,receiver,0,Michael
argue,receiver,2,Ponchis
joke,receiver,0,Oliver
compliment,receiver,15,Ben
insult,receiver,-3,Ponchis
thanks,initiator,0,Amber
joke,receiver,1,Eugene
joke,receiver,3,Micah
thanks,initiator,6,Emma
compliment,receiver,-5,Emily
thanks,initiator,6,Patrick
compliment,receiver,-2,Oliver
thanks,initiator,6,Emily
joke,receiver,3,Eugene
joke,receiver,1,Jimmy
ignore,initiator,0,Squidward
joke,receiver,1,Eugene
argue,receiver,-6,Tony
ignore,initiator,-2,Tony
joke,receiver,5,Oliver
compliment,receiver,0,Amber
thanks,initiator,0,Dylan
argue,receiver,2,Pearl
insult,initiator,0,Tony
insult,initiator,-2,Conald
thanks,initiator,7,Spongebob
thanks,initiator,0,Spongebob
ignore,initiator,-2,Tony
compliment,receiver,0,Emma
compliment,receiver,-3,Emily
joke,receiver,3,Amber
thanks,initiator,0,Micah
insult,receiver,-3,Conald
argue,receiver,4,Kofi
thanks,receiver,0,Tony
thanks,initiator,0,Dylan
insult,receiver,0,Michael
argue,receiver,0,Kofi
insult,receiver,-3,Conald
thanks,initiator,0,Eugene
ignore,initiator,0,Tony
joke,receiver,2,Oliver
argue,initiator,4,Plankton
thanks,initiator,7,Squidward
thanks,initiator,7,Ben
ignore,initiator,-2,Tony
joke,initiator,1,Ben
insult,receiver,-4,Michael
joke,initiator,2,Amber
compliment,receiver,17,Spongebob
ignore,receiver,0,Conald
argue,receiver,1,Kofi
compliment,receiver,17,Oliver
compliment,initiator,0,Michael
compliment,initiator,0,Emily
joke,receiver,5,Eugene
compliment,initiator,17,Ben
compliment,initiator,17,Jimmy
ignore,initiator,-3,Squidward
compliment,receiver,0,Pearl
ignore,receiver,-3,Kofi
joke,receiver,0,Spongebob
compliment,initiator,17,Ben
compliment,initiator,17,Dylan
compliment,initiator,34,Spongebob
insult,initiator,-85,Jimmy
thanks,initiator,3,Claire
thanks,initiator,5,Eugene
thanks,initiator,5,Eugene
insult,initiator,-3,Patrick
compliment,initiator,28,Amber
compliment,initiator,0,Ben
thanks,initiator,3,Eugene
thanks,receiver,2,Conald
compliment,initiator,1,Oliver
compliment,receiver,4,Kofi
insult,initiator,-5,Conald
insult,receiver,0,Pearl
ignore,initiator,-1,Oliver
argue,receiver,0,Kofi
thanks,initiator,0,Ben
ignore,initiator,-2,Ponchis
insult,initiator,0,Eugene
insult,initiator,-70,Kofi
ignore,receiver,0,Conald
compliment,receiver,7,Jimmy
joke,receiver,9,Ponchis
compliment,receiver,24,Spongebob
joke,receiver,2,Dylan
thanks,receiver,4,Pearl
insult,receiver,-13,Michael
thanks,initiator,2,Amber
compliment,receiver,12,Amber
thanks,initiator,3,Dylan
