dialog,order,influence,sender
thanks,initiator,0,Spongebob
insult,initiator,-5,Ponchis
thanks,initiator,0,Alex
insult,receiver,-2,Conald
compliment,initiator,13,Alex
thanks,initiator,0,Alex
thanks,initiator,0,Claire
insult,receiver,-5,Jimmy
argue,initiator,0,Tony
thanks,initiator,5,Micah
compliment,initiator,14,Emily
thanks,initiator,6,Decoy
argue,receiver,2,Pearl
ignore,initiator,-2,Tony
argue,initiator,0,Pearl
thanks,initiator,0,Oliver
joke,receiver,0,Spongebob
joke,receiver,0,Emma
ignore,initiator,-10,Oliver
thanks,initiator,0,Spongebob
thanks,initiator,0,Dylan
compliment,receiver,0,Pearl
insult,initiator,-56,Kofi
compliment,receiver,0,Emily
thanks,initiator,4,Decoy
thanks,initiator,4,Eugene
compliment,receiver,0,Micah
insult,receiver,-3,Emily
thanks,initiator,4,Pearl
argue,initiator,6,Squidward
joke,receiver,5,Ponchis
joke,receiver,1,Micah
thanks,initiator,0,Patrick
compliment,initiator,12,Michael
compliment,receiver,0,Conald
argue,receiver,2,Pearl
ignore,receiver,-4,Pearl
insult,receiver,-4,Conald
compliment,receiver,26,Ben
argue,receiver,0,Emily
argue,receiver,3,Pearl
ignore,initiator,0,Ponchis
joke,receiver,2,Ben
insult,receiver,-5,Michael
thanks,initiator,0,Emma
joke,initiator,0,Spongebob
joke,receiver,5,Emma
thanks,initiator,0,Alex
thanks,receiver,0,Ponchis
thanks,initiator,0,Pearl
compliment,receiver,-1,Claire
ignore,initiator,0,Tony
insult,receiver,0,Conald
thanks,initiator,5,Decoy
argue,initiator,3,Plankton
thanks,initiator,5,Claire
compliment,initiator,28,Spongebob
joke,receiver,1,Michael
ignore,receiver,0,Michael
compliment,receiver,-3,Emily
insult,receiver,-2,Tony
thanks,initiator,6,Dylan
thanks,initiator,0,Decoy
ignore,initiator,-3,Tony
thanks,initiator,6,Emma
thanks,initiator,6,Ben
insult,initiator,-3,Squidward
thanks,initiator,6,Spongebob
thanks,initiator,0,Patrick
ignore,receiver,-1,Kofi
thanks,initiator,0,Dylan
ignore,initiator,-4,Squidward
thanks,initiator,0,Ben
insult,receiver,0,Kofi
ignore,initiator,0,Michael
compliment,initiator,-1,Ben
compliment,initiator,0,Spongebob
thanks,receiver,6,Ponchis
thanks,initiator,0,Emma
compliment,receiver,32,Alex
ignore,initiator,0,Michael
insult,initiator,-5,Kofi
thanks,initiator,0,Decoy
thanks,initiator,0,Claire
thanks,initiator,7,Patrick
joke,receiver,3,Emma
thanks,initiator,7,Claire
argue,receiver,3,Pearl
joke,receiver,5,Micah
joke,receiver,5,Ponchis
compliment,initiator,34,Ben
thanks,initiator,0,Alex
compliment,receiver,17,Emma
ignore,initiator,-3,Tony
thanks,initiator,0,Spongebob
argue,initiator,5,Michael
thanks,initiator,0,Patrick
thanks,initiator,0,Dylan
argue,receiver,4,Pearl
argue,initiator,4,Plankton
insult,receiver,-4,Kofi
joke,initiator,0,Michael
thanks,initiator,7,Eugene
thanks,initiator,7,Pearl
joke,receiver,0,Jimmy
thanks,initiator,0,Alex
joke,receiver,0,Oliver
insult,receiver,-85,Conald
argue,receiver,0,Decoy
compliment,receiver,-1,Claire
joke,receiver,1,Eugene
compliment,receiver,0,Emma
compliment,initiator,26,Ben
ignore,initiator,0,Squidward
argue,receiver,-9,Kofi
joke,receiver,4,Eugene
ignore,initiator,-1,Jimmy
ignore,initiator,-2,Tony
compliment,receiver,0,Ben
thanks,receiver,5,Micah
thanks,initiator,0,Claire
insult,receiver,-5,Kofi
argue,receiver,5,Kofi
thanks,initiator,0,Claire
compliment,receiver,28,Alex
thanks,initiator,6,Emily
argue,receiver,-8,Conald
argue,receiver,1,Pearl
compliment,receiver,0,Dylan
joke,receiver,2,Ponchis
thanks,initiator,6,Eugene
insult,receiver,-60,Kofi
compliment,receiver,26,Emma
ignore,initiator,0,Plankton
ignore,receiver,0,Kofi
argue,receiver,-5,Squidward
compliment,receiver,28,Decoy
ignore,receiver,-4,Kofi
argue,initiator,2,Dom
joke,receiver,1,Spongebob
thanks,initiator,6,Dom
argue,receiver,0,Pearl
joke,receiver,2,Emily
thanks,initiator,0,Pearl
thanks,initiator,0,Oliver
thanks,receiver,0,Tony
joke,receiver,5,Alex
joke,receiver,5,Ben
joke,receiver,4,Michael
insult,receiver,-1,Jimmy
argue,receiver,4,Michael
thanks,initiator,0,Dom
thanks,initiator,0,Decoy
compliment,initiator,15,Jimmy
thanks,initiator,0,Claire
ignore,initiator,0,Ponchis
ignore,initiator,0,Ponchis
argue,receiver,-10,Alex
joke,receiver,1,Eugene
thanks,initiator,0,Alex
compliment,receiver,32,Kofi
joke,receiver,3,Dylan
insult,receiver,-2,Pearl
argue,initiator,0,Dom
thanks,initiator,0,Eugene
compliment,receiver,-1,Pearl
joke,receiver,0,Oliver
thanks,initiator,0,Michael
compliment,receiver,34,Eugene
thanks,initiator,5,Jimmy
insult,initiator,-3,Conald
ignore,initiator,-4,Tony
argue,receiver,-7,Kofi
compliment,receiver,0,Eugene
argue,initiator,-3,Ponchis
ignore,initiator,-5,Ponchis
thanks,initiator,7,Emily
thanks,receiver,0,Claire
thanks,initiator,0,Spongebob
compliment,receiver,0,Oliver
thanks,initiator,7,Emily
joke,receiver,5,Eugene
argue,receiver,0,Spongebob
thanks,initiator,7,Oliver
compliment,receiver,0,Pearl
argue,receiver,0,Kofi
compliment,receiver,17,Spongebob
argue,receiver,-6,Spongebob
thanks,initiator,7,Alex
argue,receiver,-2,Michael
thanks,initiator,7,Dom
compliment,receiver,0,Spongebob
argue,receiver,-9,Claire
compliment,initiator,32,Dom
compliment,receiver,34,Oliver
ignore,initiator,0,Tony
compliment,initiator,-3,Emily
ignore,receiver,0,Michael
thanks,initiator,0,Oliver
joke,receiver,1,Ponchis
compliment,receiver,-1,Eugene
joke,receiver,3,Ponchis
thanks,initiator,7,Dom
compliment,initiator,-2,Claire
argue,receiver,0,Conald
compliment,receiver,17,Emma
compliment,receiver,34,Emily
argue,receiver,0,Emma
argue,receiver,1,Conald
argue,initiator,2,Kofi
ignore,initiator,-1,Patrick
joke,receiver,4,Emma
joke,receiver,2,Micah
thanks,initiator,7,Decoy
thanks,initiator,0,Dylan
ignore,initiator,0,Kofi
argue,initiator,5,Plankton
insult,receiver,-5,Michael
joke,initiator,0,Ben
argue,receiver,3,Kofi
argue,receiver,-5,Squidward
thanks,initiator,7,Decoy
thanks,initiator,7,Dylan
thanks,initiator,7,Eugene
thanks,initiator,7,Emily
compliment,initiator,0,Micah
joke,receiver,3,Spongebob
thanks,initiator,7,Patrick
thanks,initiator,7,Eugene
insult,initiator,-1,Conald
thanks,initiator,7,Alex
ignore,initiator,-4,Tony
thanks,initiator,0,Jimmy
joke,initiator,5,Ben
compliment,receiver,-5,Oliver
compliment,initiator,32,Ben
ignore,initiator,-1,Squidward
thanks,initiator,0,Ben
ignore,initiator,0,Plankton
ignore,receiver,-2,Conald
compliment,receiver,-3,Micah
thanks,initiator,7,Patrick
insult,receiver,-3,Kofi
compliment,initiator,0,Spongebob
compliment,initiator,-5,Claire
thanks,initiator,7,Decoy
thanks,initiator,7,Squidward
compliment,initiator,-3,Dylan
thanks,initiator,0,Patrick
thanks,initiator,0,Spongebob
thanks,initiator,7,Alex
thanks,initiator,7,Alex
insult,receiver,-34,Tony
compliment,initiator,0,Michael
thanks,initiator,6,Emma
thanks,initiator,0,Squidward
thanks,initiator,0,Micah
ignore,initiator,-1,Squidward
joke,receiver,0,Eugene
compliment,receiver,32,Pearl
joke,receiver,0,Ben
thanks,initiator,0,Alex
argue,initiator,2,Plankton
thanks,initiator,7,Decoy
thanks,initiator,0,Claire
argue,receiver,-8,Alex
ignore,initiator,-1,Ponchis
thanks,initiator,7,Dom
joke,receiver,2,Emma
compliment,receiver,0,Kofi
joke,initiator,0,Claire
thanks,initiator,0,Eugene
insult,receiver,0,Michael
compliment,initiator,17,Oliver
ignore,receiver,-2,Conald
thanks,initiator,0,Pearl
ignore,initiator,-2,Ponchis
compliment,initiator,34,Jimmy
compliment,receiver,0,Claire
thanks,initiator,0,Squidward
compliment,receiver,17,Kofi
thanks,receiver,0,Conald
compliment,receiver,-4,Spongebob
compliment,receiver,34,Decoy
joke,initiator,3,Claire
thanks,initiator,0,Emma
compliment,receiver,17,Micah
thanks,initiator,7,Jimmy
compliment,receiver,0,Michael
compliment,receiver,0,Jimmy
joke,receiver,3,Dylan
ignore,initiator,-1,Tony
joke,receiver,0,Emily
thanks,initiator,0,Micah
insult,receiver,-2,Conald
compliment,receiver,-2,Oliver
compliment,receiver,0,Claire
argue,receiver,0,Emma
argue,initiator,-6,Squidward
compliment,receiver,32,Emma
joke,receiver,5,Emily
joke,initiator,5,Emily
thanks,initiator,7,Dom
thanks,initiator,7,Dylan
compliment,initiator,17,Emily
compliment,receiver,-2,Micah
argue,receiver,0,Kofi
compliment,receiver,0,Alex
compliment,initiator,0,Decoy
joke,receiver,4,Oliver
thanks,initiator,7,Patrick
compliment,receiver,34,Pearl
argue,initiator,-5,Plankton
thanks,initiator,0,Spongebob
compliment,initiator,32,Patrick
compliment,receiver,0,Spongebob
insult,receiver,0,Michael
argue,receiver,0,Kofi
compliment,receiver,-5,Kofi
argue,receiver,-6,Michael
