dialog,order,influence,sender
ignore,receiver,0,Kofi
argue,receiver,-1,Emma
argue,initiator,5,Eugene
joke,receiver,2,Spongebob
compliment,receiver,-3,Kofi
ignore,initiator,0,Ponchis
argue,receiver,-1,Ponchis
compliment,receiver,0,Claire
argue,receiver,-4,Michael
insult,initiator,0,Micah
argue,receiver,-6,Pearl
insult,receiver,-2,Tony
joke,receiver,3,Eugene
thanks,receiver,1,Oliver
argue,receiver,1,Eugene
joke,initiator,3,Micah
insult,receiver,-1,Michael
joke,receiver,4,Patrick
argue,receiver,-1,Kofi
joke,receiver,2,Micah
joke,receiver,0,Michael
compliment,receiver,10,Claire
argue,receiver,0,Squidward
compliment,initiator,10,Claire
joke,receiver,0,Emma
thanks,initiator,1,Patrick
joke,receiver,4,Ponchis
argue,initiator,-6,Squidward
compliment,initiator,10,Dylan
argue,receiver,0,Pearl
ignore,initiator,-5,Tony
ignore,initiator,-4,Tony
thanks,initiator,0,Amber
thanks,initiator,0,Dom
argue,receiver,5,Conald
compliment,receiver,0,Dylan
thanks,initiator,0,Pearl
joke,receiver,0,Alex
thanks,initiator,0,Pearl
thanks,initiator,1,Amber
argue,receiver,-6,Kofi
thanks,initiator,0,Decoy
joke,receiver,1,Claire
joke,receiver,0,Oliver
compliment,receiver,-3,Claire
insult,initiator,-20,Squidward
thanks,initiator,0,Emma
ignore,initiator,-2,Jimmy
insult,receiver,-3,Conald
compliment,receiver,5,Eugene
thanks,initiator,0,Claire
ignore,initiator,-1,Jimmy
thanks,initiator,0,Alex
thanks,initiator,1,Spongebob
compliment,receiver,10,Spongebob
ignore,initiator,-1,Jimmy
ignore,initiator,0,Jimmy
ignore,initiator,-1,Squidward
thanks,initiator,0,Decoy
insult,initiator,-5,Pearl
insult,receiver,-4,Michael
ignore,initiator,-5,Oliver
argue,initiator,-1,Dom
joke,receiver,4,Alex
thanks,initiator,0,Emma
thanks,initiator,1,Decoy
compliment,receiver,10,Amber
joke,receiver,1,Amber
thanks,initiator,1,Claire
ignore,initiator,-2,Tony
thanks,initiator,0,Emma
compliment,receiver,0,Amber
thanks,initiator,1,Emma
thanks,initiator,0,Claire
argue,initiator,0,Kofi
insult,receiver,-3,Conald
thanks,initiator,1,Alex
ignore,initiator,-2,Squidward
thanks,initiator,0,Dylan
argue,receiver,0,Pearl
insult,receiver,-4,Conald
argue,receiver,-3,Ponchis
thanks,initiator,0,Patrick
insult,initiator,-4,Michael
ignore,initiator,-3,Tony
thanks,initiator,0,Spongebob
compliment,receiver,-1,Michael
joke,receiver,0,Jimmy
thanks,initiator,0,Dom
argue,receiver,-7,Amber
thanks,initiator,0,Eugene
joke,initiator,4,Emma
ignore,initiator,-1,Ponchis
joke,receiver,5,Michael
argue,receiver,-3,Pearl
insult,receiver,-2,Kofi
ignore,initiator,-2,Tony
ignore,initiator,-5,Eugene
joke,initiator,0,Oliver
compliment,receiver,-2,Emily
compliment,receiver,5,Claire
thanks,initiator,1,Patrick
insult,receiver,0,Kofi
thanks,initiator,0,Dylan
ignore,initiator,-4,Tony
joke,receiver,4,Kofi
argue,receiver,0,Conald
compliment,receiver,-4,Kofi
insult,receiver,0,Tony
thanks,initiator,0,Pearl
ignore,initiator,0,Tony
compliment,receiver,0,Micah
ignore,initiator,0,Claire
compliment,receiver,0,Decoy
ignore,initiator,-1,Plankton
joke,receiver,0,Oliver
insult,initiator,-3,Kofi
ignore,initiator,-2,Ponchis
thanks,initiator,0,Claire
thanks,initiator,0,Claire
compliment,receiver,10,Amber
ignore,initiator,0,Tony
thanks,initiator,0,Pearl
ignore,initiator,-2,Ponchis
thanks,initiator,0,Eugene
ignore,initiator,-1,Oliver
joke,initiator,2,Michael
insult,receiver,-5,Kofi
compliment,receiver,0,Alex
insult,initiator,0,Squidward
thanks,initiator,0,Amber
compliment,initiator,0,Micah
compliment,initiator,10,Emma
argue,initiator,-8,Squidward
ignore,initiator,-3,Conald
insult,initiator,-3,Conald
ignore,receiver,-4,Conald
compliment,receiver,0,Alex
joke,receiver,3,Ponchis
thanks,initiator,1,Eugene
thanks,initiator,0,Patrick
joke,receiver,0,Michael
joke,receiver,0,Patrick
joke,receiver,1,Ponchis
ignore,initiator,-5,Decoy
insult,receiver,-5,Kofi
compliment,receiver,-2,Decoy
thanks,initiator,0,Dylan
argue,receiver,4,Ponchis
joke,receiver,0,Alex
thanks,receiver,0,Ponchis
thanks,initiator,0,Micah
insult,initiator,-3,Conald
insult,receiver,-4,Micah
joke,initiator,0,Dylan
insult,initiator,0,Conald
joke,receiver,0,Alex
joke,initiator,0,Emma
thanks,initiator,0,Squidward
joke,receiver,1,Decoy
insult,initiator,-4,Conald
ignore,initiator,0,Ponchis
compliment,receiver,10,Alex
joke,initiator,4,Amber
joke,receiver,5,Oliver
compliment,receiver,12,Decoy
insult,receiver,-3,Conald
compliment,receiver,0,Alex
compliment,initiator,-4,Jimmy
thanks,initiator,0,Emily
thanks,initiator,2,Dom
ignore,receiver,-1,Eugene
joke,receiver,0,Micah
compliment,receiver,0,Michael
ignore,initiator,0,Michael
thanks,initiator,2,Pearl
thanks,initiator,2,Eugene
compliment,receiver,0,Pearl
joke,receiver,4,Ponchis
insult,initiator,-24,Kofi
compliment,receiver,0,Jimmy
thanks,initiator,0,Alex
argue,receiver,5,Dylan
compliment,initiator,-5,Emily
argue,receiver,1,Kofi
joke,receiver,2,Alex
compliment,initiator,5,Claire
joke,receiver,2,Micah
compliment,receiver,0,Emma
joke,receiver,0,Kofi
joke,receiver,4,Dylan
thanks,initiator,0,Claire
argue,receiver,2,Michael
insult,receiver,-5,Michael
argue,receiver,-9,Jimmy
compliment,receiver,-1,Pearl
argue,receiver,1,Squidward
thanks,receiver,0,Pearl
compliment,receiver,-2,Spongebob
thanks,initiator,1,Claire
thanks,initiator,0,Decoy
joke,initiator,5,Spongebob
compliment,receiver,0,Pearl
argue,receiver,3,Squidward
thanks,initiator,0,Emma
compliment,receiver,-5,Decoy
compliment,receiver,0,Emily
compliment,receiver,5,Micah
ignore,initiator,0,Ponchis
joke,initiator,3,Emily
compliment,initiator,0,Jimmy
thanks,initiator,0,Patrick
compliment,receiver,5,Decoy
thanks,initiator,0,Pearl
argue,receiver,1,Amber
joke,receiver,2,Jimmy
compliment,receiver,12,Claire
ignore,initiator,-5,Tony
joke,receiver,3,Ponchis
compliment,receiver,-5,Emma
insult,receiver,-4,Tony
compliment,receiver,12,Michael
ignore,initiator,-1,Squidward
ignore,receiver,-1,Michael
joke,receiver,1,Amber
joke,receiver,1,Spongebob
joke,receiver,2,Amber
insult,initiator,-24,Kofi
compliment,receiver,-5,Amber
insult,receiver,-1,Conald
argue,receiver,3,Kofi
ignore,initiator,0,Tony
ignore,initiator,-5,Ponchis
joke,receiver,1,Emma
ignore,receiver,0,Kofi
insult,receiver,-2,Conald
compliment,initiator,5,Jimmy
compliment,receiver,5,Spongebob
thanks,initiator,1,Decoy
compliment,receiver,0,Oliver
joke,receiver,3,Oliver
compliment,receiver,-1,Jimmy
ignore,receiver,-2,Kofi
thanks,initiator,1,Spongebob
thanks,initiator,0,Spongebob
insult,receiver,-3,Michael
compliment,initiator,10,Emily
compliment,receiver,-2,Pearl
compliment,receiver,-5,Alex
thanks,initiator,0,Dom
compliment,receiver,-2,Dylan
compliment,receiver,0,Kofi
thanks,initiator,0,Alex
argue,initiator,-8,Plankton
ignore,initiator,-2,Amber
thanks,initiator,1,Spongebob
insult,initiator,-3,Kofi
insult,receiver,-5,Conald
argue,receiver,-6,Kofi
thanks,initiator,1,Patrick
thanks,initiator,0,Eugene
joke,receiver,2,Michael
insult,receiver,0,Conald
argue,initiator,2,Squidward
joke,receiver,5,Claire
compliment,receiver,-2,Emily
insult,receiver,-1,Conald
thanks,initiator,1,Emma
compliment,receiver,-3,Michael
argue,receiver,-4,Michael
compliment,receiver,-3,Eugene
insult,receiver,-1,Conald
insult,receiver,-5,Tony
compliment,initiator,0,Jimmy
joke,receiver,3,Eugene
joke,receiver,0,Ponchis
ignore,initiator,0,Patrick
insult,receiver,0,Conald
thanks,initiator,1,Alex
insult,receiver,-5,Conald
argue,receiver,-10,Kofi
joke,receiver,5,Conald
joke,initiator,8,Decoy
thanks,initiator,1,Squidward
joke,initiator,5,Eugene
compliment,receiver,0,Jimmy
thanks,initiator,1,Micah
compliment,receiver,0,Tony
joke,initiator,0,Emily
compliment,receiver,-4,Emma
compliment,initiator,0,Pearl
compliment,receiver,-1,Squidward
