dialog,order,influence,sender
thanks,initiator,0,Eugene
thanks,initiator,0,Patrick
thanks,initiator,0,Spongebob
thanks,initiator,4,Eugene
argue,receiver,0,Pearl
joke,receiver,0,Micah
thanks,initiator,4,Oliver
thanks,receiver,0,Alex
thanks,initiator,0,Spongebob
argue,receiver,0,Pearl
thanks,initiator,4,Eugene
joke,receiver,0,Emma
argue,receiver,0,Pearl
ignore,initiator,0,Jimmy
ignore,initiator,0,Jimmy
joke,receiver,5,Spongebob
thanks,initiator,0,Dylan
thanks,initiator,0,Ben
joke,receiver,1,Ponchis
thanks,initiator,0,Patrick
thanks,initiator,0,Eugene
insult,initiator,0,Pearl
thanks,initiator,4,Patrick
thanks,initiator,0,Spongebob
thanks,initiator,4,Oliver
compliment,receiver,0,Amber
joke,receiver,2,Pearl
thanks,initiator,4,Micah
compliment,receiver,24,Emma
insult,initiator,-4,Conald
joke,receiver,0,Kofi
insult,receiver,-13,Tony
joke,receiver,0,Emma
thanks,initiator,5,Pearl
thanks,initiator,0,Decoy
thanks,initiator,5,Oliver
thanks,initiator,0,Micah
joke,receiver,0,Dylan
ignore,initiator,-4,Tony
thanks,initiator,5,Eugene
compliment,receiver,26,Emily
thanks,initiator,0,Emma
joke,receiver,1,Oliver
compliment,receiver,28,Emily
thanks,initiator,6,Ben
thanks,initiator,6,Decoy
argue,receiver,0,Tony
ignore,initiator,0,Tony
thanks,initiator,6,Pearl
argue,receiver,0,Ben
thanks,initiator,6,Decoy
thanks,initiator,0,Alex
compliment,receiver,32,Spongebob
ignore,receiver,0,Kofi
argue,receiver,0,Squidward
thanks,receiver,0,Kofi
thanks,initiator,0,Emma
argue,receiver,0,Kofi
ignore,initiator,-4,Tony
thanks,initiator,7,Alex
compliment,initiator,0,Ben
ignore,initiator,0,Tony
compliment,receiver,0,Alex
thanks,initiator,7,Pearl
compliment,receiver,-1,Eugene
ignore,initiator,-3,Ben
insult,receiver,0,Ponchis
joke,receiver,0,Ben
ignore,initiator,-5,Tony
compliment,receiver,-1,Alex
compliment,receiver,16,Michael
insult,receiver,-3,Conald
compliment,initiator,34,Dylan
ignore,initiator,0,Amber
compliment,receiver,17,Eugene
joke,receiver,4,Micah
compliment,receiver,34,Amber
thanks,initiator,0,Dylan
insult,initiator,-4,Tony
thanks,initiator,0,Patrick
insult,receiver,-3,Eugene
joke,receiver,0,Jimmy
thanks,initiator,0,Micah
compliment,receiver,34,Ben
thanks,initiator,7,Dylan
argue,receiver,0,Pearl
argue,receiver,-5,Pearl
thanks,initiator,7,Emma
compliment,receiver,-3,Kofi
thanks,initiator,0,Micah
ignore,initiator,0,Oliver
argue,receiver,-9,Pearl
thanks,initiator,7,Alex
thanks,initiator,0,Spongebob
compliment,receiver,34,Ben
thanks,initiator,0,Micah
compliment,receiver,34,Dylan
compliment,receiver,34,Spongebob
thanks,initiator,0,Dylan
argue,receiver,5,Jimmy
thanks,initiator,7,Decoy
compliment,receiver,34,Squidward
joke,receiver,0,Emma
thanks,initiator,7,Emily
argue,receiver,2,Michael
compliment,receiver,34,Amber
thanks,receiver,7,Amber
argue,receiver,0,Conald
compliment,receiver,0,Kofi
ignore,initiator,0,Plankton
argue,receiver,-7,Pearl
joke,receiver,3,Jimmy
joke,receiver,2,Dylan
joke,receiver,2,Ponchis
joke,receiver,2,Ponchis
joke,receiver,5,Patrick
ignore,initiator,0,Ponchis
argue,receiver,-7,Conald
argue,receiver,4,Tony
thanks,receiver,0,Ponchis
thanks,initiator,7,Micah
argue,receiver,4,Kofi
compliment,receiver,34,Emma
compliment,receiver,17,Emily
ignore,initiator,-1,Jimmy
argue,receiver,0,Michael
ignore,initiator,-1,Tony
joke,receiver,1,Patrick
thanks,initiator,0,Ben
joke,receiver,4,Jimmy
insult,receiver,0,Conald
thanks,initiator,0,Micah
joke,receiver,4,Eugene
compliment,initiator,0,Dylan
insult,receiver,0,Tony
argue,receiver,3,Oliver
insult,receiver,-5,Conald
thanks,initiator,7,Eugene
argue,receiver,4,Ben
compliment,initiator,-1,Amber
thanks,initiator,7,Micah
thanks,initiator,7,Dylan
argue,receiver,0,Jimmy
thanks,initiator,7,Spongebob
joke,receiver,0,Ben
compliment,receiver,0,Ben
compliment,receiver,-4,Micah
joke,receiver,4,Oliver
argue,receiver,-7,Pearl
joke,receiver,4,Ponchis
argue,receiver,-2,Pearl
insult,receiver,0,Kofi
ignore,initiator,-1,Squidward
joke,receiver,4,Eugene
joke,receiver,2,Ponchis
insult,receiver,-80,Eugene
joke,receiver,3,Decoy
argue,receiver,0,Michael
compliment,receiver,-3,Kofi
