dialog,order,influence,sender
ignore,initiator,-4,Ponchis
insult,initiator,-1,Jimmy
insult,initiator,3,Michael
ignore,initiator,-1,Decoy
compliment,receiver,2,Spongebob
insult,receiver,1,Jimmy
thanks,initiator,3,Emma
joke,receiver,0,Jimmy
thanks,initiator,0,Eugene
joke,receiver,0,Spongebob
insult,receiver,-4,Kofi
compliment,initiator,-2,Spongebob
thanks,initiator,-1,Amber
compliment,receiver,5,Pearl
ignore,initiator,3,Jimmy
ignore,receiver,-2,Kofi
joke,receiver,0,Claire
ignore,initiator,-2,Emma
thanks,initiator,5,Emily
thanks,receiver,-3,Oliver
ignore,receiver,-4,Kofi
insult,initiator,-3,Jimmy
ignore,initiator,-3,Ponchis
ignore,initiator,-2,Jimmy
compliment,receiver,0,Emma
joke,initiator,0,Spongebob
thanks,initiator,3,Dylan
argue,receiver,0,Tony
compliment,receiver,7,Alex
insult,receiver,-4,Kofi
insult,initiator,-3,Tony
thanks,initiator,-2,Emily
insult,initiator,-4,Michael
thanks,initiator,2,Spongebob
ignore,initiator,-3,Ponchis
compliment,initiator,-5,Micah
thanks,initiator,5,Spongebob
thanks,initiator,4,Amber
thanks,initiator,-1,Eugene
compliment,initiator,5,Michael
ignore,initiator,-5,Amber
compliment,receiver,-5,Kofi
ignore,initiator,-4,Ponchis
ignore,initiator,-5,Tony
thanks,initiator,4,Ben
argue,initiator,9,Kofi
insult,initiator,-3,Tony
joke,receiver,0,Ponchis
thanks,initiator,2,Eugene
insult,receiver,0,Pearl
ignore,initiator,-2,Jimmy
insult,initiator,-3,Kofi
compliment,initiator,2,Michael
insult,initiator,-3,Eugene
argue,receiver,3,Micah
thanks,initiator,3,Micah
ignore,initiator,3,Kofi
thanks,initiator,3,Eugene
joke,receiver,0,Ponchis
insult,initiator,0,Jimmy
thanks,initiator,5,Eugene
thanks,initiator,2,Ben
ignore,initiator,-4,Oliver
compliment,receiver,0,Emma
joke,initiator,0,Oliver
ignore,initiator,-2,Dylan
thanks,initiator,4,Claire
argue,receiver,12,Emily
joke,initiator,0,Dylan
joke,initiator,0,Dylan
insult,initiator,-2,Patrick
thanks,initiator,3,Patrick
insult,receiver,-3,Kofi
argue,initiator,-2,Squidward
thanks,initiator,4,Micah
argue,receiver,-3,Ponchis
joke,receiver,0,Spongebob
thanks,initiator,-5,Amber
thanks,initiator,-3,Decoy
compliment,initiator,4,Dylan
thanks,initiator,5,Dylan
ignore,initiator,0,Squidward
thanks,initiator,4,Decoy
thanks,initiator,2,Alex
thanks,initiator,3,Emma
ignore,initiator,-4,Dom
insult,initiator,-2,Jimmy
argue,initiator,0,Kofi
joke,initiator,0,Oliver
joke,initiator,0,Alex
insult,initiator,-2,Tony
thanks,initiator,5,Emma
thanks,initiator,2,Micah
thanks,initiator,5,Eugene
thanks,initiator,5,Pearl
thanks,initiator,-1,Eugene
joke,receiver,0,Jimmy
compliment,initiator,0,Spongebob
thanks,initiator,-1,Dom
insult,initiator,-2,Squidward
thanks,initiator,3,Oliver
insult,initiator,0,Jimmy
thanks,initiator,-5,Patrick
thanks,initiator,5,Spongebob
thanks,initiator,4,Ben
compliment,initiator,6,Michael
compliment,initiator,3,Ben
ignore,initiator,5,Jimmy
insult,receiver,0,Kofi
thanks,initiator,5,Emily
thanks,initiator,3,Emma
thanks,initiator,3,Micah
thanks,initiator,-2,Claire
insult,initiator,0,Eugene
insult,initiator,-2,Michael
thanks,initiator,-4,Patrick
compliment,initiator,4,Emily
compliment,initiator,3,Michael
thanks,initiator,0,Spongebob
ignore,initiator,-7,Decoy
compliment,initiator,4,Claire
argue,receiver,9,Tony
insult,receiver,-1,Ponchis
thanks,initiator,-1,Oliver
ignore,initiator,-4,Tony
argue,initiator,-2,Tony
compliment,initiator,0,Spongebob
insult,initiator,-2,Tony
joke,receiver,0,Alex
thanks,initiator,3,Patrick
ignore,initiator,-1,Tony
thanks,initiator,5,Micah
compliment,receiver,5,Kofi
thanks,receiver,2,Emily
thanks,initiator,3,Claire
insult,initiator,-2,Patrick
compliment,receiver,0,Micah
compliment,initiator,7,Ben
compliment,receiver,0,Micah
insult,receiver,-1,Eugene
thanks,initiator,3,Alex
ignore,initiator,-4,Amber
ignore,initiator,-1,Michael
thanks,initiator,0,Claire
ignore,receiver,-5,Jimmy
thanks,initiator,3,Emma
compliment,receiver,7,Decoy
thanks,initiator,-4,Dylan
joke,initiator,0,Micah
thanks,initiator,0,Alex
thanks,initiator,5,Dylan
insult,initiator,-5,Patrick
insult,initiator,-3,Pearl
ignore,initiator,-5,Emma
ignore,initiator,-8,Jimmy
insult,initiator,-1,Jimmy
insult,receiver,-5,Tony
joke,receiver,0,Michael
compliment,initiator,1,Claire
thanks,initiator,2,Claire
ignore,initiator,-1,Oliver
insult,initiator,-3,Squidward
joke,initiator,0,Emily
argue,receiver,-4,Ben
joke,receiver,0,Dylan
joke,receiver,0,Eugene
joke,receiver,0,Ben
thanks,initiator,3,Ben
compliment,receiver,5,Spongebob
joke,initiator,0,Claire
ignore,initiator,-2,Plankton
ignore,initiator,-3,Decoy
ignore,initiator,-5,Squidward
thanks,initiator,5,Alex
ignore,initiator,-9,Oliver
argue,initiator,3,Plankton
ignore,initiator,-8,Emily
compliment,initiator,5,Amber
thanks,initiator,5,Patrick
insult,initiator,-2,Tony
thanks,initiator,5,Patrick
ignore,initiator,-5,Emma
ignore,initiator,-3,Squidward
thanks,initiator,5,Micah
ignore,initiator,1,Tony
thanks,initiator,3,Dylan
joke,receiver,0,Eugene
thanks,initiator,-3,Micah
thanks,initiator,2,Oliver
joke,receiver,0,Tony
