dialog,order,influence,sender
argue,receiver,0,Pearl
insult,receiver,-21,Conald
joke,receiver,0,Oliver
compliment,receiver,2,Micah
compliment,receiver,5,Emma
thanks,receiver,1,Emma
argue,receiver,0,Kofi
joke,receiver,0,Oliver
compliment,receiver,12,Micah
compliment,receiver,6,Spongebob
compliment,receiver,6,Amber
thanks,initiator,5,Patrick
joke,receiver,0,Ponchis
compliment,initiator,7,Michael
ignore,receiver,0,Eugene
compliment,receiver,1,Claire
argue,receiver,0,Spongebob
argue,receiver,0,Dylan
ignore,initiator,0,Jimmy
joke,receiver,0,Micah
compliment,receiver,5,Amber
compliment,receiver,0,Claire
thanks,receiver,4,Micah
argue,receiver,0,Claire
joke,receiver,0,Oliver
argue,receiver,0,Pearl
compliment,receiver,14,Michael
insult,receiver,-5,Pearl
ignore,initiator,0,Squidward
compliment,receiver,16,Michael
insult,initiator,0,Ponchis
ignore,initiator,0,Tony
joke,receiver,0,Emma
thanks,initiator,3,Dylan
argue,receiver,0,Tony
compliment,receiver,0,Ben
argue,receiver,0,Michael
compliment,receiver,0,Emma
insult,receiver,-2,Pearl
joke,receiver,0,Jimmy
compliment,receiver,0,Emily
compliment,receiver,0,Spongebob
joke,receiver,0,Pearl
compliment,receiver,0,Emily
compliment,receiver,5,Emily
ignore,initiator,0,Squidward
ignore,receiver,0,Conald
compliment,receiver,8,Amber
joke,receiver,0,Ben
argue,receiver,0,Conald
joke,receiver,0,Oliver
ignore,receiver,0,Pearl
thanks,initiator,0,Dom
compliment,receiver,0,Amber
argue,receiver,0,Ben
compliment,receiver,0,Eugene
compliment,receiver,18,Spongebob
joke,initiator,0,Dylan
compliment,receiver,0,Michael
ignore,initiator,0,Jimmy
insult,initiator,-5,Squidward
joke,receiver,0,Jimmy
compliment,initiator,18,Michael
joke,receiver,0,Oliver
joke,receiver,0,Claire
joke,initiator,0,Oliver
argue,receiver,0,Amber
argue,receiver,0,Pearl
joke,receiver,0,Ponchis
thanks,initiator,3,Oliver
argue,receiver,0,Pearl
joke,receiver,0,Eugene
ignore,initiator,-2,Ponchis
insult,receiver,-5,Conald
argue,receiver,0,Jimmy
compliment,receiver,9,Kofi
thanks,initiator,3,Dom
compliment,receiver,-3,Oliver
insult,initiator,-3,Squidward
compliment,receiver,-3,Michael
ignore,initiator,0,Ponchis
argue,receiver,0,Pearl
argue,receiver,0,Pearl
thanks,initiator,0,Patrick
joke,receiver,0,Eugene
thanks,receiver,3,Ponchis
joke,receiver,0,Eugene
compliment,receiver,0,Dylan
joke,receiver,0,Ponchis
ignore,initiator,-1,Oliver
insult,receiver,-2,Tony
ignore,initiator,0,Squidward
joke,receiver,0,Ponchis
argue,receiver,0,Emma
ignore,initiator,0,Plankton
compliment,initiator,0,Ben
thanks,initiator,0,Amber
thanks,initiator,0,Dylan
thanks,initiator,0,Emma
insult,initiator,-4,Conald
compliment,receiver,10,Michael
ignore,initiator,-4,Oliver
thanks,receiver,0,Eugene
compliment,receiver,0,Oliver
thanks,initiator,0,Micah
insult,initiator,-5,Michael
ignore,initiator,0,Oliver
compliment,receiver,-2,Emily
thanks,initiator,3,Patrick
argue,receiver,0,Kofi
insult,receiver,-5,Pearl
insult,receiver,-2,Kofi
thanks,initiator,0,Emily
thanks,initiator,3,Dom
compliment,initiator,-2,Claire
thanks,initiator,0,Dylan
joke,receiver,0,Spongebob
compliment,initiator,20,Emily
argue,receiver,0,Michael
argue,receiver,0,Pearl
insult,receiver,-5,Conald
compliment,receiver,-5,Ben
joke,receiver,0,Oliver
joke,initiator,0,Dylan
argue,receiver,0,Spongebob
argue,receiver,0,Kofi
thanks,initiator,0,Ben
joke,receiver,1,Eugene
argue,receiver,0,Dylan
compliment,receiver,0,Spongebob
argue,receiver,0,Kofi
thanks,initiator,3,Amber
argue,receiver,0,Conald
compliment,receiver,20,Oliver
thanks,initiator,0,Ben
joke,receiver,4,Dylan
thanks,initiator,0,Squidward
compliment,receiver,22,Oliver
insult,receiver,0,Tony
