dialog,order,influence,sender
argue,receiver,-5,Michael
argue,receiver,-1,Spongebob
insult,receiver,-2,Tony
compliment,receiver,22,Dylan
joke,receiver,1,Ben
joke,receiver,1,Micah
argue,receiver,-3,Tony
joke,receiver,0,Oliver
compliment,receiver,0,Patrick
argue,receiver,-1,Ben
joke,receiver,0,Conald
argue,receiver,-2,Micah
joke,receiver,2,Ponchis
joke,receiver,0,Decoy
argue,receiver,-3,Pearl
ignore,receiver,2,Eugene
compliment,receiver,0,Emily
insult,receiver,-2,Eugene
argue,receiver,0,Conald
compliment,receiver,24,Emma
compliment,receiver,26,Ben
joke,receiver,1,Ponchis
compliment,receiver,0,Decoy
argue,receiver,-2,Dylan
argue,receiver,0,Emma
argue,receiver,-5,Pearl
compliment,receiver,-2,Spongebob
thanks,receiver,0,Jimmy
joke,receiver,1,Oliver
compliment,receiver,14,Decoy
insult,receiver,-4,Jimmy
argue,receiver,-5,Pearl
compliment,receiver,28,Tony
ignore,receiver,4,Pearl
compliment,receiver,30,Claire
argue,receiver,-4,Amber
argue,receiver,0,Ponchis
ignore,receiver,0,Tony
compliment,receiver,32,Amber
joke,receiver,0,Claire
argue,receiver,-3,Pearl
ignore,receiver,0,Pearl
argue,receiver,-4,Emily
argue,receiver,-5,Squidward
joke,receiver,5,Decoy
joke,receiver,0,Spongebob
joke,receiver,2,Spongebob
compliment,receiver,0,Claire
insult,receiver,-3,Michael
argue,receiver,0,Tony
argue,receiver,0,Amber
compliment,receiver,0,Ben
ignore,initiator,2,Plankton
joke,receiver,1,Spongebob
compliment,receiver,0,Jimmy
insult,receiver,0,Conald
thanks,receiver,0,Decoy
argue,receiver,-2,Amber
ignore,initiator,4,Alex
compliment,receiver,34,Jimmy
compliment,receiver,17,Pearl
argue,receiver,0,Jimmy
argue,receiver,0,Kofi
compliment,receiver,17,Dylan
argue,receiver,0,Squidward
argue,receiver,0,Tony
joke,receiver,5,Decoy
ignore,receiver,0,Conald
argue,receiver,0,Spongebob
thanks,initiator,0,Decoy
insult,receiver,-3,Jimmy
insult,receiver,-85,Conald
insult,receiver,-4,Conald
compliment,receiver,0,Emma
compliment,receiver,0,Amber
compliment,receiver,26,Pearl
argue,receiver,0,Amber
insult,receiver,-2,Kofi
joke,receiver,2,Eugene
compliment,receiver,0,Amber
thanks,receiver,6,Micah
compliment,receiver,-3,Pearl
compliment,receiver,28,Claire
insult,receiver,-3,Decoy
thanks,receiver,0,Emily
argue,receiver,-10,Kofi
thanks,initiator,6,Dylan
compliment,receiver,30,Emily
compliment,receiver,0,Oliver
insult,receiver,-32,Conald
argue,receiver,0,Spongebob
insult,receiver,-4,Tony
joke,receiver,3,Emma
compliment,initiator,0,Dylan
joke,receiver,0,Dylan
joke,receiver,0,Michael
insult,receiver,-2,Conald
compliment,initiator,30,Alex
joke,receiver,3,Dylan
compliment,receiver,16,Eugene
joke,receiver,2,Oliver
compliment,receiver,34,Pearl
thanks,initiator,0,Micah
ignore,receiver,0,Dylan
compliment,receiver,17,Emily
argue,receiver,0,Claire
insult,receiver,-5,Eugene
joke,receiver,0,Dylan
compliment,receiver,0,Oliver
compliment,receiver,0,Pearl
compliment,receiver,-1,Claire
compliment,receiver,16,Alex
joke,receiver,3,Oliver
argue,receiver,0,Conald
argue,receiver,0,Alex
joke,receiver,0,Oliver
compliment,receiver,17,Ben
joke,receiver,5,Ponchis
thanks,initiator,7,Pearl
joke,receiver,1,Ponchis
joke,initiator,3,Emma
ignore,receiver,0,Michael
compliment,initiator,-2,Jimmy
joke,receiver,0,Amber
argue,receiver,0,Squidward
thanks,initiator,7,Dylan
compliment,receiver,34,Decoy
compliment,initiator,-4,Alex
thanks,initiator,7,Plankton
argue,receiver,-9,Alex
compliment,receiver,0,Decoy
argue,receiver,-4,Conald
thanks,initiator,7,Ponchis
thanks,initiator,0,Spongebob
compliment,receiver,0,Micah
insult,receiver,0,Ponchis
argue,receiver,-4,Kofi
insult,receiver,-2,Michael
ignore,receiver,-4,Conald
thanks,initiator,0,Dylan
thanks,initiator,0,Dylan
compliment,initiator,34,Eugene
argue,receiver,-10,Alex
thanks,initiator,7,Pearl
thanks,initiator,0,Micah
compliment,receiver,16,Amber
insult,receiver,-1,Pearl
thanks,receiver,7,Dylan
compliment,receiver,-5,Pearl
ignore,receiver,0,Jimmy
insult,receiver,-48,Kofi
joke,receiver,1,Emma
insult,receiver,0,Michael
