dialog,order,influence,sender
compliment,receiver,24,Alex
argue,receiver,-3,Spongebob
thanks,initiator,5,Emma
insult,receiver,-1,Tony
thanks,receiver,0,Emma
compliment,receiver,26,Alex
compliment,receiver,28,Claire
thanks,initiator,6,Emma
joke,initiator,0,Patrick
compliment,receiver,30,Spongebob
argue,receiver,2,Kofi
ignore,initiator,-1,Emily
thanks,initiator,6,Alex
ignore,initiator,-4,Tony
thanks,initiator,7,Michael
compliment,initiator,-4,Claire
thanks,initiator,7,Decoy
ignore,initiator,-2,Jimmy
compliment,receiver,17,Amber
argue,receiver,1,Conald
thanks,initiator,7,Alex
thanks,initiator,0,Alex
ignore,initiator,0,Pearl
joke,initiator,0,Plankton
joke,receiver,0,Oliver
ignore,initiator,-5,Jimmy
thanks,receiver,0,Eugene
insult,receiver,-5,Kofi
argue,receiver,0,Pearl
ignore,initiator,0,Jimmy
joke,receiver,0,Micah
thanks,initiator,0,Dom
thanks,initiator,7,Emily
ignore,initiator,-2,Jimmy
thanks,initiator,7,Emma
thanks,initiator,0,Patrick
joke,receiver,0,Ben
thanks,receiver,0,Spongebob
compliment,receiver,-5,Kofi
thanks,initiator,0,Ben
argue,receiver,2,Pearl
joke,receiver,5,Decoy
argue,receiver,-7,Micah
thanks,initiator,7,Alex
argue,receiver,2,Pearl
thanks,initiator,7,Emily
joke,receiver,5,Jimmy
insult,initiator,-68,Patrick
joke,receiver,2,Micah
insult,receiver,4,Kofi
insult,receiver,-70,Conald
insult,receiver,-4,Conald
insult,receiver,0,Conald
compliment,receiver,-3,Kofi
ignore,initiator,-3,Ponchis
thanks,initiator,0,Emily
argue,receiver,6,Spongebob
argue,receiver,3,Claire
joke,receiver,2,Spongebob
ignore,initiator,-3,Squidward
argue,receiver,-4,Conald
insult,receiver,-22,Conald
insult,receiver,2,Ponchis
insult,receiver,-5,Kofi
compliment,receiver,20,Alex
insult,receiver,-5,Tony
compliment,receiver,-3,Claire
argue,receiver,1,Pearl
ignore,receiver,0,Emily
compliment,receiver,-3,Amber
argue,receiver,4,Decoy
thanks,receiver,0,Eugene
compliment,receiver,0,Amber
joke,receiver,2,Jimmy
thanks,receiver,4,Claire
argue,receiver,-2,Pearl
thanks,initiator,4,Claire
thanks,initiator,0,Emily
ignore,initiator,0,Jimmy
compliment,receiver,0,Ben
compliment,receiver,22,Claire
compliment,receiver,0,Spongebob
ignore,receiver,0,Michael
argue,receiver,6,Emily
compliment,receiver,0,Patrick
thanks,initiator,0,Claire
compliment,receiver,-2,Micah
insult,receiver,-2,Jimmy
joke,receiver,3,Emma
compliment,receiver,0,Alex
insult,initiator,-1,Dom
ignore,initiator,0,Ponchis
compliment,receiver,-3,Emily
joke,receiver,2,Micah
compliment,receiver,-3,Amber
argue,receiver,3,Pearl
compliment,receiver,-5,Micah
insult,receiver,-4,Michael
joke,receiver,0,Oliver
compliment,receiver,24,Ben
thanks,initiator,0,Decoy
joke,receiver,5,Claire
joke,receiver,4,Ponchis
compliment,initiator,-3,Spongebob
ignore,initiator,-4,Ponchis
compliment,receiver,-1,Decoy
compliment,receiver,0,Alex
compliment,receiver,0,Claire
argue,receiver,4,Michael
thanks,initiator,0,Spongebob
thanks,receiver,0,Conald
ignore,initiator,-4,Ponchis
compliment,receiver,0,Conald
joke,initiator,3,Oliver
joke,receiver,3,Micah
joke,initiator,3,Oliver
joke,receiver,1,Kofi
ignore,initiator,-1,Tony
compliment,receiver,0,Micah
argue,receiver,-5,Michael
compliment,initiator,0,Claire
joke,receiver,1,Decoy
joke,receiver,3,Oliver
compliment,receiver,26,Pearl
thanks,initiator,0,Spongebob
thanks,initiator,0,Emily
ignore,initiator,-2,Tony
ignore,initiator,0,Tony
insult,initiator,-28,Conald
thanks,initiator,0,Micah
joke,receiver,3,Michael
joke,receiver,5,Kofi
compliment,initiator,26,Amber
compliment,receiver,0,Decoy
compliment,initiator,-2,Micah
insult,receiver,0,Conald
compliment,receiver,28,Ben
thanks,initiator,6,Decoy
compliment,receiver,30,Emma
compliment,initiator,16,Jimmy
argue,receiver,-1,Michael
compliment,receiver,0,Jimmy
joke,receiver,0,Michael
joke,receiver,1,Ben
compliment,receiver,0,Oliver
thanks,initiator,0,Emma
thanks,initiator,7,Squidward
joke,receiver,4,Oliver
joke,receiver,5,Emily
compliment,receiver,0,Alex
compliment,receiver,34,Michael
thanks,initiator,7,Micah
thanks,initiator,7,Eugene
compliment,receiver,34,Oliver
thanks,initiator,0,Eugene
thanks,initiator,0,Decoy
insult,initiator,-34,Jimmy
compliment,receiver,0,Decoy
joke,receiver,4,Ponchis
thanks,initiator,6,Pearl
thanks,initiator,0,Decoy
joke,receiver,4,Spongebob
joke,initiator,5,Michael
insult,receiver,-16,Kofi
thanks,initiator,0,Emily
compliment,receiver,15,Micah
ignore,initiator,0,Oliver
thanks,initiator,6,Claire
joke,initiator,0,Michael
joke,initiator,4,Michael
argue,receiver,-2,Conald
ignore,initiator,-5,Michael
joke,initiator,2,Spongebob
compliment,receiver,32,Spongebob
argue,receiver,-10,Micah
compliment,receiver,16,Pearl
thanks,initiator,0,Spongebob
ignore,initiator,-3,Tony
thanks,receiver,0,Ponchis
compliment,initiator,17,Michael
thanks,initiator,0,Alex
thanks,initiator,0,Claire
ignore,initiator,0,Ponchis
argue,receiver,2,Ponchis
thanks,initiator,0,Emma
compliment,receiver,0,Alex
compliment,initiator,17,Micah
compliment,initiator,0,Amber
thanks,initiator,0,Decoy
thanks,initiator,0,Micah
ignore,receiver,-1,Conald
joke,initiator,2,Alex
compliment,initiator,17,Claire
thanks,initiator,0,Oliver
insult,receiver,-17,Tony
ignore,initiator,-4,Tony
argue,initiator,3,Squidward
argue,receiver,2,Michael
compliment,receiver,16,Eugene
ignore,initiator,0,Plankton
compliment,initiator,0,Dom
thanks,initiator,0,Emma
compliment,initiator,0,Decoy
argue,receiver,5,Kofi
joke,initiator,4,Ben
argue,receiver,0,Conald
argue,receiver,-8,Conald
ignore,initiator,-2,Michael
insult,receiver,-80,Michael
joke,receiver,5,Oliver
thanks,initiator,5,Micah
argue,receiver,1,Emma
ignore,initiator,0,Ben
insult,receiver,-70,Ponchis
joke,receiver,0,Jimmy
insult,receiver,-2,Tony
joke,receiver,2,Michael
thanks,initiator,0,Alex
joke,receiver,5,Micah
joke,receiver,5,Alex
argue,receiver,-1,Alex
joke,receiver,0,Oliver
joke,receiver,2,Decoy
argue,receiver,2,Pearl
compliment,receiver,0,Emma
argue,receiver,4,Pearl
insult,receiver,-1,Tony
argue,receiver,-6,Kofi
joke,receiver,8,Dom
compliment,receiver,22,Michael
ignore,receiver,0,Michael
compliment,receiver,0,Dom
compliment,receiver,24,Micah
compliment,receiver,-4,Amber
compliment,receiver,0,Alex
ignore,initiator,0,Dom
argue,receiver,4,Alex
argue,receiver,4,Conald
compliment,initiator,0,Decoy
compliment,receiver,26,Michael
argue,receiver,-9,Michael
argue,receiver,0,Michael
joke,receiver,1,Ponchis
compliment,receiver,14,Amber
thanks,initiator,5,Patrick
thanks,initiator,6,Eugene
compliment,receiver,0,Oliver
joke,initiator,2,Dom
compliment,receiver,14,Alex
ignore,receiver,-3,Conald
joke,initiator,1,Dom
joke,receiver,0,Michael
thanks,receiver,6,Pearl
insult,initiator,-5,Pearl
insult,receiver,0,Michael
thanks,initiator,6,Spongebob
compliment,receiver,0,Spongebob
compliment,initiator,0,Dom
thanks,initiator,0,Eugene
compliment,receiver,-5,Decoy
thanks,initiator,6,Patrick
thanks,receiver,0,Amber
argue,receiver,2,Pearl
compliment,receiver,30,Kofi
thanks,initiator,7,Jimmy
joke,receiver,3,Claire
compliment,initiator,16,Spongebob
thanks,initiator,0,Emily
argue,receiver,0,Decoy
thanks,initiator,7,Pearl
thanks,initiator,7,Ben
thanks,receiver,0,Ponchis
insult,initiator,-34,Conald
insult,receiver,-4,Conald
argue,receiver,0,Conald
thanks,receiver,0,Eugene
compliment,initiator,-2,Jimmy
joke,receiver,2,Oliver
compliment,receiver,-2,Dom
compliment,initiator,15,Emily
joke,receiver,5,Ponchis
insult,receiver,-4,Conald
compliment,receiver,0,Spongebob
insult,receiver,-1,Conald
joke,receiver,0,Micah
argue,receiver,4,Emma
argue,receiver,-4,Tony
thanks,initiator,7,Emma
thanks,initiator,0,Pearl
thanks,initiator,0,Eugene
thanks,receiver,0,Jimmy
thanks,initiator,0,Amber
thanks,receiver,0,Dom
thanks,initiator,0,Eugene
thanks,initiator,7,Decoy
thanks,initiator,7,Spongebob
compliment,receiver,17,Pearl
joke,receiver,1,Dom
thanks,initiator,7,Eugene
argue,receiver,0,Michael
thanks,initiator,0,Claire
insult,receiver,-3,Tony
insult,receiver,0,Conald
thanks,initiator,7,Emma
compliment,receiver,34,Amber
thanks,initiator,0,Ponchis
argue,receiver,4,Emma
joke,receiver,3,Ponchis
thanks,initiator,7,Dom
insult,receiver,-85,Conald
compliment,receiver,-1,Emily
