dialog,order,influence,sender
insult,receiver,-5,Michael
ignore,initiator,-1,Ponchis
compliment,receiver,0,Emma
thanks,initiator,0,Michael
thanks,initiator,5,Eugene
insult,initiator,-4,Plankton
compliment,receiver,-1,Dylan
joke,receiver,3,Spongebob
ignore,initiator,-1,Micah
compliment,receiver,26,Amber
compliment,receiver,-1,Alex
joke,receiver,2,Ponchis
argue,receiver,0,Conald
thanks,receiver,5,Emma
joke,receiver,5,Micah
thanks,initiator,6,Oliver
compliment,initiator,0,Emma
joke,receiver,3,Oliver
argue,receiver,4,Pearl
ignore,initiator,0,Squidward
insult,receiver,0,Conald
thanks,initiator,6,Claire
insult,initiator,0,Michael
joke,receiver,4,Patrick
thanks,initiator,6,Claire
compliment,initiator,30,Amber
insult,receiver,-5,Ponchis
thanks,receiver,6,Micah
compliment,initiator,16,Alex
thanks,initiator,0,Amber
ignore,initiator,-1,Emma
compliment,receiver,0,Kofi
argue,receiver,0,Dylan
joke,receiver,0,Eugene
argue,receiver,5,Pearl
compliment,initiator,17,Amber
thanks,initiator,0,Micah
compliment,receiver,0,Kofi
ignore,initiator,-2,Ponchis
compliment,receiver,34,Emma
compliment,receiver,0,Emma
joke,receiver,0,Ponchis
compliment,receiver,17,Spongebob
thanks,initiator,7,Decoy
compliment,receiver,34,Dylan
thanks,initiator,7,Decoy
thanks,initiator,0,Decoy
compliment,receiver,0,Micah
argue,initiator,-9,Conald
ignore,initiator,-5,Ponchis
argue,receiver,0,Dylan
insult,initiator,-2,Plankton
argue,receiver,0,Pearl
thanks,initiator,0,Amber
thanks,receiver,0,Jimmy
thanks,initiator,7,Dylan
joke,receiver,5,Spongebob
joke,receiver,2,Emma
insult,receiver,-1,Ponchis
joke,receiver,1,Oliver
ignore,initiator,-4,Ponchis
thanks,initiator,0,Dom
joke,receiver,0,Jimmy
compliment,receiver,0,Kofi
compliment,receiver,17,Kofi
compliment,receiver,-2,Spongebob
thanks,initiator,7,Emma
ignore,receiver,-2,Pearl
argue,receiver,3,Pearl
joke,receiver,0,Micah
argue,receiver,1,Kofi
compliment,receiver,-4,Kofi
insult,receiver,-3,Tony
argue,receiver,0,Dylan
argue,receiver,0,Jimmy
thanks,initiator,0,Oliver
ignore,initiator,0,Tony
thanks,initiator,7,Spongebob
joke,receiver,3,Claire
thanks,initiator,7,Alex
insult,receiver,0,Conald
thanks,initiator,7,Dylan
argue,receiver,2,Alex
ignore,initiator,0,Kofi
insult,receiver,-5,Kofi
ignore,initiator,0,Ponchis
insult,receiver,-4,Conald
ignore,initiator,0,Oliver
argue,receiver,4,Oliver
argue,receiver,5,Michael
insult,initiator,-1,Kofi
joke,receiver,2,Emma
thanks,initiator,0,Dylan
thanks,initiator,7,Claire
insult,initiator,-4,Michael
thanks,initiator,0,Patrick
compliment,initiator,34,Ben
argue,receiver,0,Kofi
ignore,initiator,-2,Ponchis
ignore,initiator,-3,Ponchis
ignore,initiator,-2,Jimmy
thanks,initiator,7,Eugene
thanks,initiator,0,Spongebob
insult,initiator,-34,Conald
argue,receiver,-4,Kofi
thanks,initiator,0,Alex
argue,receiver,-10,Kofi
joke,receiver,3,Ponchis
thanks,initiator,0,Emma
compliment,receiver,0,Pearl
insult,initiator,-2,Michael
compliment,initiator,30,Spongebob
