dialog,order,influence,sender
compliment,initiator,30,Michael
compliment,initiator,16,Ben
compliment,receiver,0,Dylan
insult,receiver,-34,Pearl
thanks,initiator,0,Emily
argue,receiver,0,Spongebob
thanks,initiator,6,Alex
insult,receiver,0,Conald
joke,receiver,0,Oliver
ignore,initiator,-1,Eugene
thanks,initiator,0,Claire
thanks,initiator,0,Dylan
thanks,initiator,6,Alex
joke,receiver,1,Jimmy
insult,receiver,-2,Kofi
thanks,initiator,6,Decoy
ignore,initiator,-3,Ponchis
thanks,initiator,0,Decoy
thanks,receiver,0,Dylan
thanks,initiator,0,Patrick
insult,initiator,-32,Kofi
compliment,receiver,30,Pearl
compliment,receiver,32,Pearl
argue,receiver,0,Pearl
thanks,initiator,7,Claire
joke,receiver,0,Oliver
insult,receiver,-3,Conald
thanks,initiator,7,Claire
ignore,initiator,-3,Jimmy
thanks,initiator,7,Patrick
compliment,initiator,17,Amber
compliment,initiator,-1,Emily
insult,initiator,-85,Conald
compliment,receiver,0,Emily
thanks,initiator,0,Micah
argue,receiver,-2,Eugene
compliment,receiver,26,Micah
thanks,initiator,6,Alex
compliment,receiver,-1,Claire
thanks,initiator,6,Eugene
insult,initiator,-4,Kofi
thanks,initiator,6,Ben
compliment,receiver,-2,Emily
insult,receiver,-5,Ponchis
compliment,receiver,-1,Dylan
thanks,receiver,0,Micah
compliment,receiver,15,Claire
insult,initiator,-1,Michael
ignore,initiator,-5,Ponchis
thanks,initiator,6,Eugene
thanks,initiator,0,Patrick
thanks,initiator,6,Emily
thanks,initiator,6,Emily
thanks,initiator,6,Decoy
ignore,initiator,0,Pearl
insult,initiator,-4,Kofi
thanks,initiator,0,Decoy
joke,receiver,3,Amber
ignore,initiator,0,Jimmy
joke,receiver,2,Ben
thanks,initiator,6,Amber
insult,initiator,-1,Conald
insult,receiver,-5,Michael
ignore,initiator,0,Jimmy
insult,receiver,-64,Jimmy
compliment,receiver,0,Oliver
argue,receiver,-6,Pearl
argue,receiver,-10,Conald
compliment,receiver,26,Micah
joke,receiver,2,Ben
insult,receiver,0,Jimmy
thanks,initiator,0,Emily
compliment,receiver,28,Michael
joke,receiver,4,Amber
thanks,receiver,0,Eugene
insult,receiver,-1,Conald
joke,receiver,1,Tony
compliment,receiver,-3,Emily
joke,receiver,5,Ben
compliment,receiver,30,Claire
compliment,receiver,16,Ben
argue,receiver,2,Michael
thanks,initiator,0,Oliver
compliment,receiver,34,Micah
insult,receiver,-5,Tony
argue,initiator,-5,Squidward
compliment,receiver,32,Amber
argue,receiver,0,Ponchis
thanks,initiator,0,Claire
joke,receiver,0,Alex
compliment,receiver,-4,Spongebob
thanks,initiator,0,Eugene
joke,initiator,0,Amber
ignore,receiver,-1,Conald
thanks,initiator,0,Dom
compliment,initiator,17,Michael
ignore,initiator,-3,Pearl
joke,receiver,3,Micah
ignore,initiator,-3,Ponchis
joke,initiator,4,Oliver
argue,receiver,2,Micah
ignore,initiator,-1,Jimmy
argue,receiver,5,Kofi
compliment,initiator,17,Dylan
insult,initiator,0,Kofi
ignore,initiator,-2,Jimmy
compliment,initiator,-5,Amber
argue,receiver,4,Ben
ignore,initiator,-5,Tony
joke,initiator,2,Emily
ignore,initiator,-1,Ponchis
argue,receiver,0,Squidward
thanks,initiator,0,Claire
thanks,initiator,0,Dom
joke,receiver,0,Eugene
argue,receiver,0,Tony
thanks,initiator,7,Alex
insult,initiator,-64,Kofi
thanks,initiator,5,Pearl
compliment,receiver,14,Kofi
joke,receiver,4,Oliver
compliment,receiver,-4,Spongebob
compliment,receiver,0,Ponchis
thanks,initiator,6,Decoy
joke,receiver,2,Emily
compliment,receiver,15,Decoy
insult,receiver,-2,Conald
thanks,initiator,6,Amber
ignore,initiator,0,Jimmy
joke,receiver,0,Eugene
joke,receiver,2,Eugene
argue,receiver,0,Michael
ignore,initiator,-5,Jimmy
argue,receiver,0,Michael
insult,receiver,-4,Conald
thanks,initiator,0,Emily
compliment,initiator,-1,Michael
ignore,initiator,0,Jimmy
argue,receiver,-6,Ben
thanks,initiator,6,Eugene
compliment,receiver,0,Micah
joke,receiver,5,Oliver
argue,receiver,2,Kofi
joke,receiver,5,Pearl
argue,receiver,1,Michael
argue,receiver,4,Pearl
joke,receiver,3,Micah
joke,receiver,1,Ponchis
argue,receiver,-4,Pearl
joke,receiver,1,Tony
thanks,initiator,0,Spongebob
insult,receiver,-16,Conald
thanks,initiator,0,Amber
thanks,initiator,6,Dylan
thanks,initiator,0,Eugene
compliment,receiver,0,Dylan
compliment,receiver,15,Ben
compliment,receiver,32,Emily
compliment,receiver,0,Micah
ignore,receiver,0,Conald
joke,receiver,4,Eugene
joke,receiver,3,Spongebob
joke,receiver,5,Eugene
ignore,receiver,0,Conald
thanks,initiator,0,Decoy
insult,receiver,-34,Kofi
joke,receiver,4,Ponchis
thanks,initiator,6,Ponchis
argue,receiver,6,Michael
joke,receiver,1,Eugene
argue,receiver,4,Michael
thanks,initiator,0,Pearl
joke,receiver,5,Eugene
argue,receiver,0,Squidward
insult,receiver,-48,Tony
compliment,receiver,28,Micah
joke,receiver,5,Dylan
compliment,receiver,0,Decoy
thanks,receiver,0,Alex
compliment,receiver,0,Micah
ignore,initiator,0,Tony
compliment,receiver,30,Pearl
insult,receiver,-5,Michael
thanks,initiator,0,Emily
thanks,initiator,7,Eugene
insult,initiator,-1,Kofi
compliment,receiver,34,Dylan
compliment,receiver,0,Spongebob
ignore,initiator,-1,Tony
insult,initiator,-4,Conald
argue,receiver,0,Ponchis
compliment,receiver,34,Spongebob
thanks,initiator,7,Jimmy
joke,initiator,0,Decoy
thanks,initiator,0,Emily
compliment,receiver,34,Michael
ignore,initiator,-5,Michael
insult,initiator,-48,Conald
thanks,initiator,6,Ben
joke,initiator,3,Dylan
joke,initiator,0,Micah
thanks,initiator,0,Dom
joke,receiver,2,Eugene
insult,receiver,-2,Tony
ignore,initiator,-4,Tony
thanks,initiator,6,Patrick
thanks,initiator,0,Decoy
joke,receiver,0,Ponchis
insult,receiver,-15,Conald
