dialog,order,influence,sender
compliment,receiver,0,Claire
argue,receiver,-3,Ben
compliment,receiver,0,Claire
compliment,receiver,8,Emily
compliment,receiver,9,Michael
compliment,receiver,6,Emma
compliment,receiver,10,Claire
argue,receiver,0,Conald
argue,receiver,-5,Kofi
compliment,receiver,7,Claire
ignore,initiator,-2,Squidward
argue,initiator,0,Tony
compliment,initiator,6,Michael
joke,receiver,0,Ponchis
joke,initiator,0,Ben
thanks,initiator,-4,Ben
thanks,initiator,-5,Decoy
compliment,receiver,11,Micah
compliment,receiver,8,Tony
thanks,initiator,-2,Spongebob
compliment,receiver,11,Micah
insult,receiver,1,Claire
ignore,initiator,0,Squidward
thanks,initiator,-3,Emma
insult,initiator,2,Patrick
ignore,initiator,-5,Oliver
ignore,initiator,-1,Micah
ignore,initiator,-4,Ponchis
thanks,initiator,-3,Dylan
thanks,initiator,-3,Oliver
insult,initiator,2,Kofi
compliment,receiver,10,Spongebob
compliment,receiver,0,Emma
argue,receiver,0,Amber
joke,receiver,0,Ponchis
insult,initiator,-35,Kofi
ignore,initiator,-5,Squidward
thanks,initiator,-3,Alex
joke,initiator,0,Micah
joke,receiver,0,Ponchis
thanks,initiator,-3,Emily
insult,receiver,5,Conald
joke,receiver,0,Micah
compliment,receiver,7,Kofi
argue,initiator,0,Tony
insult,receiver,1,Conald
joke,receiver,0,Emma
ignore,receiver,-4,Pearl
joke,receiver,0,Spongebob
joke,receiver,0,Pearl
ignore,initiator,0,Tony
insult,receiver,5,Tony
ignore,receiver,-2,Conald
thanks,initiator,-2,Claire
insult,receiver,3,Conald
thanks,initiator,-1,Micah
insult,receiver,2,Conald
compliment,initiator,7,Ben
joke,receiver,0,Jimmy
joke,receiver,0,Ponchis
ignore,initiator,-5,Jimmy
joke,receiver,0,Micah
thanks,initiator,-4,Claire
ignore,initiator,0,Ponchis
compliment,receiver,12,Micah
argue,receiver,0,Pearl
compliment,initiator,6,Claire
thanks,initiator,-4,Patrick
thanks,initiator,-5,Dom
compliment,initiator,12,Emma
thanks,initiator,-1,Decoy
thanks,initiator,-4,Dylan
argue,receiver,0,Conald
compliment,receiver,9,Micah
joke,receiver,0,Micah
insult,initiator,4,Dom
insult,receiver,5,Conald
ignore,initiator,-2,Ponchis
argue,receiver,0,Spongebob
thanks,initiator,2,Alex
insult,receiver,2,Kofi
insult,receiver,4,Kofi
compliment,receiver,10,Emma
thanks,initiator,2,Alex
insult,receiver,-35,Tony
ignore,receiver,-4,Conald
ignore,initiator,0,Michael
thanks,initiator,0,Patrick
thanks,initiator,0,Alex
insult,receiver,3,Michael
thanks,initiator,-2,Decoy
joke,initiator,0,Oliver
thanks,initiator,-2,Patrick
compliment,receiver,6,Ben
argue,receiver,0,Ben
joke,initiator,0,Oliver
insult,receiver,4,Michael
ignore,receiver,0,Pearl
thanks,initiator,2,Emma
compliment,receiver,7,Kofi
compliment,receiver,9,Emily
thanks,initiator,-5,Decoy
joke,initiator,0,Patrick
joke,initiator,0,Oliver
thanks,initiator,-2,Decoy
joke,receiver,0,Ponchis
thanks,initiator,-5,Claire
compliment,receiver,12,Amber
insult,initiator,2,Conald
thanks,initiator,0,Spongebob
insult,receiver,0,Tony
ignore,initiator,-3,Jimmy
ignore,receiver,0,Michael
compliment,receiver,9,Claire
ignore,initiator,-1,Tony
thanks,initiator,0,Amber
compliment,initiator,14,Emma
thanks,initiator,-2,Decoy
thanks,initiator,0,Oliver
thanks,initiator,-2,Emma
joke,initiator,0,Amber
joke,receiver,0,Alex
ignore,initiator,-4,Ponchis
compliment,initiator,7,Claire
compliment,receiver,0,Ben
ignore,initiator,-4,Tony
insult,initiator,5,Plankton
thanks,initiator,-1,Claire
compliment,initiator,9,Michael
joke,receiver,0,Ponchis
joke,receiver,0,Emma
joke,receiver,0,Oliver
ignore,initiator,0,Jimmy
joke,receiver,0,Ponchis
compliment,receiver,8,Spongebob
insult,initiator,4,Conald
ignore,receiver,0,Tony
compliment,receiver,0,Ben
insult,receiver,3,Kofi
thanks,receiver,0,Ponchis
compliment,receiver,0,Michael
insult,receiver,2,Michael
compliment,receiver,4,Amber
thanks,initiator,0,Decoy
insult,initiator,-24,Conald
thanks,initiator,-3,Alex
insult,initiator,1,Squidward
joke,initiator,0,Micah
compliment,receiver,5,Emma
compliment,receiver,7,Spongebob
compliment,initiator,8,Claire
compliment,receiver,8,Pearl
argue,receiver,0,Michael
thanks,initiator,-3,Emily
compliment,receiver,7,Dylan
thanks,initiator,-2,Emma
compliment,receiver,16,Dylan
joke,receiver,0,Alex
joke,receiver,0,Alex
joke,initiator,0,Emma
argue,receiver,0,Alex
compliment,receiver,18,Micah
ignore,initiator,-1,Tony
compliment,initiator,4,Oliver
joke,receiver,2,Ponchis
thanks,initiator,0,Claire
