dialog,order,influence,sender
insult,receiver,-5,Conald
insult,initiator,-3,Conald
insult,initiator,0,Micah
compliment,receiver,3,Claire
compliment,receiver,1,Claire
joke,receiver,0,Spongebob
insult,initiator,-5,Conald
ignore,initiator,0,Ponchis
insult,receiver,-5,Kofi
thanks,initiator,2,Emma
ignore,initiator,-3,Oliver
compliment,initiator,5,Amber
thanks,receiver,5,Spongebob
insult,receiver,-4,Conald
argue,receiver,2,Kofi
compliment,initiator,3,Michael
ignore,initiator,-1,Pearl
joke,receiver,0,Ponchis
thanks,receiver,3,Emma
thanks,initiator,5,Patrick
insult,receiver,-4,Conald
thanks,initiator,3,Pearl
ignore,initiator,0,Tony
insult,receiver,-2,Conald
thanks,initiator,5,Patrick
joke,receiver,0,Dylan
joke,receiver,0,Decoy
thanks,initiator,-5,Patrick
argue,receiver,0,Dylan
compliment,initiator,0,Spongebob
joke,receiver,0,Oliver
joke,receiver,0,Dylan
ignore,initiator,-2,Ponchis
compliment,receiver,3,Spongebob
argue,receiver,0,Dylan
thanks,initiator,5,Patrick
joke,receiver,0,Oliver
thanks,initiator,3,Micah
argue,receiver,5,Michael
compliment,receiver,4,Kofi
argue,receiver,0,Conald
argue,initiator,1,Squidward
thanks,initiator,2,Decoy
argue,receiver,3,Tony
thanks,initiator,3,Patrick
argue,initiator,0,Pearl
joke,receiver,0,Emma
insult,receiver,-3,Conald
compliment,receiver,0,Ben
insult,initiator,0,Michael
argue,receiver,0,Ben
compliment,initiator,4,Dylan
thanks,initiator,4,Eugene
compliment,receiver,2,Micah
argue,receiver,1,Emma
joke,receiver,0,Eugene
thanks,initiator,5,Alex
insult,initiator,-1,Ponchis
thanks,initiator,5,Emma
joke,receiver,0,Ben
joke,receiver,0,Ben
insult,receiver,-5,Conald
ignore,initiator,-5,Squidward
thanks,initiator,0,Emily
thanks,initiator,0,Emma
joke,initiator,0,Oliver
compliment,receiver,0,Micah
argue,receiver,2,Alex
thanks,initiator,-3,Claire
compliment,initiator,0,Emily
thanks,initiator,0,Patrick
compliment,initiator,0,Michael
thanks,initiator,-2,Dylan
thanks,initiator,-3,Spongebob
compliment,receiver,0,Decoy
thanks,receiver,0,Micah
joke,receiver,0,Ponchis
ignore,initiator,-2,Conald
argue,receiver,2,Ponchis
joke,initiator,0,Spongebob
ignore,receiver,-4,Conald
thanks,initiator,-3,Decoy
argue,receiver,3,Pearl
joke,initiator,0,Oliver
joke,initiator,0,Emily
compliment,receiver,0,Dylan
ignore,receiver,-3,Kofi
insult,initiator,-2,Patrick
compliment,initiator,0,Claire
argue,receiver,0,Conald
thanks,initiator,0,Spongebob
ignore,initiator,0,Squidward
ignore,initiator,-1,Ponchis
thanks,initiator,0,Alex
compliment,receiver,2,Emma
joke,receiver,0,Micah
compliment,initiator,0,Ben
thanks,initiator,-5,Claire
thanks,initiator,3,Decoy
thanks,initiator,4,Dylan
joke,receiver,0,Emma
ignore,receiver,-3,Oliver
compliment,receiver,0,Claire
argue,receiver,1,Pearl
argue,receiver,0,Emily
compliment,initiator,4,Claire
thanks,initiator,-2,Amber
joke,receiver,0,Eugene
insult,initiator,-8,Conald
argue,receiver,0,Kofi
compliment,initiator,0,Spongebob
thanks,initiator,-1,Dom
compliment,initiator,0,Claire
insult,initiator,-2,Ponchis
compliment,receiver,4,Emma
thanks,initiator,-1,Patrick
compliment,initiator,2,Micah
thanks,initiator,0,Spongebob
argue,receiver,0,Kofi
argue,receiver,3,Kofi
joke,receiver,0,Emma
thanks,initiator,-4,Pearl
argue,receiver,1,Pearl
argue,receiver,5,Amber
argue,receiver,0,Conald
ignore,receiver,-5,Conald
insult,initiator,-3,Patrick
argue,receiver,0,Pearl
thanks,initiator,0,Dom
joke,receiver,0,Emma
joke,receiver,0,Eugene
joke,receiver,0,Oliver
ignore,initiator,-1,Squidward
thanks,initiator,0,Micah
insult,receiver,-2,Kofi
joke,receiver,0,Oliver
argue,initiator,3,Kofi
compliment,receiver,-4,Pearl
insult,receiver,0,Ponchis
insult,receiver,-3,Kofi
ignore,receiver,-4,Ponchis
joke,initiator,0,Emily
insult,receiver,0,Kofi
joke,receiver,0,Alex
ignore,receiver,-2,Michael
compliment,receiver,2,Dylan
thanks,initiator,0,Dylan
joke,receiver,0,Patrick
argue,receiver,0,Michael
compliment,receiver,-4,Pearl
insult,receiver,-3,Kofi
thanks,initiator,0,Squidward
insult,initiator,-4,Squidward
compliment,receiver,-4,Alex
insult,receiver,-1,Ponchis
compliment,initiator,-2,Spongebob
compliment,initiator,-2,Micah
ignore,receiver,0,Conald
ignore,receiver,0,Conald
ignore,initiator,-1,Tony
compliment,receiver,-5,Dylan
argue,receiver,0,Pearl
thanks,initiator,0,Emily
thanks,initiator,0,Amber
insult,receiver,-4,Tony
ignore,initiator,0,Squidward
thanks,initiator,0,Spongebob
ignore,initiator,0,Patrick
insult,receiver,-5,Kofi
joke,receiver,0,Ben
compliment,receiver,-3,Pearl
joke,receiver,0,Oliver
argue,receiver,4,Amber
thanks,initiator,-2,Alex
thanks,initiator,0,Decoy
joke,receiver,0,Eugene
joke,receiver,0,Michael
compliment,receiver,-4,Pearl
thanks,initiator,-3,Dom
insult,receiver,-1,Conald
argue,receiver,5,Conald
argue,receiver,5,Tony
ignore,initiator,0,Ponchis
thanks,initiator,-4,Dom
ignore,initiator,-5,Tony
compliment,receiver,-2,Emily
argue,receiver,1,Michael
joke,receiver,0,Spongebob
thanks,initiator,-5,Spongebob
thanks,initiator,-1,Dom
joke,initiator,0,Ben
compliment,receiver,-3,Amber
joke,receiver,0,Micah
insult,receiver,-3,Conald
thanks,initiator,0,Alex
compliment,receiver,0,Spongebob
argue,initiator,0,Kofi
compliment,receiver,-5,Emma
thanks,initiator,-3,Emily
joke,receiver,0,Emily
compliment,initiator,0,Dom
thanks,initiator,0,Emily
compliment,initiator,0,Ben
joke,receiver,0,Micah
joke,receiver,0,Kofi
compliment,receiver,-5,Spongebob
compliment,initiator,-3,Dylan
thanks,initiator,-4,Spongebob
argue,receiver,5,Emma
joke,receiver,0,Emily
thanks,initiator,-1,Micah
compliment,initiator,1,Oliver
ignore,initiator,0,Squidward
insult,receiver,-3,Tony
ignore,initiator,0,Emily
thanks,initiator,-5,Patrick
insult,receiver,0,Conald
ignore,initiator,0,Tony
joke,receiver,0,Eugene
