dialog,order,influence,sender
joke,initiator,-2,Ben
joke,receiver,3,Oliver
argue,receiver,0,Pearl
thanks,initiator,0,Patrick
thanks,initiator,-4,Alex
ignore,initiator,-5,Micah
thanks,initiator,0,Spongebob
compliment,receiver,2,Alex
insult,initiator,-4,Eugene
insult,initiator,0,Jimmy
ignore,initiator,-4,Ben
compliment,initiator,-3,Emma
insult,initiator,-4,Conald
compliment,initiator,2,Dylan
thanks,initiator,-1,Decoy
ignore,initiator,-9,Oliver
compliment,receiver,-4,Emma
insult,receiver,-4,Ponchis
compliment,receiver,2,Spongebob
insult,initiator,-3,Conald
argue,initiator,0,Pearl
thanks,initiator,-1,Claire
ignore,initiator,-3,Jimmy
ignore,initiator,-1,Conald
thanks,initiator,-2,Micah
compliment,initiator,-4,Ben
insult,initiator,0,Conald
compliment,receiver,-5,Amber
compliment,initiator,-2,Dylan
joke,receiver,0,Eugene
insult,initiator,-2,Tony
joke,receiver,0,Emma
argue,receiver,3,Eugene
argue,receiver,-5,Michael
argue,receiver,6,Pearl
joke,receiver,1,Oliver
thanks,initiator,-3,Emily
insult,initiator,-4,Patrick
thanks,initiator,-5,Patrick
argue,receiver,-1,Spongebob
thanks,initiator,-3,Claire
thanks,initiator,-2,Eugene
ignore,initiator,-3,Conald
joke,initiator,-4,Claire
compliment,initiator,-5,Dylan
argue,receiver,-1,Conald
thanks,initiator,0,Claire
compliment,initiator,-4,Emily
thanks,initiator,-5,Spongebob
compliment,initiator,-2,Alex
compliment,receiver,0,Alex
ignore,initiator,0,Jimmy
compliment,initiator,-4,Ben
compliment,receiver,0,Emma
insult,receiver,-2,Conald
insult,initiator,-3,Patrick
thanks,initiator,0,Pearl
joke,receiver,1,Oliver
insult,receiver,-4,Conald
ignore,initiator,-5,Squidward
thanks,initiator,-5,Patrick
thanks,initiator,-3,Dylan
insult,initiator,0,Tony
joke,receiver,-1,Ponchis
joke,initiator,-1,Dylan
insult,initiator,-1,Conald
argue,initiator,0,Michael
ignore,initiator,-5,Oliver
compliment,receiver,-3,Alex
thanks,initiator,0,Alex
thanks,initiator,-3,Alex
thanks,initiator,-5,Dylan
insult,initiator,-4,Patrick
argue,receiver,0,Conald
insult,initiator,-4,Michael
insult,receiver,-1,Ponchis
argue,receiver,9,Alex
thanks,initiator,-5,Micah
joke,receiver,-3,Micah
thanks,initiator,0,Amber
thanks,initiator,0,Emily
thanks,initiator,-5,Emily
thanks,initiator,-3,Amber
ignore,initiator,-10,Plankton
thanks,initiator,0,Claire
joke,initiator,-3,Emily
thanks,initiator,0,Emily
argue,receiver,0,Ben
argue,receiver,0,Pearl
ignore,initiator,0,Jimmy
insult,initiator,0,Conald
thanks,initiator,-5,Eugene
ignore,initiator,-2,Ponchis
joke,receiver,-1,Amber
