dialog,order,influence,sender
ignore,initiator,0,Oliver
joke,receiver,5,Spongebob
argue,receiver,-5,Michael
ignore,initiator,-1,Ponchis
thanks,initiator,5,Claire
insult,receiver,-51,Kofi
argue,receiver,-3,Jimmy
argue,receiver,-3,Tony
thanks,initiator,0,Decoy
argue,receiver,-8,Tony
ignore,initiator,0,Plankton
ignore,initiator,-1,Alex
ignore,initiator,-4,Tony
argue,receiver,-1,Ben
compliment,receiver,5,Alex
compliment,receiver,30,Amber
argue,receiver,-9,Emily
thanks,initiator,-5,Oliver
thanks,initiator,-1,Decoy
compliment,receiver,0,Claire
insult,initiator,2,Plankton
compliment,receiver,15,Michael
thanks,initiator,6,Patrick
ignore,receiver,0,Pearl
joke,receiver,0,Ben
compliment,receiver,0,Claire
compliment,receiver,16,Spongebob
argue,receiver,0,Kofi
thanks,initiator,0,Eugene
thanks,initiator,0,Emily
thanks,initiator,7,Eugene
compliment,receiver,4,Emma
thanks,initiator,0,Emma
joke,initiator,1,Ben
joke,receiver,5,Oliver
argue,receiver,-9,Eugene
thanks,initiator,4,Spongebob
thanks,initiator,0,Oliver
thanks,initiator,5,Decoy
joke,initiator,0,Emily
thanks,initiator,7,Patrick
thanks,initiator,5,Amber
thanks,initiator,2,Decoy
thanks,initiator,7,Amber
insult,receiver,-1,Conald
thanks,initiator,0,Dylan
thanks,receiver,0,Eugene
thanks,initiator,0,Eugene
joke,receiver,2,Alex
insult,initiator,-2,Squidward
thanks,initiator,5,Emma
compliment,receiver,2,Emily
argue,receiver,2,Jimmy
thanks,initiator,5,Oliver
ignore,initiator,-4,Tony
thanks,initiator,5,Dom
compliment,initiator,0,Dylan
ignore,initiator,-5,Tony
argue,initiator,-4,Conald
compliment,receiver,32,Conald
thanks,receiver,2,Eugene
joke,initiator,4,Dylan
ignore,initiator,-4,Jimmy
compliment,initiator,4,Emily
argue,receiver,5,Michael
insult,receiver,0,Conald
thanks,initiator,7,Eugene
compliment,initiator,0,Claire
compliment,initiator,17,Michael
argue,receiver,1,Michael
thanks,initiator,7,Eugene
joke,receiver,1,Ponchis
argue,initiator,1,Dom
thanks,initiator,7,Emma
insult,initiator,0,Squidward
insult,initiator,-17,Tony
ignore,initiator,-3,Jimmy
compliment,receiver,32,Oliver
argue,receiver,3,Conald
insult,receiver,-5,Kofi
ignore,initiator,-4,Kofi
thanks,initiator,7,Eugene
thanks,initiator,7,Eugene
thanks,receiver,2,Claire
ignore,initiator,0,Jimmy
joke,receiver,1,Alex
compliment,initiator,2,Emily
argue,receiver,-2,Pearl
compliment,receiver,3,Claire
joke,receiver,4,Oliver
thanks,initiator,7,Emma
joke,receiver,5,Ponchis
joke,receiver,2,Claire
thanks,initiator,0,Pearl
ignore,initiator,-5,Ponchis
thanks,initiator,0,Alex
argue,receiver,-9,Conald
compliment,initiator,0,Emma
joke,initiator,2,Emma
compliment,initiator,0,Amber
joke,receiver,0,Ponchis
ignore,initiator,-4,Jimmy
ignore,initiator,0,Ponchis
thanks,initiator,7,Dylan
insult,initiator,-5,Squidward
joke,receiver,2,Oliver
joke,receiver,0,Claire
thanks,initiator,7,Dylan
ignore,initiator,-5,Dylan
argue,receiver,4,Conald
ignore,receiver,0,Tony
compliment,receiver,16,Claire
ignore,initiator,0,Tony
thanks,receiver,0,Tony
insult,initiator,-3,Conald
insult,initiator,-2,Conald
argue,receiver,-2,Alex
compliment,initiator,-4,Ben
insult,receiver,0,Kofi
joke,receiver,3,Claire
compliment,receiver,17,Emily
thanks,initiator,0,Emily
compliment,initiator,17,Claire
compliment,initiator,0,Michael
argue,receiver,0,Jimmy
argue,receiver,1,Conald
