dialog,order,influence,sender
compliment,receiver,0,Emma
compliment,receiver,-5,Alex
joke,receiver,0,Alex
ignore,initiator,0,Emily
ignore,initiator,-2,Oliver
insult,receiver,0,Conald
thanks,initiator,0,Micah
joke,receiver,0,Alex
compliment,receiver,-3,Emily
argue,initiator,4,Dom
joke,initiator,0,Patrick
ignore,initiator,-3,Tony
joke,initiator,0,Oliver
thanks,initiator,0,Eugene
thanks,initiator,-5,Patrick
ignore,initiator,0,Ponchis
thanks,receiver,0,Pearl
compliment,receiver,-3,Patrick
thanks,initiator,-2,Alex
compliment,initiator,-1,Ben
ignore,initiator,-2,Plankton
joke,receiver,0,Eugene
thanks,initiator,-2,Micah
ignore,initiator,-5,Oliver
joke,receiver,0,Jimmy
joke,receiver,0,Decoy
ignore,initiator,-5,Ben
compliment,receiver,-4,Dylan
ignore,initiator,-5,Tony
insult,initiator,-2,Ponchis
ignore,initiator,-3,Ponchis
ignore,initiator,0,Oliver
compliment,receiver,-3,Emily
insult,receiver,-4,Conald
joke,initiator,0,Ben
thanks,initiator,-4,Pearl
thanks,initiator,-4,Alex
compliment,receiver,-2,Spongebob
argue,initiator,1,Kofi
compliment,receiver,-3,Amber
insult,receiver,0,Conald
thanks,initiator,-2,Decoy
thanks,initiator,-4,Spongebob
joke,receiver,0,Emma
thanks,initiator,-1,Decoy
ignore,initiator,-2,Jimmy
thanks,initiator,-3,Decoy
ignore,initiator,0,Tony
ignore,initiator,0,Amber
argue,receiver,3,Conald
thanks,initiator,-5,Pearl
joke,receiver,0,Alex
argue,initiator,0,Plankton
ignore,receiver,-2,Spongebob
thanks,receiver,-4,Jimmy
thanks,initiator,0,Emma
thanks,initiator,-2,Claire
compliment,initiator,-4,Micah
argue,receiver,5,Kofi
joke,receiver,0,Micah
joke,initiator,0,Micah
thanks,initiator,0,Ben
joke,initiator,0,Amber
compliment,receiver,-5,Pearl
joke,initiator,0,Amber
ignore,receiver,-3,Kofi
joke,receiver,0,Pearl
ignore,initiator,0,Oliver
ignore,initiator,-5,Pearl
thanks,initiator,-1,Emma
compliment,receiver,-4,Tony
thanks,initiator,-4,Spongebob
insult,receiver,0,Tony
ignore,initiator,-4,Plankton
joke,receiver,0,Jimmy
thanks,initiator,-1,Decoy
argue,receiver,2,Pearl
compliment,receiver,-2,Amber
insult,receiver,0,Ponchis
ignore,initiator,0,Tony
thanks,initiator,-4,Emma
argue,receiver,0,Pearl
argue,initiator,3,Oliver
ignore,receiver,0,Ponchis
thanks,initiator,-3,Alex
joke,receiver,0,Decoy
thanks,initiator,0,Spongebob
argue,receiver,0,Pearl
insult,receiver,-5,Conald
compliment,receiver,-3,Amber
insult,initiator,-5,Patrick
thanks,initiator,0,Claire
thanks,initiator,-3,Dylan
compliment,receiver,-3,Emma
compliment,receiver,-1,Ben
joke,receiver,0,Eugene
insult,receiver,-4,Conald
thanks,initiator,-1,Ben
insult,receiver,0,Conald
thanks,initiator,-3,Eugene
ignore,initiator,-5,Tony
thanks,initiator,-2,Emily
ignore,initiator,-1,Patrick
argue,receiver,5,Amber
ignore,initiator,-4,Decoy
compliment,initiator,0,Ben
ignore,initiator,0,Tony
insult,initiator,-3,Kofi
joke,receiver,0,Emily
thanks,initiator,-2,Eugene
thanks,initiator,-2,Patrick
thanks,initiator,-2,Claire
argue,receiver,1,Squidward
ignore,initiator,-2,Dylan
joke,receiver,0,Amber
argue,receiver,2,Conald
thanks,initiator,-1,Eugene
ignore,initiator,0,Ponchis
compliment,receiver,0,Emily
thanks,initiator,0,Dylan
argue,initiator,5,Pearl
thanks,initiator,-2,Alex
ignore,initiator,5,Ponchis
thanks,initiator,0,Decoy
compliment,receiver,0,Micah
insult,initiator,0,Kofi
thanks,initiator,-1,Emma
insult,initiator,3,Kofi
thanks,initiator,-4,Emma
joke,receiver,0,Decoy
argue,initiator,0,Squidward
joke,receiver,0,Ben
thanks,initiator,0,Claire
thanks,initiator,-3,Oliver
argue,receiver,0,Pearl
compliment,receiver,0,Emma
compliment,initiator,-1,Dylan
ignore,initiator,-5,Kofi
joke,receiver,0,Eugene
compliment,initiator,-1,Claire
insult,initiator,-1,Conald
thanks,initiator,-1,Spongebob
thanks,initiator,-3,Decoy
compliment,initiator,-3,Emma
ignore,initiator,-3,Ponchis
thanks,initiator,-5,Spongebob
argue,receiver,0,Pearl
thanks,initiator,-3,Alex
thanks,initiator,-1,Dylan
thanks,receiver,-5,Micah
compliment,initiator,-3,Ben
argue,initiator,2,Squidward
thanks,initiator,-2,Claire
thanks,initiator,0,Eugene
thanks,initiator,-4,Eugene
argue,receiver,2,Alex
joke,initiator,0,Oliver
compliment,receiver,-4,Pearl
thanks,initiator,0,Emily
thanks,initiator,-2,Patrick
ignore,initiator,0,Plankton
thanks,initiator,-5,Claire
ignore,initiator,-1,Ponchis
thanks,initiator,-2,Ponchis
thanks,initiator,0,Claire
insult,initiator,-3,Jimmy
compliment,initiator,0,Dylan
thanks,initiator,-3,Dylan
compliment,initiator,-1,Jimmy
insult,initiator,-4,Patrick
insult,initiator,-5,Conald
thanks,initiator,-3,Patrick
thanks,initiator,0,Eugene
thanks,initiator,0,Claire
ignore,initiator,-3,Tony
thanks,initiator,-4,Dylan
insult,initiator,-3,Kofi
thanks,initiator,-3,Claire
ignore,initiator,-10,Ponchis
thanks,initiator,-3,Micah
compliment,initiator,0,Spongebob
thanks,initiator,-3,Squidward
joke,receiver,0,Dylan
thanks,initiator,-4,Micah
thanks,initiator,0,Claire
thanks,initiator,-1,Amber
thanks,initiator,-4,Emma
joke,receiver,0,Dylan
argue,receiver,0,Dylan
joke,receiver,0,Spongebob
argue,receiver,1,Kofi
ignore,initiator,0,Tony
insult,initiator,0,Dom
compliment,initiator,-2,Amber
argue,initiator,1,Squidward
thanks,initiator,-5,Spongebob
compliment,receiver,-3,Dylan
compliment,initiator,-3,Emma
argue,receiver,4,Kofi
thanks,initiator,-2,Emily
ignore,initiator,-1,Pearl
insult,initiator,-3,Ponchis
insult,initiator,-5,Ponchis
argue,receiver,0,Kofi
compliment,initiator,-5,Jimmy
joke,receiver,0,Dylan
thanks,initiator,-2,Spongebob
ignore,initiator,0,Plankton
thanks,initiator,-3,Ben
compliment,receiver,0,Ben
ignore,initiator,-4,Alex
joke,initiator,0,Emily
argue,receiver,1,Eugene
insult,receiver,-4,Conald
joke,receiver,0,Kofi
joke,initiator,0,Oliver
compliment,initiator,-1,Jimmy
thanks,initiator,-5,Emily
compliment,receiver,-5,Amber
thanks,initiator,0,Dylan
thanks,initiator,-4,Pearl
thanks,initiator,0,Emma
thanks,initiator,-3,Micah
thanks,initiator,-4,Spongebob
insult,initiator,0,Tony
compliment,receiver,-4,Oliver
thanks,initiator,-4,Pearl
argue,initiator,0,Kofi
compliment,initiator,-1,Micah
thanks,initiator,-3,Alex
argue,initiator,5,Conald
ignore,initiator,-2,Kofi
argue,receiver,0,Kofi
argue,initiator,5,Squidward
thanks,initiator,-2,Spongebob
joke,receiver,0,Dylan
compliment,initiator,0,Decoy
thanks,initiator,-2,Decoy
thanks,initiator,0,Oliver
insult,initiator,1,Eugene
thanks,initiator,-3,Pearl
thanks,initiator,-1,Dylan
thanks,initiator,0,Emma
ignore,initiator,-3,Ponchis
thanks,initiator,0,Emily
thanks,receiver,-1,Emma
thanks,initiator,-1,Spongebob
insult,receiver,0,Kofi
ignore,initiator,-3,Ponchis
ignore,initiator,0,Decoy
ignore,initiator,-5,Tony
argue,receiver,0,Conald
thanks,initiator,-4,Claire
joke,receiver,0,Ponchis
insult,receiver,-3,Conald
ignore,initiator,-8,Ponchis
insult,receiver,0,Kofi
thanks,initiator,0,Ben
ignore,initiator,3,Ben
insult,initiator,-2,Eugene
thanks,initiator,0,Alex
ignore,initiator,-5,Squidward
insult,initiator,-4,Plankton
ignore,initiator,-10,Oliver
thanks,initiator,-1,Dylan
compliment,initiator,-5,Decoy
thanks,initiator,0,Claire
thanks,initiator,-2,Oliver
thanks,initiator,-1,Micah
thanks,initiator,-1,Amber
insult,receiver,-4,Conald
ignore,initiator,0,Plankton
compliment,receiver,-3,Pearl
thanks,initiator,-1,Oliver
compliment,initiator,-2,Amber
insult,initiator,-5,Conald
insult,receiver,-3,Kofi
thanks,initiator,-3,Emma
compliment,initiator,-1,Spongebob
thanks,initiator,0,Emma
joke,initiator,0,Micah
ignore,initiator,-2,Pearl
thanks,initiator,-3,Oliver
thanks,initiator,-3,Micah
insult,receiver,-2,Kofi
ignore,initiator,-2,Plankton
joke,receiver,0,Eugene
insult,receiver,-2,Kofi
thanks,initiator,-2,Emily
thanks,initiator,-3,Claire
thanks,initiator,-5,Claire
ignore,initiator,-1,Ponchis
thanks,initiator,-1,Dylan
thanks,initiator,-1,Dylan
insult,initiator,-2,Plankton
argue,initiator,2,Pearl
thanks,initiator,-5,Emily
thanks,initiator,0,Micah
joke,receiver,0,Oliver
compliment,initiator,-5,Jimmy
thanks,initiator,-5,Dom
thanks,initiator,-1,Spongebob
ignore,initiator,-4,Ponchis
thanks,initiator,-3,Amber
ignore,initiator,-2,Ponchis
thanks,initiator,-1,Dylan
ignore,initiator,0,Dylan
ignore,initiator,-2,Kofi
thanks,initiator,-1,Dylan
joke,receiver,0,Claire
ignore,initiator,-2,Plankton
ignore,initiator,-1,Tony
insult,initiator,-5,Conald
thanks,initiator,0,Alex
ignore,initiator,-4,Tony
insult,receiver,-2,Conald
compliment,initiator,-1,Ben
thanks,initiator,-2,Ben
thanks,initiator,-3,Dylan
insult,initiator,-1,Ponchis
thanks,initiator,-4,Oliver
ignore,initiator,1,Conald
ignore,initiator,-3,Tony
thanks,initiator,-2,Dylan
argue,initiator,2,Squidward
thanks,initiator,-3,Decoy
joke,initiator,0,Eugene
thanks,initiator,-1,Patrick
thanks,initiator,-3,Emily
ignore,initiator,-4,Kofi
insult,receiver,-1,Kofi
thanks,initiator,-4,Decoy
thanks,initiator,0,Decoy
thanks,initiator,-1,Alex
thanks,initiator,-1,Decoy
thanks,initiator,0,Ben
thanks,initiator,-5,Pearl
ignore,initiator,5,Ponchis
joke,receiver,0,Amber
thanks,initiator,-1,Pearl
thanks,initiator,-2,Alex
insult,initiator,-2,Conald
thanks,initiator,0,Alex
compliment,initiator,-3,Eugene
thanks,receiver,-1,Ponchis
argue,receiver,3,Kofi
joke,receiver,0,Eugene
ignore,initiator,-12,Tony
thanks,initiator,-4,Alex
thanks,initiator,-2,Squidward
compliment,initiator,0,Spongebob
thanks,initiator,-1,Alex
