dialog,order,influence,sender
insult,initiator,-5,Kofi
compliment,receiver,0,Michael
argue,receiver,-4,Micah
joke,initiator,5,Patrick
compliment,receiver,0,Michael
compliment,receiver,5,Claire
compliment,receiver,5,Spongebob
compliment,initiator,3,Emma
thanks,initiator,2,Decoy
compliment,receiver,5,Alex
thanks,initiator,0,Decoy
insult,receiver,-3,Jimmy
compliment,receiver,0,Claire
ignore,receiver,-1,Kofi
joke,receiver,5,Micah
ignore,initiator,-4,Tony
thanks,initiator,1,Emma
compliment,receiver,0,Alex
ignore,initiator,-2,Squidward
compliment,receiver,-2,Michael
joke,initiator,4,Ben
compliment,receiver,0,Amber
insult,initiator,-3,Conald
compliment,receiver,5,Claire
argue,receiver,-5,Amber
compliment,receiver,5,Emily
ignore,initiator,-5,Tony
thanks,initiator,0,Emily
ignore,receiver,-3,Eugene
thanks,initiator,0,Micah
argue,receiver,-9,Michael
compliment,initiator,-4,Dylan
thanks,initiator,0,Claire
compliment,receiver,5,Micah
thanks,initiator,1,Spongebob
insult,receiver,0,Eugene
ignore,initiator,-3,Jimmy
ignore,initiator,-3,Decoy
insult,initiator,-5,Kofi
ignore,initiator,-4,Ponchis
argue,receiver,-6,Squidward
thanks,initiator,0,Patrick
joke,receiver,5,Ponchis
thanks,initiator,1,Patrick
ignore,initiator,-4,Jimmy
argue,receiver,-7,Pearl
argue,receiver,3,Pearl
thanks,receiver,0,Micah
joke,receiver,0,Tony
ignore,initiator,-3,Tony
insult,initiator,-4,Kofi
thanks,initiator,1,Dom
thanks,initiator,0,Ben
argue,receiver,-7,Conald
ignore,initiator,-5,Ponchis
compliment,receiver,0,Spongebob
argue,receiver,0,Conald
insult,receiver,-2,Ponchis
ignore,initiator,-3,Tony
ignore,initiator,-5,Tony
thanks,initiator,0,Emma
insult,receiver,-3,Kofi
thanks,initiator,0,Decoy
insult,receiver,-3,Ben
insult,initiator,-3,Squidward
ignore,initiator,-2,Tony
insult,receiver,0,Conald
insult,receiver,-4,Michael
joke,receiver,0,Jimmy
thanks,initiator,0,Emily
ignore,initiator,-2,Ponchis
argue,receiver,-4,Pearl
thanks,initiator,1,Micah
thanks,initiator,0,Patrick
thanks,initiator,0,Spongebob
argue,receiver,0,Pearl
joke,initiator,0,Spongebob
thanks,initiator,1,Spongebob
thanks,initiator,0,Patrick
ignore,initiator,0,Squidward
argue,receiver,1,Conald
compliment,receiver,4,Emma
compliment,receiver,-1,Claire
thanks,initiator,1,Micah
ignore,initiator,0,Squidward
argue,receiver,-5,Michael
joke,receiver,0,Spongebob
thanks,receiver,1,Jimmy
thanks,initiator,1,Alex
thanks,initiator,0,Decoy
compliment,receiver,8,Emily
compliment,receiver,0,Decoy
thanks,initiator,1,Alex
joke,receiver,5,Ponchis
joke,receiver,0,Decoy
thanks,initiator,1,Patrick
ignore,initiator,-1,Tony
joke,receiver,4,Emma
compliment,receiver,-2,Emily
thanks,initiator,0,Alex
compliment,initiator,-3,Emily
joke,receiver,0,Eugene
thanks,initiator,1,Micah
ignore,initiator,-1,Decoy
thanks,receiver,0,Conald
ignore,initiator,-4,Jimmy
joke,receiver,3,Eugene
compliment,receiver,5,Ben
argue,initiator,0,Pearl
compliment,initiator,0,Kofi
thanks,initiator,0,Dylan
joke,receiver,3,Eugene
compliment,receiver,-3,Decoy
insult,receiver,-2,Ponchis
thanks,initiator,1,Emma
thanks,initiator,0,Amber
thanks,initiator,0,Claire
compliment,initiator,-5,Ben
ignore,initiator,0,Tony
compliment,initiator,10,Claire
argue,receiver,0,Pearl
compliment,receiver,-5,Decoy
ignore,initiator,-2,Squidward
joke,receiver,2,Eugene
thanks,initiator,0,Decoy
argue,receiver,1,Decoy
thanks,initiator,1,Dom
insult,receiver,0,Dylan
argue,receiver,4,Dylan
thanks,initiator,0,Spongebob
compliment,receiver,-3,Ben
thanks,initiator,1,Alex
argue,receiver,0,Michael
thanks,initiator,0,Dylan
ignore,receiver,-3,Conald
thanks,initiator,0,Eugene
thanks,initiator,0,Emma
joke,receiver,2,Ponchis
ignore,initiator,-3,Squidward
joke,receiver,0,Ponchis
ignore,initiator,-5,Jimmy
thanks,receiver,1,Pearl
compliment,receiver,5,Kofi
insult,receiver,-3,Conald
thanks,initiator,0,Spongebob
compliment,initiator,0,Jimmy
ignore,initiator,-5,Squidward
thanks,initiator,1,Decoy
compliment,initiator,0,Alex
compliment,receiver,10,Michael
ignore,receiver,0,Conald
thanks,initiator,1,Patrick
thanks,initiator,1,Dylan
thanks,initiator,0,Dylan
compliment,receiver,-2,Claire
joke,receiver,4,Spongebob
thanks,initiator,1,Decoy
joke,receiver,4,Amber
thanks,initiator,0,Dylan
thanks,initiator,0,Decoy
thanks,initiator,0,Emily
joke,receiver,3,Decoy
ignore,initiator,-1,Tony
