dialog,order,influence,sender
compliment,receiver,32,Claire
joke,receiver,3,Oliver
argue,receiver,0,Pearl
insult,receiver,-85,Kofi
compliment,receiver,13,Michael
compliment,receiver,14,Michael
joke,receiver,4,Alex
insult,initiator,-28,Michael
joke,receiver,1,Emma
compliment,receiver,26,Dylan
insult,receiver,0,Claire
argue,receiver,-4,Pearl
compliment,receiver,6,Claire
ignore,initiator,0,Ponchis
joke,receiver,2,Decoy
compliment,receiver,0,Micah
compliment,receiver,14,Jimmy
argue,receiver,-8,Tony
argue,receiver,-1,Emma
argue,receiver,-6,Ponchis
joke,initiator,3,Ben
insult,receiver,-5,Jimmy
insult,receiver,-2,Eugene
argue,receiver,0,Jimmy
thanks,initiator,0,Emily
compliment,receiver,28,Micah
joke,receiver,1,Amber
joke,receiver,4,Ben
argue,receiver,-4,Kofi
compliment,receiver,30,Kofi
compliment,receiver,16,Dylan
joke,receiver,1,Jimmy
joke,receiver,0,Alex
joke,receiver,4,Oliver
joke,receiver,3,Oliver
ignore,initiator,-1,Squidward
insult,receiver,-51,Spongebob
compliment,receiver,15,Emma
insult,receiver,-75,Kofi
joke,receiver,5,Jimmy
argue,receiver,-3,Dylan
compliment,receiver,24,Ponchis
compliment,receiver,5,Kofi
insult,receiver,-39,Conald
argue,receiver,4,Conald
thanks,initiator,4,Dom
argue,receiver,0,Pearl
argue,receiver,-5,Kofi
compliment,receiver,12,Claire
joke,receiver,0,Eugene
joke,receiver,4,Ponchis
joke,receiver,2,Oliver
compliment,receiver,24,Amber
insult,receiver,0,Jimmy
joke,receiver,2,Oliver
compliment,receiver,26,Alex
joke,receiver,3,Alex
joke,receiver,0,Conald
insult,receiver,-4,Jimmy
insult,receiver,-1,Michael
compliment,receiver,28,Ben
argue,receiver,-5,Alex
joke,receiver,5,Amber
insult,receiver,-5,Ponchis
joke,receiver,3,Oliver
insult,receiver,-5,Conald
joke,receiver,0,Eugene
ignore,initiator,0,Tony
thanks,initiator,0,Dylan
thanks,initiator,4,Claire
ignore,initiator,0,Ponchis
insult,receiver,-4,Eugene
insult,receiver,-75,Michael
joke,receiver,3,Amber
compliment,receiver,8,Emily
argue,receiver,1,Michael
compliment,receiver,4,Conald
compliment,receiver,0,Decoy
thanks,initiator,0,Claire
joke,receiver,5,Eugene
joke,receiver,0,Ben
argue,receiver,-3,Conald
insult,receiver,-24,Tony
joke,receiver,1,Jimmy
insult,receiver,-11,Conald
compliment,receiver,6,Decoy
insult,receiver,3,Tony
argue,receiver,-2,Jimmy
argue,receiver,4,Kofi
argue,receiver,-6,Tony
compliment,initiator,11,Claire
joke,receiver,1,Micah
joke,receiver,2,Spongebob
argue,receiver,4,Squidward
compliment,receiver,8,Ben
ignore,receiver,3,Conald
compliment,initiator,22,Ben
argue,receiver,0,Conald
argue,receiver,5,Tony
argue,receiver,-7,Squidward
insult,receiver,0,Michael
compliment,receiver,0,Spongebob
insult,receiver,-4,Kofi
ignore,initiator,0,Jimmy
compliment,receiver,2,Oliver
insult,receiver,-24,Michael
compliment,receiver,11,Michael
argue,receiver,-9,Squidward
argue,receiver,-7,Alex
insult,receiver,0,Tony
insult,receiver,-44,Conald
insult,receiver,-50,Tony
argue,receiver,3,Jimmy
compliment,receiver,7,Pearl
joke,receiver,0,Eugene
compliment,receiver,0,Emma
thanks,receiver,0,Oliver
joke,receiver,5,Jimmy
joke,receiver,0,Amber
joke,receiver,3,Ben
compliment,receiver,0,Pearl
compliment,receiver,9,Dylan
joke,receiver,0,Ponchis
compliment,receiver,16,Amber
compliment,receiver,6,Micah
compliment,receiver,4,Michael
joke,receiver,4,Amber
ignore,receiver,3,Dylan
argue,receiver,3,Amber
argue,receiver,0,Spongebob
insult,receiver,0,Conald
argue,receiver,4,Kofi
argue,receiver,5,Conald
argue,receiver,0,Squidward
compliment,receiver,18,Ponchis
joke,receiver,4,Claire
compliment,receiver,10,Decoy
insult,receiver,0,Jimmy
joke,receiver,3,Ben
compliment,receiver,0,Kofi
compliment,receiver,0,Micah
joke,receiver,2,Micah
compliment,receiver,0,Pearl
insult,receiver,-5,Michael
compliment,receiver,20,Emma
argue,receiver,5,Michael
argue,receiver,1,Ben
joke,receiver,1,Ponchis
ignore,receiver,0,Kofi
argue,receiver,4,Squidward
compliment,receiver,22,Alex
ignore,receiver,0,Conald
argue,receiver,1,Tony
argue,receiver,3,Michael
joke,receiver,0,Spongebob
compliment,receiver,0,Amber
argue,receiver,-5,Amber
insult,receiver,-1,Kofi
