dialog,order,influence,sender
thanks,initiator,2,Decoy
insult,initiator,-10,Kofi
thanks,initiator,1,Emma
joke,receiver,0,Spongebob
joke,initiator,0,Patrick
compliment,initiator,6,Spongebob
thanks,initiator,1,Claire
argue,initiator,5,Squidward
argue,initiator,3,Squidward
thanks,initiator,0,Claire
compliment,initiator,10,Alex
thanks,initiator,3,Claire
argue,receiver,0,Ponchis
thanks,initiator,4,Alex
compliment,initiator,6,Michael
ignore,initiator,-2,Ponchis
insult,initiator,-1,Patrick
ignore,initiator,-3,Ponchis
insult,initiator,-10,Conald
ignore,receiver,-1,Claire
thanks,initiator,3,Spongebob
compliment,initiator,5,Alex
compliment,initiator,7,Ben
thanks,initiator,4,Claire
compliment,initiator,5,Emma
thanks,initiator,3,Emma
joke,initiator,2,Emma
argue,receiver,0,Kofi
thanks,initiator,2,Amber
joke,receiver,-5,Amber
thanks,initiator,1,Micah
argue,receiver,3,Jimmy
compliment,receiver,10,Claire
compliment,receiver,0,Jimmy
ignore,initiator,3,Ponchis
thanks,initiator,1,Alex
joke,receiver,-5,Dylan
thanks,initiator,3,Amber
compliment,initiator,0,Emily
compliment,initiator,3,Dylan
argue,receiver,2,Michael
argue,receiver,2,Amber
compliment,receiver,5,Claire
argue,initiator,4,Tony
argue,initiator,3,Kofi
thanks,initiator,2,Decoy
thanks,initiator,4,Amber
ignore,receiver,0,Ponchis
ignore,initiator,-1,Amber
ignore,initiator,-1,Decoy
thanks,initiator,1,Ben
compliment,initiator,0,Emily
ignore,initiator,-2,Oliver
joke,initiator,3,Oliver
compliment,initiator,0,Dylan
thanks,initiator,3,Amber
argue,receiver,5,Ben
ignore,initiator,0,Conald
argue,receiver,1,Ben
insult,initiator,-18,Eugene
compliment,receiver,6,Emma
thanks,initiator,2,Eugene
compliment,receiver,5,Michael
compliment,receiver,0,Claire
ignore,initiator,-5,Decoy
compliment,receiver,3,Kofi
compliment,initiator,5,Dylan
joke,receiver,-5,Jimmy
compliment,initiator,5,Alex
thanks,initiator,4,Decoy
compliment,receiver,0,Amber
insult,receiver,-6,Ponchis
joke,receiver,-3,Ben
thanks,initiator,1,Emily
thanks,initiator,3,Decoy
compliment,initiator,4,Emma
thanks,initiator,3,Patrick
compliment,initiator,2,Michael
compliment,initiator,4,Alex
thanks,initiator,4,Eugene
thanks,initiator,5,Dylan
ignore,initiator,-4,Michael
insult,initiator,-3,Dom
argue,receiver,3,Michael
ignore,initiator,0,Oliver
thanks,initiator,3,Oliver
compliment,initiator,0,Dylan
argue,receiver,0,Conald
compliment,initiator,3,Michael
compliment,initiator,7,Claire
thanks,initiator,4,Claire
thanks,initiator,1,Emily
joke,initiator,-1,Emily
argue,initiator,0,Michael
thanks,initiator,4,Micah
compliment,initiator,2,Claire
argue,initiator,5,Tony
ignore,initiator,-5,Jimmy
argue,initiator,2,Michael
compliment,receiver,6,Micah
argue,initiator,3,Tony
insult,initiator,-2,Kofi
compliment,initiator,6,Ben
argue,initiator,2,Tony
thanks,initiator,4,Decoy
compliment,receiver,4,Emma
argue,initiator,4,Squidward
thanks,initiator,3,Amber
thanks,initiator,0,Claire
thanks,initiator,4,Decoy
ignore,initiator,0,Tony
thanks,initiator,5,Spongebob
insult,receiver,-1,Kofi
thanks,initiator,0,Alex
thanks,initiator,4,Ben
thanks,initiator,4,Decoy
compliment,initiator,3,Amber
compliment,initiator,0,Dylan
thanks,initiator,5,Decoy
thanks,initiator,5,Eugene
insult,initiator,-1,Kofi
insult,initiator,-5,Dom
ignore,initiator,-1,Jimmy
joke,receiver,-3,Oliver
compliment,receiver,0,Emma
compliment,receiver,14,Kofi
compliment,receiver,14,Amber
compliment,receiver,14,Ben
ignore,initiator,-4,Tony
thanks,initiator,2,Emily
joke,receiver,-4,Michael
joke,initiator,-5,Oliver
insult,receiver,0,Ponchis
thanks,initiator,4,Claire
thanks,initiator,2,Claire
ignore,initiator,-1,Ponchis
compliment,receiver,16,Ben
argue,receiver,5,Jimmy
thanks,initiator,3,Spongebob
ignore,initiator,-3,Jimmy
insult,receiver,-2,Conald
thanks,initiator,3,Emily
ignore,initiator,-1,Decoy
joke,initiator,-2,Emily
thanks,initiator,0,Spongebob
insult,initiator,-2,Tony
compliment,initiator,0,Michael
ignore,initiator,-4,Jimmy
thanks,initiator,0,Dylan
thanks,initiator,3,Spongebob
thanks,initiator,0,Emily
thanks,initiator,0,Emily
compliment,initiator,8,Micah
thanks,initiator,0,Spongebob
insult,initiator,-36,Dom
thanks,initiator,5,Emma
thanks,receiver,2,Ponchis
compliment,initiator,7,Michael
thanks,initiator,3,Emma
thanks,initiator,4,Micah
thanks,initiator,2,Decoy
joke,receiver,-1,Spongebob
thanks,initiator,2,Oliver
compliment,initiator,8,Emma
thanks,initiator,2,Spongebob
compliment,initiator,16,Amber
thanks,initiator,0,Spongebob
ignore,initiator,-5,Ponchis
insult,initiator,-4,Jimmy
compliment,initiator,0,Dom
insult,initiator,-2,Michael
ignore,initiator,-1,Tony
thanks,initiator,0,Spongebob
thanks,initiator,0,Alex
thanks,initiator,3,Spongebob
thanks,initiator,0,Ponchis
ignore,initiator,0,Jimmy
thanks,initiator,0,Claire
compliment,receiver,0,Spongebob
thanks,initiator,0,Spongebob
thanks,initiator,0,Claire
thanks,initiator,3,Eugene
thanks,initiator,0,Amber
compliment,receiver,8,Amber
ignore,initiator,-5,Tony
thanks,initiator,0,Ponchis
argue,initiator,3,Dom
thanks,initiator,3,Dom
compliment,receiver,0,Claire
compliment,receiver,0,Dylan
compliment,initiator,0,Jimmy
compliment,receiver,16,Micah
compliment,receiver,0,Oliver
ignore,initiator,0,Tony
thanks,initiator,0,Alex
insult,initiator,-1,Kofi
thanks,initiator,3,Oliver
ignore,initiator,-3,Oliver
thanks,initiator,3,Decoy
thanks,initiator,0,Jimmy
thanks,initiator,0,Dylan
ignore,receiver,-3,Michael
argue,initiator,2,Decoy
thanks,receiver,0,Emma
joke,receiver,0,Spongebob
thanks,initiator,0,Decoy
thanks,initiator,0,Alex
insult,receiver,-1,Conald
thanks,initiator,3,Emily
insult,initiator,-5,Jimmy
insult,receiver,0,Kofi
compliment,receiver,0,Oliver
compliment,receiver,18,Ben
joke,receiver,-5,Eugene
thanks,initiator,0,Alex
thanks,initiator,0,Amber
ignore,initiator,-4,Ponchis
joke,receiver,0,Spongebob
thanks,initiator,3,Ben
thanks,initiator,0,Amber
argue,initiator,0,Squidward
joke,initiator,0,Emily
ignore,initiator,-1,Conald
thanks,initiator,3,Emma
thanks,initiator,0,Dom
joke,receiver,0,Michael
thanks,initiator,0,Emily
thanks,initiator,0,Decoy
joke,receiver,0,Oliver
compliment,receiver,0,Michael
compliment,receiver,-2,Micah
joke,initiator,0,Eugene
insult,receiver,-4,Tony
thanks,initiator,0,Patrick
thanks,initiator,3,Spongebob
argue,receiver,0,Kofi
ignore,receiver,-2,Oliver
thanks,initiator,0,Spongebob
compliment,receiver,0,Michael
thanks,initiator,3,Emily
thanks,initiator,0,Alex
thanks,initiator,3,Amber
thanks,initiator,3,Eugene
insult,initiator,-4,Squidward
ignore,initiator,0,Ponchis
argue,receiver,0,Kofi
ignore,initiator,-5,Ben
compliment,initiator,0,Micah
thanks,initiator,3,Micah
argue,receiver,0,Kofi
argue,receiver,3,Tony
joke,initiator,0,Ben
compliment,receiver,0,Claire
thanks,initiator,0,Decoy
thanks,initiator,0,Micah
thanks,initiator,3,Michael
thanks,initiator,0,Eugene
thanks,initiator,0,Dom
thanks,initiator,3,Ben
argue,receiver,1,Conald
joke,initiator,0,Dylan
insult,receiver,-1,Conald
thanks,initiator,0,Dylan
thanks,initiator,3,Eugene
compliment,receiver,-5,Michael
ignore,initiator,-3,Squidward
thanks,initiator,3,Dom
insult,initiator,-2,Ponchis
thanks,initiator,0,Emily
argue,initiator,0,Conald
thanks,initiator,0,Claire
argue,initiator,5,Eugene
thanks,initiator,3,Oliver
insult,receiver,0,Conald
thanks,initiator,0,Squidward
thanks,initiator,3,Decoy
thanks,initiator,3,Decoy
insult,initiator,-5,Jimmy
joke,receiver,-4,Michael
compliment,initiator,-1,Jimmy
thanks,receiver,0,Conald
compliment,receiver,0,Ben
joke,receiver,-3,Claire
compliment,initiator,9,Decoy
thanks,initiator,0,Patrick
insult,initiator,0,Tony
thanks,initiator,3,Spongebob
compliment,receiver,0,Claire
argue,initiator,0,Conald
