dialog,order,influence,sender
compliment,receiver,8,Emily
insult,receiver,0,Tony
joke,receiver,0,Micah
compliment,receiver,10,Alex
argue,receiver,5,Spongebob
insult,receiver,3,Michael
joke,receiver,-2,Micah
compliment,receiver,9,Dylan
argue,receiver,0,Michael
compliment,receiver,6,Ponchis
joke,receiver,-2,Emily
compliment,receiver,0,Spongebob
argue,receiver,5,Amber
insult,receiver,1,Tony
insult,receiver,0,Michael
insult,receiver,1,Kofi
compliment,receiver,0,Claire
joke,receiver,-3,Ponchis
argue,receiver,4,Amber
compliment,receiver,5,Squidward
ignore,receiver,0,Decoy
compliment,receiver,6,Ben
joke,receiver,-4,Ponchis
argue,receiver,2,Squidward
joke,receiver,16,Alex
joke,receiver,-4,Eugene
argue,receiver,1,Squidward
ignore,receiver,0,Conald
argue,receiver,1,Conald
compliment,receiver,9,Michael
compliment,receiver,4,Amber
argue,receiver,0,Micah
ignore,receiver,3,Kofi
argue,receiver,0,Claire
compliment,receiver,4,Decoy
compliment,receiver,0,Dom
insult,receiver,3,Michael
joke,receiver,-2,Emily
joke,receiver,-4,Ponchis
argue,receiver,2,Ponchis
compliment,receiver,0,Claire
insult,receiver,4,Conald
joke,receiver,12,Dylan
insult,receiver,0,Tony
insult,receiver,1,Conald
compliment,receiver,4,Decoy
joke,receiver,16,Emily
joke,receiver,-4,Emily
joke,receiver,9,Micah
insult,receiver,-4,Conald
insult,receiver,-3,Conald
joke,receiver,-1,Kofi
insult,receiver,-1,Michael
joke,receiver,0,Ponchis
joke,receiver,3,Michael
compliment,receiver,8,Micah
insult,receiver,-4,Oliver
compliment,receiver,0,Spongebob
insult,receiver,-3,Michael
joke,receiver,9,Eugene
compliment,receiver,7,Emily
joke,receiver,-3,Claire
insult,receiver,-3,Kofi
insult,receiver,-1,Tony
joke,receiver,-2,Emily
compliment,receiver,8,Emily
insult,receiver,-2,Michael
joke,receiver,0,Amber
compliment,receiver,0,Michael
compliment,receiver,7,Claire
compliment,receiver,2,Claire
compliment,receiver,6,Emma
compliment,receiver,7,Amber
insult,receiver,-1,Conald
joke,receiver,12,Emily
joke,receiver,3,Emma
argue,receiver,4,Kofi
joke,receiver,9,Emily
insult,receiver,-1,Conald
joke,receiver,0,Emma
compliment,receiver,0,Pearl
thanks,receiver,4,Emily
joke,receiver,0,Oliver
argue,receiver,0,Conald
argue,receiver,2,Spongebob
joke,receiver,0,Claire
ignore,receiver,1,Kofi
argue,receiver,2,Ben
compliment,receiver,6,Micah
compliment,receiver,0,Michael
joke,receiver,-4,Amber
argue,receiver,4,Kofi
compliment,receiver,4,Pearl
compliment,receiver,0,Alex
joke,receiver,-4,Alex
compliment,receiver,8,Dom
compliment,receiver,5,Eugene
compliment,receiver,0,Pearl
argue,receiver,5,Micah
compliment,receiver,0,Oliver
argue,receiver,1,Tony
joke,receiver,-4,Eugene
compliment,receiver,0,Michael
joke,receiver,-1,Claire
argue,receiver,5,Michael
insult,receiver,0,Tony
argue,receiver,3,Emily
compliment,initiator,8,Emily
joke,receiver,-2,Claire
compliment,receiver,10,Pearl
joke,receiver,-3,Tony
argue,receiver,0,Kofi
argue,receiver,1,Kofi
compliment,receiver,0,Alex
joke,receiver,6,Emily
ignore,initiator,0,Dylan
compliment,receiver,5,Oliver
argue,receiver,2,Amber
joke,receiver,0,Claire
compliment,receiver,0,Emily
thanks,initiator,0,Claire
compliment,receiver,-2,Alex
