dialog,order,influence,sender
insult,receiver,0,Conald
compliment,initiator,9,Spongebob
argue,receiver,0,Emily
compliment,receiver,4,Micah
thanks,initiator,-2,Pearl
compliment,receiver,7,Spongebob
argue,receiver,0,Jimmy
joke,receiver,0,Alex
ignore,receiver,-5,Amber
insult,receiver,5,Michael
argue,receiver,0,Pearl
compliment,receiver,5,Emma
joke,receiver,0,Ben
compliment,initiator,0,Ben
compliment,initiator,4,Claire
argue,receiver,0,Pearl
joke,receiver,0,Patrick
insult,initiator,0,Kofi
thanks,initiator,0,Eugene
thanks,initiator,0,Emily
compliment,receiver,7,Spongebob
thanks,initiator,0,Decoy
ignore,initiator,-3,Jimmy
thanks,initiator,3,Patrick
argue,receiver,0,Conald
argue,receiver,0,Pearl
insult,receiver,-6,Michael
compliment,receiver,7,Michael
thanks,receiver,4,Eugene
thanks,initiator,0,Emily
compliment,receiver,6,Conald
thanks,initiator,4,Eugene
joke,receiver,0,Jimmy
thanks,initiator,-1,Amber
thanks,initiator,5,Alex
thanks,initiator,0,Alex
thanks,initiator,0,Eugene
joke,receiver,0,Oliver
thanks,initiator,4,Emma
thanks,initiator,-5,Pearl
joke,initiator,0,Ben
insult,receiver,0,Conald
joke,initiator,0,Oliver
insult,initiator,-3,Conald
compliment,receiver,6,Emma
insult,initiator,-15,Tony
thanks,receiver,-3,Decoy
argue,receiver,0,Emily
thanks,initiator,-1,Emily
compliment,receiver,4,Amber
joke,receiver,0,Alex
insult,initiator,-8,Conald
compliment,initiator,7,Claire
compliment,receiver,4,Spongebob
joke,receiver,0,Oliver
ignore,initiator,0,Plankton
thanks,initiator,-4,Patrick
thanks,initiator,3,Amber
ignore,initiator,-1,Oliver
thanks,initiator,-5,Eugene
thanks,initiator,3,Spongebob
insult,receiver,-2,Jimmy
insult,initiator,-4,Kofi
joke,receiver,0,Emily
joke,receiver,0,Dylan
thanks,initiator,0,Alex
insult,initiator,-2,Conald
joke,receiver,0,Eugene
insult,initiator,0,Pearl
joke,initiator,0,Dylan
thanks,initiator,-4,Micah
thanks,initiator,-3,Dom
insult,initiator,0,Kofi
insult,receiver,0,Tony
thanks,initiator,0,Emily
joke,receiver,0,Oliver
joke,receiver,0,Emily
thanks,initiator,0,Patrick
ignore,initiator,0,Jimmy
thanks,initiator,0,Alex
compliment,initiator,4,Michael
ignore,initiator,-3,Jimmy
joke,receiver,0,Eugene
thanks,initiator,2,Micah
compliment,initiator,7,Michael
thanks,initiator,3,Alex
compliment,initiator,2,Amber
thanks,initiator,0,Emma
ignore,initiator,-5,Alex
compliment,receiver,0,Micah
compliment,receiver,4,Kofi
thanks,initiator,-3,Ben
thanks,initiator,2,Decoy
joke,initiator,0,Oliver
thanks,initiator,-3,Patrick
argue,receiver,0,Jimmy
argue,initiator,0,Plankton
compliment,receiver,5,Emma
joke,receiver,0,Emily
thanks,initiator,-2,Micah
joke,receiver,0,Micah
joke,receiver,0,Decoy
compliment,initiator,6,Claire
thanks,initiator,-1,Amber
joke,initiator,0,Claire
compliment,initiator,0,Dom
joke,receiver,0,Patrick
compliment,receiver,3,Claire
insult,initiator,-5,Conald
ignore,initiator,0,Kofi
joke,initiator,0,Claire
compliment,receiver,2,Decoy
argue,receiver,0,Dylan
joke,receiver,0,Emma
compliment,receiver,5,Ben
argue,receiver,0,Emily
joke,receiver,0,Emily
thanks,initiator,5,Decoy
thanks,initiator,2,Decoy
thanks,initiator,3,Eugene
ignore,initiator,-2,Tony
ignore,initiator,0,Oliver
compliment,initiator,0,Dylan
compliment,receiver,5,Dylan
thanks,initiator,3,Decoy
compliment,initiator,0,Emily
thanks,initiator,3,Emma
insult,receiver,0,Michael
argue,receiver,0,Kofi
insult,receiver,-6,Jimmy
argue,receiver,0,Ben
argue,receiver,0,Michael
thanks,initiator,4,Pearl
ignore,initiator,-2,Plankton
compliment,initiator,6,Spongebob
thanks,initiator,2,Claire
compliment,receiver,3,Dylan
argue,receiver,0,Pearl
compliment,receiver,3,Ben
joke,receiver,0,Eugene
thanks,initiator,-1,Claire
ignore,initiator,0,Tony
ignore,initiator,-3,Tony
thanks,initiator,2,Spongebob
thanks,initiator,4,Squidward
thanks,initiator,5,Eugene
thanks,initiator,2,Oliver
thanks,initiator,4,Eugene
thanks,initiator,4,Oliver
joke,receiver,0,Michael
thanks,initiator,4,Pearl
thanks,initiator,2,Ben
thanks,initiator,4,Emma
thanks,initiator,3,Ben
thanks,initiator,3,Eugene
argue,receiver,0,Pearl
compliment,initiator,0,Jimmy
thanks,initiator,5,Amber
thanks,initiator,-2,Ben
ignore,initiator,-1,Squidward
ignore,initiator,-4,Jimmy
compliment,receiver,5,Michael
compliment,receiver,4,Michael
joke,receiver,0,Micah
compliment,initiator,3,Ben
compliment,receiver,3,Pearl
thanks,initiator,2,Spongebob
compliment,initiator,4,Dom
insult,initiator,-2,Jimmy
joke,receiver,0,Pearl
insult,receiver,-5,Conald
insult,initiator,-5,Kofi
compliment,receiver,2,Michael
thanks,initiator,5,Dylan
joke,receiver,0,Ben
thanks,initiator,5,Emma
thanks,initiator,3,Claire
argue,receiver,0,Emma
thanks,initiator,0,Micah
joke,receiver,0,Decoy
ignore,initiator,0,Decoy
thanks,initiator,4,Eugene
insult,initiator,-12,Conald
joke,receiver,0,Alex
thanks,initiator,0,Emily
insult,initiator,-15,Conald
thanks,initiator,2,Emily
compliment,receiver,3,Decoy
joke,initiator,0,Spongebob
argue,receiver,0,Amber
insult,receiver,-3,Michael
ignore,initiator,-5,Alex
insult,receiver,-1,Michael
thanks,initiator,3,Dylan
ignore,initiator,-4,Tony
compliment,receiver,0,Kofi
joke,receiver,0,Amber
thanks,initiator,2,Emily
joke,receiver,0,Dylan
thanks,initiator,-1,Spongebob
thanks,initiator,2,Dylan
argue,initiator,0,Plankton
argue,initiator,0,Plankton
thanks,initiator,0,Decoy
compliment,receiver,7,Emily
compliment,receiver,4,Pearl
thanks,initiator,5,Emily
joke,receiver,0,Jimmy
thanks,initiator,5,Ben
insult,receiver,-3,Conald
thanks,initiator,0,Emily
thanks,initiator,0,Spongebob
compliment,receiver,0,Micah
thanks,initiator,5,Claire
compliment,initiator,3,Spongebob
joke,receiver,0,Spongebob
thanks,initiator,3,Claire
argue,receiver,-5,Amber
thanks,initiator,3,Emma
compliment,receiver,0,Amber
joke,receiver,0,Oliver
compliment,receiver,0,Decoy
thanks,initiator,0,Alex
argue,receiver,0,Michael
thanks,initiator,3,Micah
compliment,receiver,3,Kofi
compliment,receiver,3,Michael
ignore,initiator,-4,Emily
insult,initiator,0,Kofi
argue,initiator,0,Kofi
compliment,initiator,0,Michael
compliment,receiver,6,Michael
joke,initiator,0,Dylan
compliment,receiver,0,Pearl
thanks,initiator,0,Emma
joke,receiver,0,Eugene
ignore,receiver,-1,Kofi
argue,initiator,0,Plankton
ignore,initiator,0,Oliver
thanks,initiator,2,Decoy
compliment,receiver,6,Eugene
thanks,initiator,5,Emily
compliment,receiver,3,Eugene
thanks,initiator,2,Amber
compliment,initiator,2,Emily
compliment,initiator,4,Amber
ignore,initiator,0,Tony
insult,initiator,-9,Conald
compliment,receiver,0,Micah
argue,receiver,-10,Pearl
compliment,initiator,5,Micah
argue,receiver,-8,Emma
ignore,receiver,0,Conald
ignore,initiator,-1,Emily
joke,receiver,0,Ben
compliment,receiver,0,Emily
compliment,receiver,8,Michael
joke,receiver,1,Eugene
insult,receiver,-1,Kofi
thanks,initiator,2,Eugene
compliment,receiver,0,Kofi
compliment,initiator,2,Eugene
argue,receiver,0,Michael
insult,receiver,-15,Kofi
argue,receiver,0,Michael
ignore,receiver,-3,Kofi
thanks,initiator,4,Emma
thanks,initiator,3,Dylan
thanks,initiator,5,Alex
compliment,initiator,7,Jimmy
thanks,initiator,4,Patrick
compliment,initiator,0,Ben
thanks,initiator,2,Micah
insult,receiver,-12,Kofi
thanks,initiator,3,Spongebob
compliment,receiver,3,Alex
compliment,receiver,0,Decoy
argue,receiver,-10,Tony
joke,receiver,0,Oliver
insult,receiver,-1,Pearl
insult,receiver,-2,Michael
compliment,initiator,6,Eugene
joke,receiver,0,Ben
joke,receiver,3,Alex
compliment,initiator,5,Alex
argue,receiver,0,Pearl
compliment,initiator,3,Pearl
argue,initiator,-9,Squidward
joke,receiver,1,Eugene
thanks,initiator,-3,Micah
argue,receiver,0,Tony
joke,receiver,1,Michael
joke,receiver,2,Decoy
joke,receiver,0,Oliver
joke,receiver,4,Oliver
insult,receiver,-1,Tony
compliment,initiator,8,Michael
insult,initiator,0,Conald
thanks,initiator,3,Dom
compliment,initiator,5,Dylan
argue,receiver,0,Squidward
compliment,initiator,5,Dom
argue,receiver,0,Michael
compliment,initiator,6,Jimmy
compliment,initiator,7,Micah
compliment,receiver,6,Amber
compliment,initiator,3,Oliver
joke,receiver,3,Claire
thanks,initiator,3,Patrick
argue,receiver,-5,Squidward
thanks,initiator,4,Dylan
insult,receiver,-4,Michael
thanks,initiator,-2,Micah
thanks,initiator,0,Claire
thanks,initiator,4,Alex
compliment,initiator,6,Eugene
insult,receiver,-3,Tony
thanks,initiator,2,Claire
insult,receiver,-3,Conald
ignore,receiver,-4,Kofi
joke,receiver,0,Amber
argue,initiator,-4,Squidward
joke,receiver,1,Dom
thanks,initiator,4,Dom
ignore,receiver,-2,Conald
ignore,initiator,-2,Michael
compliment,receiver,0,Pearl
joke,receiver,3,Decoy
argue,receiver,-9,Conald
thanks,initiator,5,Pearl
compliment,receiver,6,Decoy
ignore,initiator,-4,Kofi
compliment,initiator,0,Ben
joke,receiver,0,Emma
joke,receiver,5,Michael
thanks,initiator,2,Micah
joke,receiver,2,Spongebob
thanks,initiator,5,Patrick
ignore,receiver,-4,Michael
joke,initiator,0,Spongebob
compliment,receiver,7,Dylan
insult,initiator,-16,Conald
joke,initiator,3,Dylan
argue,receiver,0,Kofi
compliment,initiator,0,Claire
ignore,initiator,-3,Tony
joke,receiver,5,Eugene
thanks,initiator,0,Oliver
joke,receiver,5,Michael
compliment,receiver,4,Micah
ignore,initiator,0,Tony
compliment,initiator,4,Jimmy
joke,receiver,3,Alex
insult,receiver,-3,Michael
insult,receiver,-2,Conald
