dialog,order,influence,sender
ignore,initiator,0,Dylan
compliment,receiver,0,Amber
argue,receiver,-2,Ponchis
ignore,initiator,-2,Tony
thanks,initiator,6,Micah
ignore,initiator,-2,Pearl
compliment,receiver,30,Claire
ignore,initiator,0,Conald
argue,receiver,-3,Pearl
thanks,initiator,6,Ben
compliment,initiator,-4,Emma
thanks,initiator,7,Alex
thanks,initiator,7,Oliver
insult,receiver,-34,Kofi
compliment,receiver,15,Claire
compliment,initiator,0,Alex
thanks,initiator,0,Claire
ignore,initiator,-4,Jimmy
ignore,initiator,-5,Ponchis
insult,initiator,-2,Conald
thanks,initiator,6,Dylan
argue,initiator,-1,Plankton
insult,receiver,-2,Conald
insult,receiver,-2,Claire
argue,receiver,0,Pearl
thanks,initiator,0,Emily
ignore,initiator,-11,Jimmy
thanks,initiator,0,Decoy
insult,initiator,-2,Kofi
ignore,initiator,-4,Ponchis
thanks,initiator,0,Amber
thanks,initiator,6,Micah
thanks,initiator,6,Decoy
argue,receiver,4,Conald
thanks,receiver,0,Eugene
compliment,receiver,16,Amber
insult,initiator,-4,Dom
compliment,initiator,-5,Alex
ignore,initiator,-3,Tony
joke,receiver,0,Micah
joke,receiver,5,Oliver
joke,receiver,4,Jimmy
thanks,initiator,7,Eugene
insult,receiver,-4,Conald
insult,initiator,-1,Michael
insult,receiver,-2,Conald
thanks,initiator,7,Claire
ignore,initiator,-5,Jimmy
argue,initiator,-6,Kofi
compliment,receiver,0,Michael
joke,receiver,5,Alex
thanks,initiator,7,Alex
joke,initiator,5,Dylan
insult,initiator,0,Tony
thanks,receiver,0,Kofi
compliment,initiator,0,Patrick
thanks,initiator,7,Eugene
thanks,initiator,7,Emily
argue,receiver,5,Amber
thanks,initiator,7,Decoy
insult,initiator,0,Michael
ignore,initiator,-4,Ponchis
thanks,initiator,0,Oliver
thanks,initiator,7,Alex
insult,receiver,-2,Ponchis
argue,receiver,0,Ben
thanks,initiator,7,Ben
thanks,initiator,0,Dylan
insult,receiver,-4,Tony
compliment,receiver,34,Alex
joke,initiator,5,Dylan
insult,initiator,0,Conald
ignore,initiator,-3,Plankton
argue,receiver,-5,Amber
compliment,initiator,-1,Emily
thanks,initiator,7,Decoy
compliment,receiver,0,Oliver
ignore,receiver,-1,Michael
compliment,receiver,17,Amber
compliment,receiver,17,Oliver
ignore,initiator,0,Tony
compliment,receiver,-4,Oliver
thanks,initiator,7,Emily
argue,receiver,-7,Jimmy
argue,receiver,3,Conald
joke,receiver,3,Jimmy
compliment,receiver,32,Claire
joke,initiator,3,Oliver
compliment,receiver,0,Amber
insult,receiver,-68,Conald
thanks,initiator,0,Eugene
compliment,receiver,28,Michael
thanks,initiator,0,Claire
joke,receiver,5,Emily
thanks,initiator,6,Dylan
ignore,receiver,0,Jimmy
thanks,initiator,6,Emma
joke,receiver,1,Ben
insult,receiver,-5,Conald
argue,receiver,-3,Kofi
joke,receiver,5,Amber
argue,receiver,2,Pearl
argue,receiver,-2,Conald
compliment,receiver,-5,Alex
compliment,receiver,0,Alex
joke,receiver,2,Emily
ignore,initiator,0,Tony
argue,receiver,-1,Kofi
argue,receiver,2,Tony
insult,receiver,-4,Eugene
compliment,receiver,0,Dylan
thanks,initiator,0,Emma
ignore,initiator,0,Dom
joke,receiver,0,Jimmy
joke,receiver,1,Claire
joke,receiver,4,Emily
compliment,receiver,0,Dylan
joke,receiver,5,Ponchis
compliment,receiver,0,Kofi
compliment,receiver,0,Jimmy
ignore,initiator,0,Squidward
argue,receiver,0,Pearl
joke,receiver,1,Oliver
compliment,receiver,32,Pearl
argue,receiver,0,Ponchis
thanks,initiator,7,Decoy
joke,receiver,3,Dylan
insult,receiver,0,Michael
compliment,receiver,17,Pearl
compliment,receiver,17,Kofi
compliment,receiver,34,Pearl
thanks,initiator,7,Eugene
insult,initiator,-17,Conald
argue,receiver,5,Michael
thanks,initiator,0,Patrick
thanks,initiator,7,Alex
insult,initiator,-4,Pearl
insult,initiator,0,Kofi
compliment,receiver,32,Oliver
argue,receiver,0,Pearl
argue,receiver,4,Pearl
argue,receiver,-3,Emma
compliment,receiver,-4,Micah
thanks,initiator,7,Decoy
thanks,initiator,0,Decoy
compliment,receiver,0,Pearl
thanks,initiator,0,Patrick
thanks,initiator,7,Emily
thanks,initiator,7,Micah
thanks,initiator,0,Alex
argue,receiver,1,Pearl
argue,receiver,4,Tony
insult,initiator,0,Kofi
thanks,initiator,7,Pearl
joke,receiver,2,Ponchis
argue,receiver,0,Pearl
thanks,initiator,0,Eugene
compliment,initiator,34,Oliver
thanks,initiator,0,Amber
argue,receiver,5,Alex
compliment,receiver,-4,Jimmy
compliment,initiator,17,Emma
insult,receiver,-51,Michael
insult,receiver,0,Conald
thanks,initiator,2,Dylan
thanks,initiator,4,Dom
joke,initiator,1,Michael
ignore,initiator,0,Tony
thanks,initiator,0,Dom
joke,receiver,0,Jimmy
joke,receiver,5,Eugene
joke,receiver,2,Michael
joke,receiver,2,Dylan
joke,receiver,0,Kofi
thanks,initiator,3,Dylan
thanks,initiator,4,Pearl
joke,receiver,2,Ponchis
joke,receiver,5,Dylan
joke,initiator,2,Alex
compliment,initiator,30,Oliver
ignore,initiator,-2,Oliver
joke,receiver,4,Squidward
thanks,initiator,7,Eugene
compliment,receiver,32,Michael
compliment,receiver,-4,Oliver
thanks,initiator,7,Dom
joke,receiver,3,Ponchis
argue,initiator,0,Squidward
thanks,initiator,7,Micah
insult,receiver,-5,Conald
joke,receiver,1,Micah
thanks,initiator,7,Emily
compliment,initiator,34,Pearl
argue,receiver,-7,Ponchis
joke,receiver,0,Oliver
ignore,initiator,-11,Squidward
compliment,receiver,-3,Eugene
compliment,initiator,-1,Jimmy
argue,receiver,0,Jimmy
thanks,initiator,6,Alex
argue,receiver,0,Michael
compliment,receiver,-1,Ponchis
insult,initiator,-1,Kofi
ignore,initiator,-3,Tony
ignore,initiator,-4,Ponchis
ignore,initiator,0,Tony
thanks,initiator,0,Emma
compliment,initiator,-5,Jimmy
compliment,receiver,0,Pearl
insult,receiver,-5,Michael
thanks,initiator,6,Emma
compliment,receiver,0,Pearl
joke,receiver,0,Amber
ignore,initiator,-6,Kofi
compliment,initiator,16,Dom
joke,receiver,4,Michael
insult,initiator,-3,Conald
joke,initiator,3,Emily
