dialog,order,influence,sender
argue,receiver,5,Pearl
argue,receiver,1,Pearl
insult,receiver,0,Eugene
joke,receiver,0,Oliver
joke,receiver,0,Eugene
compliment,receiver,7,Emily
thanks,initiator,-2,Ben
argue,receiver,0,Amber
argue,receiver,2,Eugene
ignore,initiator,2,Oliver
joke,receiver,-4,Micah
joke,receiver,-2,Ben
thanks,initiator,-5,Claire
compliment,receiver,0,Decoy
joke,receiver,0,Patrick
argue,receiver,1,Jimmy
ignore,receiver,0,Kofi
joke,receiver,-1,Ben
insult,receiver,4,Decoy
argue,receiver,2,Conald
joke,receiver,12,Tony
compliment,receiver,10,Dylan
compliment,receiver,2,Ben
ignore,receiver,0,Conald
joke,receiver,-2,Oliver
argue,receiver,0,Jimmy
joke,receiver,-1,Micah
joke,receiver,-3,Amber
compliment,receiver,8,Alex
compliment,receiver,9,Amber
joke,receiver,0,Oliver
joke,receiver,-5,Decoy
insult,receiver,-8,Conald
compliment,receiver,0,Oliver
compliment,receiver,6,Ben
argue,receiver,2,Emma
thanks,initiator,-4,Claire
argue,receiver,3,Jimmy
argue,receiver,1,Tony
argue,receiver,0,Pearl
compliment,receiver,7,Alex
thanks,receiver,-1,Micah
joke,receiver,-5,Decoy
compliment,initiator,5,Emma
argue,receiver,0,Tony
joke,initiator,0,Michael
ignore,initiator,0,Plankton
compliment,receiver,3,Decoy
compliment,receiver,6,Kofi
joke,receiver,12,Oliver
compliment,receiver,4,Amber
compliment,receiver,4,Claire
joke,receiver,9,Spongebob
argue,receiver,3,Michael
argue,initiator,3,Plankton
compliment,receiver,7,Alex
joke,receiver,-3,Ben
joke,receiver,6,Ponchis
insult,receiver,-8,Kofi
joke,receiver,-5,Ben
joke,initiator,9,Claire
argue,initiator,3,Plankton
joke,receiver,6,Oliver
insult,receiver,-8,Conald
joke,receiver,0,Jimmy
insult,receiver,-8,Kofi
joke,initiator,-4,Patrick
compliment,receiver,6,Kofi
insult,receiver,0,Conald
joke,receiver,-5,Michael
joke,receiver,3,Oliver
insult,initiator,-12,Patrick
insult,receiver,0,Conald
joke,receiver,9,Ponchis
joke,receiver,-2,Eugene
compliment,receiver,7,Alex
compliment,initiator,0,Amber
