dialog,order,influence,sender
joke,receiver,0,Spongebob
ignore,initiator,0,Dylan
compliment,receiver,4,Michael
compliment,receiver,3,Alex
insult,initiator,1,Micah
thanks,initiator,-2,Micah
ignore,initiator,-5,Plankton
joke,receiver,0,Micah
argue,receiver,0,Amber
ignore,initiator,-4,Ben
argue,receiver,0,Eugene
joke,receiver,0,Oliver
compliment,initiator,6,Alex
joke,receiver,0,Dylan
compliment,receiver,7,Amber
ignore,initiator,-1,Claire
insult,initiator,0,Patrick
compliment,receiver,8,Jimmy
compliment,receiver,5,Claire
insult,receiver,0,Michael
thanks,initiator,5,Eugene
argue,initiator,0,Conald
joke,receiver,0,Oliver
compliment,receiver,4,Spongebob
insult,receiver,-3,Conald
thanks,initiator,3,Claire
joke,receiver,0,Claire
ignore,initiator,-2,Dom
ignore,receiver,-1,Kofi
argue,receiver,0,Pearl
compliment,receiver,6,Ben
joke,receiver,0,Ben
compliment,receiver,-4,Spongebob
insult,receiver,0,Conald
argue,receiver,0,Eugene
insult,receiver,-3,Conald
insult,receiver,-4,Ponchis
compliment,receiver,3,Claire
joke,receiver,0,Decoy
compliment,receiver,5,Micah
thanks,initiator,-2,Decoy
thanks,initiator,4,Oliver
joke,receiver,0,Oliver
thanks,receiver,4,Claire
compliment,receiver,6,Michael
joke,receiver,0,Eugene
thanks,initiator,3,Eugene
compliment,receiver,4,Micah
insult,initiator,-3,Dom
ignore,initiator,-5,Jimmy
compliment,receiver,6,Claire
joke,receiver,0,Oliver
insult,receiver,-1,Kofi
thanks,initiator,2,Spongebob
compliment,receiver,0,Amber
joke,receiver,0,Oliver
thanks,initiator,3,Alex
ignore,initiator,-1,Squidward
compliment,receiver,4,Alex
thanks,initiator,5,Dylan
joke,receiver,0,Oliver
compliment,receiver,-3,Claire
ignore,initiator,-5,Plankton
thanks,initiator,2,Amber
insult,receiver,-2,Micah
ignore,initiator,0,Ponchis
compliment,receiver,4,Amber
insult,receiver,-4,Conald
insult,initiator,-4,Michael
compliment,initiator,-3,Michael
compliment,receiver,0,Spongebob
compliment,initiator,2,Emma
joke,receiver,0,Ben
insult,receiver,0,Michael
argue,receiver,0,Pearl
thanks,initiator,5,Emma
thanks,initiator,2,Emily
argue,receiver,0,Pearl
argue,receiver,0,Pearl
compliment,receiver,3,Emily
joke,receiver,0,Oliver
argue,initiator,0,Squidward
joke,receiver,0,Ben
insult,initiator,-3,Eugene
joke,receiver,0,Patrick
compliment,initiator,3,Alex
joke,receiver,0,Alex
compliment,receiver,6,Michael
argue,receiver,0,Kofi
insult,initiator,-1,Conald
thanks,initiator,3,Claire
compliment,receiver,0,Amber
argue,receiver,0,Pearl
argue,receiver,0,Conald
compliment,receiver,3,Emma
insult,receiver,-3,Alex
argue,receiver,0,Conald
compliment,receiver,6,Michael
compliment,receiver,0,Ben
insult,receiver,-2,Conald
argue,initiator,0,Squidward
joke,initiator,0,Emma
insult,receiver,0,Conald
compliment,receiver,1,Claire
thanks,receiver,3,Alex
thanks,initiator,4,Micah
compliment,receiver,0,Spongebob
joke,receiver,0,Micah
joke,receiver,0,Ponchis
thanks,initiator,4,Micah
compliment,receiver,4,Ben
compliment,initiator,2,Spongebob
thanks,initiator,2,Ben
ignore,initiator,-3,Decoy
joke,initiator,0,Claire
argue,receiver,0,Kofi
joke,receiver,0,Pearl
compliment,initiator,5,Alex
insult,initiator,-4,Patrick
ignore,initiator,0,Eugene
joke,receiver,0,Ben
joke,receiver,0,Eugene
joke,receiver,0,Kofi
compliment,receiver,4,Kofi
compliment,initiator,1,Emily
joke,receiver,0,Oliver
thanks,initiator,3,Emily
compliment,receiver,4,Ben
joke,receiver,0,Alex
joke,receiver,0,Ponchis
joke,initiator,0,Patrick
joke,receiver,0,Ponchis
compliment,receiver,0,Amber
joke,receiver,0,Eugene
compliment,receiver,2,Dylan
ignore,initiator,-3,Conald
ignore,receiver,-1,Pearl
joke,receiver,0,Alex
compliment,receiver,0,Dylan
compliment,receiver,0,Dylan
insult,receiver,0,Kofi
insult,initiator,-2,Patrick
thanks,receiver,5,Micah
thanks,initiator,3,Eugene
argue,initiator,0,Kofi
thanks,initiator,5,Emma
thanks,initiator,4,Dom
insult,receiver,-4,Conald
thanks,initiator,3,Patrick
thanks,initiator,4,Emily
insult,receiver,0,Kofi
ignore,receiver,0,Conald
compliment,receiver,3,Pearl
thanks,initiator,4,Spongebob
insult,initiator,-1,Conald
thanks,initiator,2,Dom
argue,receiver,0,Michael
argue,receiver,0,Conald
compliment,receiver,4,Pearl
insult,receiver,-5,Kofi
thanks,initiator,3,Decoy
argue,receiver,0,Jimmy
thanks,initiator,2,Amber
thanks,initiator,2,Patrick
argue,receiver,0,Kofi
ignore,receiver,0,Oliver
joke,receiver,0,Eugene
ignore,receiver,0,Conald
ignore,receiver,0,Pearl
ignore,initiator,-4,Patrick
joke,receiver,0,Spongebob
thanks,initiator,0,Emily
thanks,initiator,0,Jimmy
ignore,receiver,0,Michael
thanks,initiator,0,Dom
ignore,receiver,-3,Oliver
joke,receiver,0,Eugene
joke,receiver,0,Dylan
joke,receiver,0,Ponchis
compliment,initiator,0,Decoy
thanks,initiator,-5,Decoy
thanks,initiator,2,Emma
thanks,initiator,3,Decoy
compliment,initiator,2,Micah
thanks,initiator,4,Decoy
thanks,initiator,0,Decoy
compliment,receiver,4,Emma
thanks,initiator,0,Dylan
compliment,initiator,-4,Jimmy
thanks,initiator,-1,Claire
joke,receiver,0,Dylan
