dialog,order,feedback,receiver
compliment,initiator,-5,Michael
compliment,initiator,24,Dylan
joke,initiator,0,Michael
joke,initiator,0,Michael
thanks,receiver,-4,Kofi
compliment,initiator,3,Tony
thanks,receiver,7,Spongebob
thanks,receiver,6,Emma
thanks,initiator,0,Claire
compliment,initiator,2,Kofi
compliment,receiver,10,Pearl
compliment,receiver,0,Spongebob
compliment,initiator,26,Dylan
thanks,receiver,6,Emma
joke,initiator,0,Ponchis
thanks,receiver,4,Pearl
joke,initiator,4,Patrick
thanks,receiver,-2,Michael
compliment,initiator,10,Plankton
thanks,receiver,0,Amber
ignore,receiver,-1,Micah
compliment,receiver,13,Amber
thanks,receiver,0,Amber
compliment,initiator,5,Oliver
compliment,initiator,5,Micah
compliment,receiver,5,Pearl
thanks,receiver,6,Dylan
compliment,receiver,6,Tony
compliment,initiator,-1,Emily
compliment,initiator,0,Oliver
thanks,receiver,1,Pearl
compliment,initiator,7,Conald
thanks,receiver,7,Dylan
thanks,receiver,0,Dylan
compliment,receiver,-5,Spongebob
thanks,receiver,6,Emma
compliment,receiver,16,Emily
thanks,receiver,-4,Michael
thanks,receiver,5,Ponchis
thanks,receiver,-3,Eugene
thanks,receiver,0,Ponchis
thanks,receiver,0,Claire
joke,initiator,2,Micah
joke,initiator,0,Patrick
joke,initiator,5,Spongebob
thanks,receiver,7,Spongebob
joke,initiator,0,Ben
compliment,receiver,-2,Kofi
compliment,initiator,0,Kofi
thanks,receiver,7,Claire
compliment,initiator,0,Claire
joke,initiator,0,Ponchis
thanks,receiver,7,Dylan
joke,initiator,0,Michael
compliment,receiver,5,Pearl
thanks,receiver,0,Amber
thanks,receiver,7,Spongebob
compliment,initiator,-1,Claire
thanks,receiver,5,Jimmy
thanks,receiver,0,Ben
compliment,initiator,34,Spongebob
thanks,receiver,0,Ponchis
thanks,receiver,3,Tony
compliment,initiator,4,Tony
compliment,initiator,-3,Kofi
thanks,receiver,2,Conald
thanks,receiver,0,Kofi
thanks,receiver,-3,Kofi
compliment,initiator,20,Dylan
joke,initiator,4,Ben
compliment,receiver,4,Pearl
joke,receiver,0,Conald
argue,initiator,2,Jimmy
argue,initiator,9,Kofi
compliment,initiator,8,Squidward
compliment,initiator,26,Patrick
thanks,receiver,0,Ponchis
joke,initiator,1,Micah
joke,initiator,3,Patrick
thanks,receiver,7,Claire
thanks,receiver,-3,Michael
thanks,receiver,3,Ponchis
thanks,receiver,1,Oliver
thanks,receiver,1,Ben
ignore,receiver,-5,Ponchis
compliment,initiator,32,Amber
thanks,receiver,2,Eugene
thanks,receiver,0,Micah
joke,initiator,0,Emma
thanks,receiver,7,Emily
argue,initiator,-5,Patrick
