dialog,order,feedback,receiver
compliment,initiator,0,Spongebob
ignore,initiator,-5,Ponchis
compliment,initiator,0,Alex
thanks,receiver,-1,Conald
compliment,initiator,13,Alex
compliment,initiator,-4,Alex
compliment,initiator,0,Claire
compliment,receiver,5,Jimmy
argue,initiator,0,Tony
compliment,initiator,30,Micah
compliment,initiator,26,Emily
compliment,initiator,6,Decoy
thanks,receiver,2,Pearl
compliment,initiator,7,Tony
joke,initiator,-5,Pearl
compliment,initiator,0,Oliver
thanks,receiver,0,Spongebob
compliment,receiver,17,Emma
argue,initiator,-5,Oliver
compliment,initiator,16,Spongebob
compliment,initiator,17,Dylan
thanks,receiver,3,Pearl
compliment,initiator,-5,Kofi
compliment,receiver,30,Emily
compliment,initiator,5,Decoy
argue,initiator,0,Eugene
thanks,receiver,5,Micah
thanks,receiver,0,Emily
argue,initiator,2,Pearl
argue,initiator,0,Squidward
thanks,receiver,-1,Ponchis
thanks,receiver,7,Micah
joke,initiator,1,Patrick
compliment,initiator,-3,Michael
thanks,receiver,4,Conald
thanks,receiver,4,Pearl
ignore,receiver,-1,Pearl
ignore,receiver,-5,Conald
thanks,receiver,0,Ben
compliment,receiver,17,Emily
thanks,receiver,3,Pearl
compliment,initiator,4,Ponchis
thanks,receiver,1,Ben
ignore,receiver,0,Michael
joke,initiator,3,Emma
argue,initiator,5,Spongebob
thanks,receiver,6,Emma
joke,initiator,2,Alex
thanks,receiver,3,Ponchis
compliment,initiator,0,Pearl
ignore,receiver,0,Claire
compliment,initiator,0,Tony
thanks,receiver,-5,Conald
compliment,initiator,8,Decoy
argue,initiator,5,Plankton
compliment,initiator,34,Claire
argue,initiator,-5,Spongebob
joke,receiver,0,Michael
joke,receiver,0,Michael
thanks,receiver,0,Emily
thanks,receiver,2,Tony
compliment,initiator,-3,Dylan
compliment,initiator,0,Decoy
compliment,initiator,4,Tony
joke,initiator,4,Emma
compliment,initiator,10,Ben
joke,initiator,-3,Squidward
compliment,initiator,17,Spongebob
compliment,initiator,24,Patrick
thanks,receiver,0,Kofi
compliment,initiator,0,Dylan
compliment,initiator,9,Squidward
joke,initiator,1,Ben
thanks,receiver,-3,Kofi
compliment,initiator,-2,Michael
compliment,initiator,0,Ben
compliment,initiator,0,Spongebob
compliment,receiver,2,Ponchis
compliment,initiator,32,Emma
thanks,receiver,0,Alex
compliment,initiator,-3,Michael
joke,initiator,-1,Kofi
argue,initiator,0,Decoy
compliment,initiator,34,Claire
joke,initiator,5,Patrick
joke,receiver,0,Emma
thanks,initiator,7,Claire
thanks,receiver,3,Pearl
compliment,receiver,0,Micah
thanks,receiver,-1,Ponchis
argue,initiator,-7,Ben
compliment,initiator,0,Alex
compliment,receiver,-5,Emma
compliment,initiator,0,Tony
joke,initiator,5,Spongebob
