dialog,order,feedback,receiver
joke,receiver,-2,Kofi
compliment,receiver,16,Emma
argue,initiator,-3,Eugene
thanks,receiver,6,Spongebob
ignore,receiver,-4,Kofi
joke,initiator,0,Ponchis
compliment,receiver,0,Ponchis
thanks,receiver,0,Claire
compliment,receiver,-1,Michael
argue,initiator,-1,Micah
compliment,receiver,7,Pearl
ignore,receiver,-4,Tony
joke,receiver,0,Eugene
joke,receiver,4,Oliver
thanks,receiver,-4,Eugene
joke,initiator,0,Micah
ignore,receiver,-5,Michael
joke,receiver,3,Patrick
compliment,receiver,-4,Kofi
joke,receiver,1,Micah
joke,receiver,0,Michael
thanks,receiver,6,Claire
thanks,receiver,-2,Squidward
argue,initiator,0,Claire
thanks,receiver,6,Emma
joke,initiator,4,Patrick
joke,receiver,0,Ponchis
joke,initiator,-2,Squidward
joke,initiator,0,Dylan
thanks,receiver,1,Pearl
compliment,initiator,6,Tony
joke,initiator,0,Tony
compliment,initiator,26,Amber
joke,initiator,1,Dom
thanks,receiver,4,Conald
thanks,receiver,0,Dylan
argue,initiator,5,Pearl
thanks,receiver,7,Alex
argue,initiator,1,Pearl
joke,initiator,2,Amber
compliment,receiver,-4,Kofi
compliment,initiator,0,Decoy
compliment,receiver,0,Claire
thanks,receiver,0,Oliver
ignore,receiver,-3,Claire
joke,initiator,-1,Squidward
joke,initiator,2,Emma
compliment,initiator,0,Jimmy
thanks,receiver,2,Conald
compliment,receiver,7,Eugene
joke,initiator,0,Claire
argue,initiator,0,Jimmy
joke,initiator,4,Alex
argue,initiator,0,Spongebob
thanks,receiver,7,Spongebob
joke,initiator,0,Jimmy
joke,initiator,0,Jimmy
compliment,initiator,2,Squidward
joke,initiator,0,Decoy
joke,initiator,-3,Pearl
thanks,receiver,0,Michael
insult,initiator,-3,Oliver
argue,initiator,-1,Dom
compliment,receiver,28,Alex
joke,initiator,2,Emma
argue,initiator,0,Decoy
thanks,receiver,6,Amber
thanks,receiver,0,Amber
compliment,initiator,34,Claire
joke,initiator,0,Tony
joke,initiator,5,Emma
compliment,receiver,-1,Amber
compliment,initiator,16,Emma
compliment,initiator,34,Claire
argue,initiator,0,Kofi
thanks,receiver,4,Conald
compliment,initiator,15,Alex
compliment,initiator,6,Squidward
compliment,initiator,0,Dylan
compliment,receiver,6,Pearl
compliment,receiver,3,Conald
thanks,receiver,-3,Ponchis
compliment,initiator,28,Patrick
compliment,initiator,-1,Michael
joke,initiator,0,Tony
joke,initiator,1,Spongebob
thanks,receiver,-1,Michael
compliment,receiver,0,Jimmy
compliment,initiator,26,Dom
compliment,receiver,34,Amber
compliment,initiator,6,Eugene
argue,initiator,4,Emma
compliment,initiator,5,Ponchis
compliment,receiver,0,Michael
thanks,receiver,4,Pearl
thanks,receiver,-1,Kofi
compliment,initiator,0,Tony
argue,initiator,0,Eugene
compliment,initiator,5,Oliver
compliment,receiver,34,Emily
thanks,receiver,0,Claire
joke,initiator,0,Patrick
thanks,receiver,-4,Kofi
compliment,initiator,24,Dylan
compliment,initiator,4,Tony
compliment,receiver,-4,Kofi
compliment,receiver,7,Conald
thanks,receiver,-5,Kofi
thanks,receiver,2,Tony
compliment,initiator,14,Pearl
joke,initiator,0,Tony
compliment,receiver,-4,Micah
argue,initiator,4,Claire
compliment,receiver,0,Decoy
compliment,initiator,6,Plankton
compliment,receiver,-5,Oliver
argue,initiator,-2,Kofi
argue,initiator,0,Ponchis
joke,initiator,0,Claire
compliment,initiator,0,Claire
