dialog,order,feedback,receiver
compliment,initiator,0,Eugene
compliment,initiator,32,Patrick
compliment,initiator,30,Spongebob
compliment,initiator,0,Eugene
thanks,receiver,1,Pearl
thanks,receiver,5,Micah
compliment,initiator,5,Oliver
compliment,receiver,16,Alex
compliment,initiator,15,Spongebob
thanks,receiver,0,Pearl
compliment,initiator,10,Eugene
thanks,receiver,0,Emma
thanks,receiver,3,Pearl
compliment,initiator,3,Jimmy
compliment,initiator,1,Jimmy
thanks,receiver,0,Spongebob
compliment,initiator,28,Dylan
compliment,initiator,0,Ben
compliment,receiver,4,Ponchis
insult,initiator,0,Patrick
compliment,initiator,7,Eugene
ignore,initiator,-1,Pearl
compliment,initiator,6,Patrick
insult,initiator,-2,Spongebob
compliment,initiator,0,Oliver
thanks,receiver,0,Amber
thanks,receiver,4,Pearl
compliment,initiator,0,Micah
thanks,receiver,7,Emma
joke,initiator,0,Conald
thanks,receiver,-1,Kofi
ignore,receiver,-1,Tony
thanks,receiver,7,Emma
compliment,initiator,10,Pearl
compliment,initiator,1,Decoy
compliment,initiator,5,Oliver
compliment,initiator,0,Micah
compliment,receiver,-4,Dylan
compliment,initiator,5,Tony
insult,initiator,1,Eugene
thanks,receiver,6,Emily
compliment,initiator,-1,Emma
thanks,receiver,0,Oliver
thanks,receiver,6,Emily
compliment,initiator,10,Ben
compliment,initiator,0,Decoy
thanks,receiver,3,Tony
joke,initiator,0,Tony
compliment,initiator,5,Pearl
compliment,receiver,10,Ben
argue,initiator,0,Decoy
joke,initiator,0,Alex
thanks,receiver,7,Spongebob
thanks,receiver,-3,Kofi
thanks,receiver,-5,Squidward
joke,receiver,-4,Kofi
compliment,initiator,15,Emma
thanks,receiver,0,Kofi
compliment,initiator,3,Tony
compliment,initiator,15,Alex
joke,initiator,1,Ben
thanks,initiator,4,Tony
thanks,receiver,6,Alex
compliment,initiator,0,Pearl
thanks,receiver,-2,Eugene
compliment,initiator,-3,Ben
compliment,receiver,7,Ponchis
thanks,receiver,0,Ben
compliment,initiator,6,Tony
thanks,receiver,0,Alex
thanks,receiver,-2,Michael
thanks,receiver,4,Conald
argue,initiator,3,Dylan
compliment,initiator,-1,Amber
thanks,receiver,-4,Eugene
compliment,receiver,0,Micah
thanks,receiver,5,Amber
compliment,initiator,-3,Dylan
compliment,initiator,-3,Tony
compliment,initiator,12,Patrick
compliment,receiver,6,Eugene
thanks,receiver,-3,Jimmy
thanks,initiator,2,Micah
thanks,receiver,1,Ben
thanks,initiator,4,Dylan
compliment,receiver,7,Pearl
thanks,receiver,4,Pearl
compliment,initiator,30,Emma
thanks,receiver,0,Kofi
compliment,initiator,3,Micah
compliment,initiator,-1,Oliver
compliment,receiver,2,Pearl
argue,initiator,-10,Alex
compliment,initiator,32,Spongebob
thanks,receiver,0,Ben
joke,initiator,2,Micah
thanks,receiver,4,Dylan
thanks,receiver,0,Spongebob
compliment,initiator,22,Dylan
compliment,receiver,0,Jimmy
joke,initiator,0,Decoy
thanks,receiver,-4,Squidward
thanks,receiver,0,Emma
joke,initiator,3,Emily
thanks,receiver,0,Michael
thanks,receiver,0,Amber
thanks,receiver,7,Amber
thanks,receiver,-2,Conald
thanks,receiver,0,Kofi
compliment,initiator,0,Plankton
thanks,receiver,0,Pearl
thanks,receiver,-5,Jimmy
thanks,receiver,0,Dylan
compliment,receiver,6,Ponchis
joke,receiver,0,Ponchis
thanks,receiver,4,Patrick
compliment,initiator,3,Ponchis
compliment,receiver,4,Conald
thanks,receiver,3,Tony
joke,receiver,0,Ponchis
joke,initiator,0,Micah
thanks,receiver,-5,Kofi
thanks,receiver,0,Emma
thanks,receiver,7,Emily
compliment,initiator,0,Jimmy
thanks,receiver,-2,Michael
compliment,initiator,1,Tony
thanks,receiver,0,Patrick
compliment,initiator,5,Ben
compliment,receiver,4,Jimmy
thanks,receiver,3,Conald
compliment,initiator,16,Micah
thanks,receiver,-5,Eugene
joke,initiator,5,Dylan
joke,receiver,0,Tony
thanks,receiver,0,Oliver
thanks,receiver,0,Conald
compliment,initiator,9,Eugene
ignore,receiver,0,Ben
compliment,initiator,-1,Amber
joke,initiator,3,Micah
compliment,initiator,0,Dylan
compliment,receiver,0,Jimmy
joke,initiator,1,Spongebob
thanks,receiver,0,Ben
thanks,receiver,0,Ben
compliment,receiver,17,Micah
compliment,receiver,10,Oliver
thanks,receiver,4,Pearl
thanks,receiver,2,Ponchis
thanks,receiver,2,Pearl
thanks,receiver,-5,Kofi
compliment,initiator,4,Squidward
compliment,receiver,7,Eugene
thanks,receiver,-1,Ponchis
thanks,receiver,-1,Eugene
compliment,receiver,-2,Decoy
thanks,receiver,0,Michael
thanks,receiver,-1,Kofi
compliment,receiver,0,Dylan
compliment,receiver,-1,Michael
compliment,receiver,1,Conald
thanks,receiver,2,Conald
thanks,receiver,0,Amber
joke,receiver,9,Squidward
compliment,receiver,11,Patrick
thanks,receiver,0,Amber
joke,receiver,0,Conald
thanks,receiver,-2,Michael
thanks,receiver,7,Micah
thanks,receiver,0,Kofi
ignore,receiver,-4,Micah
thanks,receiver,-5,Michael
thanks,receiver,0,Michael
thanks,receiver,0,Pearl
compliment,initiator,30,Dom
thanks,receiver,-1,Kofi
compliment,initiator,-2,Oliver
compliment,receiver,8,Eugene
thanks,receiver,0,Pearl
thanks,receiver,0,Michael
joke,initiator,0,Dom
thanks,receiver,3,Alex
thanks,receiver,-3,Michael
compliment,initiator,0,Pearl
thanks,receiver,0,Kofi
thanks,receiver,0,Michael
thanks,receiver,-2,Kofi
thanks,receiver,1,Oliver
thanks,receiver,3,Ponchis
thanks,receiver,6,Dylan
compliment,initiator,0,Dom
argue,initiator,0,Plankton
thanks,receiver,0,Eugene
compliment,receiver,-3,Kofi
thanks,receiver,6,Micah
thanks,receiver,4,Conald
thanks,receiver,0,Amber
thanks,receiver,7,Micah
joke,initiator,4,Decoy
thanks,receiver,0,Dylan
compliment,receiver,-5,Kofi
thanks,receiver,-1,Kofi
joke,receiver,5,Micah
compliment,initiator,0,Plankton
compliment,receiver,17,Dylan
thanks,receiver,7,Micah
thanks,receiver,-1,Tony
compliment,receiver,12,Eugene
compliment,receiver,0,Tony
thanks,receiver,5,Ponchis
thanks,receiver,-1,Kofi
thanks,receiver,5,Eugene
thanks,receiver,0,Emily
thanks,receiver,5,Eugene
thanks,receiver,6,Emily
thanks,receiver,3,Ponchis
joke,initiator,3,Oliver
compliment,receiver,5,Ben
thanks,initiator,0,Amber
argue,initiator,-3,Eugene
compliment,receiver,6,Conald
thanks,receiver,-4,Michael
compliment,initiator,12,Decoy
thanks,receiver,0,Eugene
thanks,receiver,0,Ben
compliment,receiver,0,Eugene
thanks,receiver,0,Oliver
thanks,receiver,0,Michael
thanks,receiver,0,Oliver
thanks,receiver,4,Conald
thanks,receiver,1,Ben
thanks,receiver,7,Emily
thanks,receiver,4,Conald
argue,initiator,-3,Emma
compliment,initiator,0,Pearl
compliment,initiator,0,Conald
thanks,receiver,0,Oliver
thanks,receiver,5,Alex
joke,initiator,5,Eugene
thanks,receiver,6,Eugene
compliment,receiver,0,Emily
argue,initiator,-9,Amber
compliment,initiator,-1,Oliver
thanks,receiver,0,Eugene
argue,initiator,-7,Decoy
thanks,receiver,7,Micah
joke,initiator,4,Decoy
joke,initiator,5,Spongebob
thanks,initiator,0,Eugene
compliment,receiver,-2,Amber
argue,initiator,5,Alex
compliment,initiator,28,Dom
joke,initiator,-3,Plankton
compliment,initiator,0,Micah
joke,initiator,4,Spongebob
thanks,receiver,0,Emily
thanks,receiver,0,Oliver
thanks,receiver,0,Pearl
thanks,receiver,-3,Michael
thanks,receiver,-5,Michael
argue,initiator,0,Micah
compliment,initiator,6,Squidward
thanks,receiver,0,Emily
joke,initiator,-3,Pearl
compliment,initiator,0,Pearl
compliment,initiator,12,Ben
joke,initiator,0,Michael
thanks,receiver,4,Conald
compliment,initiator,7,Plankton
thanks,receiver,-2,Kofi
compliment,initiator,2,Plankton
compliment,initiator,-3,Jimmy
thanks,receiver,0,Micah
argue,initiator,5,Jimmy
argue,initiator,0,Dom
joke,initiator,-1,Kofi
thanks,receiver,0,Eugene
joke,receiver,2,Decoy
thanks,receiver,-2,Kofi
thanks,receiver,0,Pearl
joke,initiator,2,Spongebob
compliment,receiver,-5,Amber
compliment,initiator,7,Oliver
compliment,initiator,-1,Dom
compliment,receiver,2,Conald
compliment,initiator,-4,Spongebob
thanks,receiver,3,Pearl
compliment,receiver,0,Alex
thanks,initiator,6,Decoy
thanks,receiver,7,Emma
argue,initiator,1,Squidward
joke,initiator,3,Dylan
thanks,receiver,7,Alex
compliment,initiator,16,Spongebob
joke,initiator,0,Plankton
joke,initiator,0,Tony
compliment,initiator,0,Conald
thanks,receiver,-2,Conald
compliment,initiator,17,Eugene
compliment,initiator,-4,Alex
joke,initiator,2,Decoy
compliment,initiator,-2,Emma
thanks,receiver,-2,Kofi
compliment,receiver,0,Conald
thanks,receiver,0,Amber
argue,initiator,5,Squidward
compliment,initiator,-1,Jimmy
joke,receiver,0,Oliver
thanks,initiator,0,Jimmy
thanks,receiver,0,Oliver
compliment,initiator,0,Decoy
joke,receiver,1,Decoy
joke,initiator,0,Kofi
joke,initiator,3,Ponchis
joke,initiator,4,Patrick
thanks,receiver,7,Micah
joke,receiver,0,Amber
joke,receiver,-2,Kofi
compliment,initiator,34,Emma
thanks,receiver,0,Ponchis
compliment,initiator,0,Michael
joke,initiator,0,Oliver
thanks,receiver,7,Micah
thanks,initiator,0,Oliver
joke,initiator,0,Oliver
thanks,receiver,2,Ponchis
compliment,initiator,0,Spongebob
thanks,receiver,0,Pearl
thanks,receiver,2,Oliver
thanks,receiver,-5,Kofi
compliment,initiator,0,Amber
thanks,receiver,-5,Kofi
thanks,receiver,2,Tony
compliment,receiver,28,Spongebob
compliment,initiator,34,Alex
thanks,initiator,0,Emily
joke,receiver,3,Amber
argue,initiator,0,Emma
joke,initiator,5,Ben
joke,initiator,-1,Squidward
joke,initiator,-1,Plankton
thanks,receiver,-3,Kofi
thanks,receiver,0,Kofi
thanks,initiator,0,Kofi
thanks,receiver,4,Conald
thanks,receiver,-3,Tony
joke,initiator,4,Micah
joke,initiator,-2,Plankton
compliment,initiator,0,Oliver
compliment,initiator,0,Amber
insult,initiator,-5,Emma
compliment,initiator,-2,Michael
compliment,initiator,-3,Kofi
thanks,receiver,0,Dylan
thanks,receiver,3,Pearl
compliment,initiator,0,Tony
compliment,initiator,6,Conald
compliment,receiver,0,Ponchis
compliment,receiver,6,Conald
joke,receiver,1,Decoy
