dialog,order,feedback,receiver
insult,initiator,0,Ponchis
insult,initiator,-5,Jimmy
insult,initiator,0,Michael
insult,initiator,-21,Decoy
ignore,receiver,0,Spongebob
insult,receiver,-3,Jimmy
insult,initiator,0,Emma
insult,receiver,-5,Jimmy
argue,initiator,0,Eugene
insult,receiver,-2,Spongebob
insult,receiver,-4,Kofi
insult,initiator,-2,Spongebob
insult,initiator,-2,Amber
insult,receiver,-10,Pearl
insult,initiator,-4,Jimmy
insult,receiver,-3,Kofi
insult,receiver,-4,Claire
insult,initiator,-3,Emma
argue,initiator,0,Emily
insult,receiver,-3,Oliver
ignore,receiver,-1,Kofi
insult,initiator,-4,Jimmy
argue,initiator,0,Ponchis
insult,initiator,-2,Jimmy
insult,receiver,-85,Emma
argue,initiator,4,Spongebob
argue,initiator,1,Dylan
argue,receiver,0,Tony
insult,receiver,-14,Alex
insult,receiver,0,Kofi
insult,initiator,-3,Tony
insult,initiator,0,Emily
insult,initiator,-4,Michael
insult,initiator,-4,Spongebob
compliment,initiator,6,Ponchis
insult,initiator,-1,Micah
insult,initiator,-2,Spongebob
compliment,initiator,0,Amber
insult,initiator,5,Eugene
insult,initiator,0,Michael
insult,initiator,-4,Amber
ignore,receiver,-3,Kofi
insult,initiator,0,Ponchis
insult,initiator,0,Tony
argue,initiator,5,Ben
argue,initiator,-1,Kofi
insult,initiator,-3,Tony
insult,receiver,-3,Ponchis
insult,initiator,1,Eugene
ignore,receiver,0,Pearl
argue,initiator,0,Jimmy
insult,initiator,-2,Kofi
argue,initiator,3,Michael
ignore,initiator,-2,Eugene
argue,receiver,-4,Micah
compliment,initiator,32,Micah
insult,initiator,-4,Kofi
insult,initiator,3,Eugene
insult,receiver,-8,Ponchis
insult,initiator,-3,Jimmy
insult,initiator,2,Eugene
insult,initiator,-3,Ben
argue,initiator,-7,Oliver
insult,receiver,-1,Emma
argue,initiator,0,Oliver
insult,initiator,-70,Dylan
insult,initiator,-3,Claire
argue,receiver,-9,Emily
insult,initiator,-4,Dylan
insult,initiator,0,Dylan
insult,initiator,-39,Patrick
argue,initiator,4,Patrick
insult,receiver,-1,Kofi
argue,initiator,2,Squidward
insult,initiator,0,Micah
