dialog,order,feedback,receiver
thanks,receiver,2,Pearl
ignore,receiver,-1,Conald
thanks,receiver,2,Oliver
thanks,receiver,0,Micah
thanks,receiver,6,Emma
thanks,receiver,0,Emma
thanks,receiver,-1,Kofi
thanks,receiver,0,Oliver
thanks,receiver,-1,Micah
thanks,receiver,0,Spongebob
thanks,receiver,6,Amber
joke,initiator,2,Patrick
thanks,receiver,0,Ponchis
joke,initiator,0,Michael
thanks,receiver,-5,Eugene
thanks,receiver,0,Claire
thanks,receiver,6,Spongebob
thanks,receiver,7,Dylan
joke,initiator,0,Jimmy
thanks,receiver,5,Micah
thanks,receiver,4,Amber
thanks,receiver,6,Claire
thanks,receiver,2,Micah
thanks,receiver,6,Claire
ignore,receiver,-3,Oliver
thanks,receiver,2,Pearl
thanks,receiver,-2,Michael
ignore,receiver,-1,Pearl
compliment,initiator,0,Squidward
thanks,receiver,-1,Michael
thanks,initiator,-3,Ponchis
joke,initiator,0,Tony
thanks,receiver,6,Emma
joke,initiator,5,Dylan
thanks,receiver,-2,Tony
thanks,receiver,0,Ben
thanks,receiver,-3,Michael
thanks,receiver,0,Emma
ignore,receiver,-5,Pearl
thanks,receiver,2,Jimmy
thanks,receiver,7,Emily
thanks,receiver,7,Spongebob
thanks,receiver,4,Pearl
thanks,receiver,7,Emily
thanks,receiver,0,Emily
insult,initiator,4,Squidward
thanks,receiver,-3,Conald
thanks,receiver,5,Amber
thanks,receiver,0,Ben
thanks,receiver,4,Conald
thanks,receiver,0,Oliver
thanks,receiver,3,Pearl
joke,initiator,0,Dom
thanks,receiver,0,Amber
thanks,receiver,1,Ben
thanks,receiver,-1,Eugene
thanks,receiver,7,Spongebob
argue,initiator,4,Dylan
thanks,receiver,-1,Michael
compliment,initiator,0,Jimmy
joke,initiator,-5,Squidward
thanks,receiver,-3,Jimmy
joke,initiator,0,Michael
thanks,receiver,0,Oliver
thanks,receiver,7,Claire
compliment,initiator,0,Oliver
thanks,receiver,0,Amber
thanks,receiver,4,Pearl
thanks,receiver,2,Ponchis
joke,initiator,0,Oliver
thanks,receiver,4,Pearl
thanks,receiver,-2,Eugene
joke,initiator,0,Ponchis
ignore,receiver,-7,Conald
thanks,receiver,3,Jimmy
thanks,receiver,0,Kofi
compliment,initiator,0,Dom
ignore,receiver,-1,Oliver
joke,initiator,-5,Squidward
ignore,receiver,-4,Michael
compliment,initiator,2,Ponchis
thanks,receiver,4,Pearl
thanks,receiver,5,Pearl
compliment,initiator,0,Patrick
thanks,receiver,-5,Eugene
thanks,receiver,5,Ponchis
thanks,receiver,-2,Eugene
thanks,receiver,0,Dylan
thanks,receiver,2,Ponchis
compliment,initiator,-3,Oliver
ignore,receiver,-3,Tony
compliment,initiator,3,Squidward
thanks,receiver,3,Ponchis
thanks,receiver,6,Emma
ignore,initiator,0,Plankton
compliment,initiator,0,Ben
argue,initiator,0,Amber
compliment,initiator,-1,Dylan
compliment,initiator,15,Emma
compliment,initiator,7,Conald
thanks,receiver,0,Michael
compliment,initiator,-5,Oliver
thanks,receiver,-2,Eugene
thanks,receiver,0,Oliver
joke,initiator,0,Micah
joke,initiator,0,Michael
argue,initiator,1,Oliver
ignore,receiver,0,Emily
compliment,initiator,6,Patrick
thanks,receiver,0,Kofi
ignore,receiver,-1,Pearl
ignore,receiver,-11,Kofi
compliment,initiator,0,Emily
compliment,initiator,14,Dom
joke,initiator,3,Claire
joke,initiator,1,Dylan
thanks,receiver,7,Spongebob
compliment,initiator,32,Emily
thanks,receiver,-3,Michael
thanks,receiver,2,Pearl
ignore,receiver,-3,Conald
ignore,receiver,-5,Ben
thanks,receiver,1,Oliver
compliment,initiator,0,Dylan
thanks,receiver,7,Spongebob
thanks,receiver,0,Kofi
compliment,initiator,-2,Ben
thanks,receiver,0,Eugene
thanks,receiver,6,Dylan
thanks,receiver,0,Spongebob
thanks,receiver,0,Kofi
compliment,initiator,28,Amber
thanks,receiver,5,Conald
thanks,receiver,1,Oliver
joke,initiator,1,Ben
thanks,receiver,0,Dylan
compliment,initiator,0,Squidward
thanks,receiver,0,Oliver
thanks,receiver,3,Tony
compliment,initiator,0,Dylan
thanks,receiver,0,Dylan
ignore,receiver,-2,Kofi
thanks,receiver,0,Emma
joke,initiator,3,Oliver
joke,initiator,5,Dom
ignore,receiver,-5,Kofi
compliment,initiator,12,Ben
compliment,initiator,7,Conald
joke,initiator,0,Ponchis
ignore,receiver,0,Ponchis
thanks,receiver,3,Pearl
thanks,receiver,0,Amber
argue,receiver,2,Pearl
compliment,initiator,3,Ponchis
ignore,receiver,-11,Conald
thanks,receiver,0,Jimmy
compliment,initiator,4,Plankton
thanks,receiver,-4,Kofi
thanks,receiver,0,Pearl
compliment,receiver,0,Tony
thanks,receiver,-5,Tony
thanks,receiver,0,Claire
compliment,initiator,0,Emma
thanks,receiver,3,Tony
thanks,receiver,0,Ponchis
thanks,receiver,0,Dylan
thanks,receiver,0,Micah
thanks,receiver,4,Tony
thanks,initiator,0,Dom
compliment,initiator,32,Micah
thanks,receiver,0,Tony
thanks,receiver,3,Eugene
joke,initiator,2,Micah
argue,receiver,-4,Kofi
compliment,initiator,5,Oliver
thanks,receiver,0,Pearl
thanks,receiver,0,Emily
thanks,receiver,3,Squidward
thanks,receiver,-5,Tony
compliment,receiver,0,Dylan
compliment,receiver,-4,Micah
thanks,receiver,-1,Kofi
compliment,receiver,0,Michael
thanks,receiver,-2,Michael
joke,initiator,5,Dom
compliment,initiator,4,Plankton
joke,receiver,0,Emma
compliment,initiator,0,Ponchis
thanks,receiver,0,Oliver
thanks,receiver,0,Dom
thanks,receiver,4,Conald
ignore,receiver,0,Michael
thanks,receiver,0,Claire
thanks,receiver,0,Emma
joke,initiator,0,Emily
compliment,receiver,-5,Michael
compliment,initiator,14,Emma
insult,initiator,-4,Tony
thanks,receiver,0,Emily
thanks,receiver,0,Pearl
thanks,receiver,2,Ponchis
thanks,receiver,0,Ben
joke,initiator,2,Dylan
ignore,receiver,0,Emma
ignore,receiver,3,Kofi
ignore,receiver,-5,Claire
thanks,receiver,0,Claire
compliment,initiator,-5,Ben
insult,initiator,-3,Dom
thanks,receiver,7,Emily
ignore,receiver,0,Emma
thanks,receiver,0,Jimmy
thanks,receiver,5,Tony
thanks,receiver,5,Conald
thanks,receiver,3,Pearl
thanks,receiver,3,Pearl
thanks,receiver,7,Amber
thanks,receiver,-1,Kofi
compliment,receiver,0,Conald
compliment,initiator,5,Ben
compliment,receiver,9,Pearl
compliment,receiver,0,Dylan
thanks,receiver,0,Jimmy
thanks,receiver,1,Oliver
thanks,receiver,0,Spongebob
thanks,receiver,7,Spongebob
thanks,receiver,0,Emily
thanks,receiver,7,Amber
thanks,receiver,0,Oliver
joke,initiator,0,Eugene
compliment,initiator,0,Squidward
compliment,initiator,0,Ponchis
thanks,receiver,-4,Kofi
thanks,receiver,-3,Michael
thanks,receiver,3,Tony
compliment,initiator,0,Alex
thanks,receiver,-2,Kofi
joke,initiator,0,Claire
compliment,initiator,0,Pearl
ignore,receiver,-2,Eugene
compliment,initiator,-5,Dylan
thanks,receiver,-4,Michael
thanks,receiver,1,Ben
thanks,receiver,0,Oliver
thanks,receiver,0,Michael
thanks,receiver,7,Emma
thanks,receiver,7,Amber
thanks,receiver,0,Conald
joke,initiator,2,Oliver
thanks,receiver,-1,Michael
compliment,initiator,-5,Oliver
thanks,receiver,0,Claire
joke,initiator,3,Emily
joke,receiver,0,Oliver
joke,initiator,-2,Kofi
joke,initiator,2,Ponchis
thanks,receiver,3,Conald
compliment,initiator,0,Pearl
argue,initiator,0,Dylan
joke,initiator,2,Spongebob
compliment,initiator,0,Pearl
ignore,receiver,-4,Conald
compliment,initiator,-4,Spongebob
compliment,initiator,34,Micah
thanks,receiver,7,Claire
thanks,receiver,0,Micah
thanks,receiver,0,Emma
thanks,receiver,7,Amber
thanks,receiver,4,Conald
thanks,receiver,2,Squidward
thanks,receiver,0,Claire
compliment,initiator,17,Eugene
joke,initiator,2,Claire
compliment,initiator,34,Dom
compliment,initiator,10,Patrick
thanks,receiver,-4,Michael
compliment,initiator,34,Micah
compliment,initiator,0,Dom
compliment,receiver,0,Jimmy
thanks,receiver,0,Alex
compliment,initiator,13,Spongebob
thanks,receiver,3,Conald
compliment,initiator,34,Amber
thanks,receiver,5,Conald
compliment,receiver,0,Kofi
thanks,receiver,6,Spongebob
joke,initiator,3,Ponchis
joke,initiator,0,Emma
joke,receiver,-2,Squidward
thanks,receiver,-4,Tony
thanks,receiver,7,Dylan
compliment,receiver,34,Alex
compliment,initiator,6,Ponchis
thanks,receiver,0,Michael
compliment,receiver,-5,Michael
thanks,receiver,-1,Jimmy
compliment,receiver,34,Emma
joke,initiator,3,Michael
joke,initiator,0,Jimmy
joke,initiator,0,Jimmy
joke,initiator,0,Oliver
argue,initiator,-3,Micah
compliment,receiver,-4,Kofi
thanks,receiver,0,Spongebob
joke,initiator,2,Claire
compliment,initiator,0,Spongebob
argue,initiator,2,Spongebob
compliment,receiver,0,Amber
joke,receiver,8,Ben
ignore,receiver,-2,Micah
compliment,initiator,0,Dylan
compliment,receiver,2,Tony
compliment,initiator,3,Conald
