dialog,order,feedback,receiver
argue,receiver,4,Michael
insult,receiver,-4,Spongebob
ignore,receiver,-2,Tony
thanks,receiver,0,Dylan
thanks,receiver,0,Ben
thanks,receiver,5,Micah
insult,receiver,-3,Tony
thanks,receiver,1,Oliver
thanks,receiver,4,Patrick
argue,receiver,-1,Ben
ignore,receiver,-4,Conald
argue,receiver,1,Micah
thanks,receiver,-3,Ponchis
thanks,receiver,0,Decoy
insult,receiver,-3,Pearl
thanks,receiver,-5,Eugene
thanks,receiver,0,Emily
insult,receiver,4,Eugene
thanks,receiver,-1,Conald
thanks,receiver,0,Emma
thanks,receiver,0,Ben
compliment,receiver,0,Ponchis
thanks,receiver,3,Decoy
insult,receiver,-1,Dylan
thanks,receiver,0,Emma
insult,receiver,-5,Pearl
ignore,receiver,0,Spongebob
thanks,receiver,-1,Jimmy
thanks,receiver,1,Oliver
thanks,receiver,3,Decoy
thanks,receiver,0,Jimmy
insult,receiver,-36,Pearl
thanks,receiver,4,Tony
compliment,receiver,0,Pearl
thanks,receiver,0,Claire
argue,receiver,2,Amber
compliment,receiver,4,Ponchis
thanks,receiver,2,Tony
thanks,receiver,6,Amber
thanks,receiver,6,Claire
argue,receiver,3,Pearl
thanks,receiver,3,Pearl
ignore,receiver,0,Emily
insult,receiver,-20,Squidward
thanks,receiver,0,Decoy
thanks,receiver,4,Spongebob
thanks,receiver,0,Spongebob
thanks,receiver,0,Claire
insult,receiver,0,Michael
thanks,receiver,0,Tony
thanks,receiver,0,Amber
thanks,receiver,2,Ben
compliment,initiator,0,Plankton
thanks,receiver,7,Spongebob
thanks,receiver,-3,Jimmy
joke,receiver,0,Conald
thanks,receiver,0,Decoy
argue,receiver,0,Amber
insult,initiator,-2,Alex
thanks,receiver,-4,Jimmy
thanks,receiver,0,Pearl
thanks,receiver,-1,Jimmy
compliment,receiver,-4,Kofi
compliment,receiver,0,Dylan
thanks,receiver,5,Squidward
joke,receiver,0,Tony
thanks,receiver,0,Decoy
thanks,receiver,3,Conald
compliment,receiver,16,Spongebob
compliment,initiator,-4,Decoy
compliment,receiver,0,Jimmy
insult,receiver,-4,Conald
ignore,receiver,-5,Conald
thanks,receiver,0,Emma
thanks,receiver,7,Amber
thanks,receiver,0,Pearl
compliment,receiver,32,Amber
thanks,receiver,-3,Kofi
thanks,receiver,7,Eugene
thanks,receiver,7,Amber
thanks,receiver,7,Micah
thanks,receiver,3,Pearl
thanks,receiver,7,Claire
insult,receiver,-4,Decoy
thanks,receiver,0,Emily
insult,receiver,-5,Kofi
joke,initiator,8,Dylan
thanks,receiver,7,Emily
thanks,receiver,1,Oliver
thanks,receiver,-2,Conald
compliment,receiver,0,Spongebob
compliment,receiver,0,Tony
compliment,receiver,34,Emma
compliment,initiator,0,Dylan
ignore,receiver,0,Dylan
thanks,receiver,-5,Michael
compliment,receiver,5,Conald
compliment,initiator,15,Alex
joke,receiver,2,Dylan
compliment,receiver,34,Eugene
thanks,receiver,0,Oliver
thanks,receiver,0,Pearl
compliment,initiator,17,Micah
joke,receiver,1,Dylan
thanks,receiver,0,Emily
thanks,receiver,7,Claire
thanks,receiver,0,Eugene
compliment,receiver,0,Dylan
thanks,receiver,0,Oliver
thanks,receiver,0,Pearl
thanks,receiver,7,Claire
thanks,receiver,6,Alex
thanks,receiver,0,Oliver
joke,receiver,0,Conald
compliment,receiver,-5,Alex
thanks,receiver,2,Oliver
thanks,receiver,0,Ben
thanks,receiver,3,Ponchis
compliment,initiator,-1,Pearl
compliment,receiver,5,Ponchis
compliment,initiator,34,Emma
joke,receiver,1,Michael
joke,initiator,0,Jimmy
thanks,receiver,7,Amber
joke,receiver,-4,Squidward
compliment,initiator,-2,Dylan
compliment,receiver,-3,Decoy
compliment,initiator,34,Alex
compliment,initiator,8,Plankton
thanks,receiver,0,Alex
thanks,receiver,0,Decoy
argue,receiver,0,Conald
joke,initiator,1,Ponchis
argue,initiator,0,Spongebob
thanks,receiver,7,Micah
thanks,receiver,4,Ponchis
ignore,receiver,0,Kofi
thanks,receiver,-1,Michael
thanks,receiver,0,Conald
thanks,initiator,0,Dylan
joke,initiator,1,Dylan
joke,initiator,4,Eugene
thanks,receiver,0,Alex
compliment,initiator,9,Pearl
compliment,initiator,0,Micah
thanks,receiver,7,Amber
thanks,receiver,3,Pearl
thanks,receiver,7,Dylan
thanks,receiver,0,Pearl
compliment,receiver,-5,Jimmy
thanks,receiver,0,Kofi
joke,receiver,5,Emma
thanks,receiver,0,Michael
