dialog,order,feedback,receiver
thanks,receiver,5,Alex
ignore,receiver,0,Spongebob
compliment,initiator,0,Emma
ignore,receiver,0,Tony
thanks,receiver,0,Emma
thanks,receiver,0,Alex
thanks,receiver,0,Claire
thanks,initiator,0,Emma
compliment,initiator,26,Patrick
thanks,receiver,6,Spongebob
compliment,receiver,2,Kofi
compliment,initiator,-1,Emily
compliment,initiator,0,Alex
joke,initiator,0,Tony
compliment,initiator,-4,Michael
joke,initiator,0,Claire
argue,initiator,0,Decoy
joke,initiator,0,Jimmy
thanks,receiver,0,Amber
thanks,receiver,3,Conald
compliment,initiator,-5,Alex
joke,initiator,4,Alex
joke,initiator,-5,Pearl
compliment,initiator,9,Plankton
compliment,receiver,-4,Oliver
argue,initiator,0,Jimmy
thanks,receiver,-3,Eugene
compliment,receiver,-2,Kofi
compliment,receiver,3,Pearl
joke,initiator,0,Jimmy
thanks,receiver,0,Micah
compliment,initiator,22,Dom
argue,initiator,0,Emily
argue,initiator,0,Jimmy
compliment,initiator,-1,Emma
compliment,initiator,16,Patrick
compliment,receiver,10,Ben
joke,receiver,5,Spongebob
compliment,receiver,-5,Kofi
compliment,initiator,0,Ben
compliment,receiver,0,Pearl
thanks,receiver,3,Decoy
compliment,receiver,0,Micah
compliment,initiator,0,Alex
compliment,receiver,5,Pearl
compliment,initiator,34,Emily
compliment,receiver,4,Jimmy
argue,initiator,-3,Patrick
joke,receiver,4,Micah
thanks,receiver,-3,Kofi
ignore,receiver,-2,Conald
joke,receiver,0,Conald
joke,receiver,0,Conald
joke,receiver,-1,Kofi
joke,initiator,0,Ponchis
argue,initiator,0,Emily
thanks,receiver,0,Spongebob
compliment,receiver,34,Claire
joke,receiver,5,Spongebob
compliment,initiator,10,Squidward
compliment,receiver,4,Conald
thanks,receiver,5,Conald
joke,receiver,0,Ponchis
thanks,receiver,-5,Kofi
thanks,receiver,5,Alex
thanks,receiver,5,Tony
thanks,receiver,0,Claire
thanks,receiver,5,Pearl
thanks,receiver,7,Emily
thanks,receiver,6,Amber
joke,receiver,0,Decoy
thanks,receiver,-4,Eugene
thanks,receiver,0,Amber
thanks,receiver,-2,Jimmy
thanks,receiver,7,Claire
compliment,receiver,0,Pearl
compliment,initiator,34,Claire
argue,initiator,0,Emily
compliment,initiator,0,Jimmy
thanks,receiver,0,Ben
thanks,receiver,0,Claire
thanks,receiver,6,Spongebob
thanks,receiver,-3,Michael
thanks,receiver,7,Emily
thanks,receiver,0,Patrick
joke,initiator,2,Claire
thanks,receiver,7,Micah
thanks,receiver,4,Jimmy
compliment,receiver,17,Emma
thanks,receiver,0,Alex
argue,initiator,-2,Dom
argue,initiator,0,Ponchis
thanks,receiver,0,Emily
thanks,receiver,7,Micah
thanks,receiver,0,Amber
compliment,receiver,0,Pearl
ignore,receiver,-5,Micah
ignore,receiver,-2,Michael
thanks,receiver,0,Oliver
thanks,receiver,0,Ben
compliment,initiator,0,Decoy
compliment,receiver,0,Claire
compliment,receiver,0,Ponchis
compliment,initiator,0,Spongebob
compliment,initiator,5,Ponchis
thanks,receiver,0,Decoy
thanks,receiver,0,Alex
thanks,receiver,7,Claire
thanks,receiver,0,Michael
compliment,initiator,0,Spongebob
thanks,receiver,-4,Conald
compliment,initiator,3,Ponchis
thanks,receiver,5,Conald
insult,initiator,0,Oliver
thanks,receiver,0,Micah
argue,initiator,4,Oliver
compliment,receiver,-5,Kofi
compliment,initiator,2,Tony
thanks,receiver,0,Micah
compliment,receiver,-1,Michael
joke,initiator,3,Claire
thanks,receiver,0,Decoy
thanks,receiver,0,Oliver
thanks,receiver,0,Pearl
joke,initiator,3,Spongebob
argue,initiator,-9,Emily
compliment,initiator,0,Tony
compliment,initiator,0,Tony
joke,initiator,0,Conald
compliment,initiator,34,Micah
thanks,receiver,-1,Michael
thanks,receiver,-3,Kofi
compliment,initiator,0,Amber
joke,receiver,0,Decoy
joke,initiator,3,Micah
thanks,receiver,3,Conald
thanks,receiver,0,Ben
argue,initiator,0,Decoy
thanks,receiver,6,Emma
compliment,initiator,2,Jimmy
compliment,receiver,0,Michael
thanks,receiver,0,Jimmy
thanks,receiver,-3,Michael
joke,receiver,0,Ben
thanks,receiver,1,Oliver
compliment,initiator,0,Emma
thanks,initiator,0,Squidward
thanks,receiver,0,Oliver
thanks,receiver,0,Emily
compliment,receiver,17,Alex
thanks,receiver,-4,Michael
compliment,initiator,30,Micah
compliment,initiator,7,Eugene
thanks,receiver,0,Oliver
compliment,initiator,16,Eugene
joke,initiator,4,Decoy
compliment,initiator,-5,Jimmy
thanks,receiver,0,Decoy
thanks,receiver,5,Ponchis
compliment,initiator,0,Pearl
joke,initiator,0,Decoy
thanks,receiver,2,Spongebob
joke,initiator,0,Michael
compliment,receiver,-4,Kofi
joke,initiator,3,Emily
thanks,receiver,0,Micah
compliment,initiator,-2,Oliver
argue,initiator,0,Claire
joke,initiator,0,Michael
argue,initiator,0,Michael
thanks,receiver,4,Conald
compliment,initiator,-3,Michael
joke,initiator,2,Spongebob
thanks,receiver,3,Spongebob
compliment,receiver,32,Micah
thanks,receiver,0,Pearl
joke,initiator,5,Spongebob
joke,initiator,0,Tony
thanks,receiver,3,Ponchis
joke,initiator,0,Michael
joke,initiator,2,Alex
joke,initiator,1,Claire
joke,initiator,0,Ponchis
thanks,receiver,2,Ponchis
joke,initiator,5,Emma
thanks,receiver,3,Alex
compliment,initiator,34,Micah
joke,initiator,3,Amber
compliment,initiator,0,Decoy
argue,initiator,-10,Micah
thanks,receiver,3,Conald
joke,initiator,2,Alex
compliment,initiator,-2,Claire
compliment,initiator,10,Oliver
thanks,receiver,0,Tony
joke,initiator,0,Tony
argue,initiator,5,Squidward
thanks,receiver,0,Michael
thanks,receiver,0,Eugene
joke,initiator,12,Plankton
compliment,initiator,17,Dom
compliment,initiator,34,Emma
argue,initiator,-3,Decoy
joke,receiver,-3,Kofi
argue,initiator,5,Ben
compliment,receiver,0,Conald
compliment,receiver,0,Conald
joke,initiator,0,Michael
thanks,receiver,-1,Michael
thanks,receiver,0,Oliver
joke,initiator,0,Micah
joke,receiver,3,Emma
joke,initiator,4,Ben
joke,receiver,0,Ponchis
compliment,receiver,-3,Jimmy
joke,receiver,0,Tony
thanks,receiver,-1,Michael
joke,initiator,1,Alex
thanks,receiver,0,Micah
thanks,receiver,4,Alex
thanks,receiver,4,Alex
thanks,receiver,0,Oliver
joke,receiver,0,Decoy
joke,receiver,0,Pearl
thanks,receiver,7,Emma
thanks,receiver,0,Pearl
ignore,receiver,0,Tony
compliment,receiver,-4,Kofi
thanks,receiver,6,Dom
thanks,receiver,-1,Michael
thanks,receiver,-1,Michael
compliment,receiver,0,Dom
thanks,receiver,0,Micah
thanks,receiver,0,Amber
thanks,receiver,0,Alex
joke,initiator,0,Dom
compliment,receiver,-4,Alex
thanks,receiver,4,Conald
compliment,initiator,-1,Decoy
thanks,receiver,-1,Michael
ignore,receiver,0,Michael
thanks,receiver,-1,Michael
thanks,receiver,3,Ponchis
thanks,receiver,7,Amber
compliment,initiator,9,Patrick
joke,initiator,1,Eugene
thanks,receiver,0,Oliver
joke,initiator,3,Dom
thanks,receiver,0,Alex
thanks,receiver,-2,Conald
ignore,initiator,0,Dom
thanks,receiver,-3,Michael
thanks,receiver,3,Pearl
ignore,initiator,-2,Pearl
thanks,receiver,-2,Michael
compliment,initiator,-2,Spongebob
thanks,receiver,0,Spongebob
joke,initiator,0,Dom
joke,initiator,4,Eugene
thanks,receiver,0,Decoy
ignore,initiator,3,Patrick
compliment,receiver,-3,Amber
compliment,receiver,0,Pearl
compliment,receiver,0,Kofi
compliment,initiator,-2,Jimmy
compliment,receiver,0,Claire
argue,initiator,-5,Spongebob
compliment,initiator,0,Emily
thanks,receiver,6,Decoy
compliment,initiator,16,Pearl
compliment,initiator,-2,Ben
compliment,receiver,5,Ponchis
compliment,initiator,2,Conald
ignore,receiver,-2,Conald
thanks,receiver,3,Conald
ignore,receiver,-1,Eugene
compliment,initiator,0,Jimmy
thanks,receiver,0,Oliver
thanks,receiver,7,Dom
joke,initiator,1,Emily
thanks,receiver,4,Ponchis
thanks,receiver,3,Conald
thanks,receiver,0,Spongebob
thanks,receiver,3,Conald
joke,receiver,5,Micah
thanks,receiver,7,Emma
thanks,receiver,2,Tony
compliment,initiator,34,Emma
compliment,initiator,-4,Pearl
joke,initiator,1,Eugene
thanks,receiver,-1,Jimmy
joke,initiator,3,Amber
thanks,receiver,0,Dom
compliment,initiator,13,Eugene
joke,initiator,0,Decoy
compliment,initiator,34,Spongebob
thanks,receiver,0,Pearl
thanks,receiver,0,Dom
compliment,initiator,14,Eugene
thanks,receiver,-2,Michael
insult,initiator,-5,Claire
thanks,receiver,5,Tony
thanks,receiver,5,Conald
compliment,initiator,15,Emma
thanks,receiver,7,Amber
compliment,initiator,7,Ponchis
thanks,receiver,0,Emma
joke,receiver,3,Ponchis
thanks,initiator,7,Dom
thanks,receiver,5,Conald
thanks,receiver,5,Emily
ignore,receiver,0,Plankton
argue,initiator,0,Squidward
thanks,receiver,2,Conald
joke,receiver,0,Pearl
joke,receiver,5,Alex
thanks,receiver,0,Decoy
joke,receiver,0,Michael
thanks,receiver,0,Alex
thanks,receiver,-5,Kofi
