dialog,order,feedback,receiver
ignore,receiver,0,Michael
argue,initiator,0,Ponchis
thanks,receiver,0,Emma
compliment,initiator,-3,Michael
compliment,initiator,8,Eugene
compliment,initiator,8,Plankton
ignore,receiver,-1,Dylan
thanks,receiver,0,Spongebob
argue,initiator,-9,Micah
compliment,receiver,14,Amber
thanks,receiver,0,Alex
thanks,receiver,0,Ponchis
thanks,receiver,5,Conald
compliment,receiver,-1,Emma
thanks,receiver,0,Micah
compliment,initiator,5,Oliver
compliment,initiator,0,Emma
thanks,receiver,0,Oliver
compliment,receiver,0,Pearl
compliment,initiator,7,Squidward
thanks,receiver,-2,Conald
compliment,initiator,26,Claire
compliment,initiator,-3,Michael
thanks,receiver,0,Patrick
compliment,initiator,28,Claire
compliment,initiator,0,Amber
thanks,receiver,0,Ponchis
joke,receiver,0,Micah
argue,initiator,2,Alex
insult,initiator,-3,Amber
compliment,initiator,-2,Emma
thanks,receiver,-3,Kofi
thanks,receiver,7,Dylan
thanks,receiver,-3,Eugene
compliment,receiver,0,Pearl
argue,initiator,0,Amber
compliment,initiator,2,Micah
compliment,receiver,-4,Kofi
argue,initiator,0,Ponchis
thanks,receiver,6,Emma
thanks,receiver,6,Emma
thanks,receiver,-1,Ponchis
thanks,receiver,7,Spongebob
compliment,initiator,0,Decoy
thanks,receiver,7,Dylan
compliment,initiator,0,Decoy
compliment,initiator,5,Decoy
compliment,receiver,4,Micah
argue,initiator,12,Conald
joke,initiator,0,Ponchis
thanks,receiver,0,Dylan
joke,initiator,-2,Plankton
thanks,receiver,1,Pearl
compliment,initiator,-3,Amber
thanks,receiver,0,Jimmy
ignore,initiator,0,Dylan
compliment,receiver,-1,Spongebob
thanks,receiver,0,Emma
thanks,receiver,0,Ponchis
thanks,receiver,0,Oliver
joke,initiator,0,Ponchis
compliment,initiator,0,Dom
compliment,receiver,0,Jimmy
thanks,receiver,0,Kofi
thanks,receiver,-5,Kofi
thanks,receiver,7,Spongebob
compliment,initiator,-3,Emma
thanks,receiver,1,Pearl
