dialog,order,feedback,receiver
compliment,initiator,0,Michael
argue,initiator,-1,Ben
thanks,receiver,5,Dylan
thanks,receiver,1,Pearl
compliment,initiator,0,Emily
compliment,receiver,-4,Spongebob
compliment,initiator,30,Alex
thanks,receiver,3,Conald
compliment,receiver,3,Oliver
compliment,initiator,6,Eugene
joke,initiator,0,Claire
thanks,initiator,0,Dylan
compliment,initiator,0,Alex
thanks,receiver,2,Jimmy
compliment,receiver,-3,Kofi
compliment,initiator,5,Decoy
compliment,initiator,5,Ponchis
thanks,initiator,1,Decoy
thanks,receiver,6,Dylan
joke,initiator,1,Patrick
compliment,initiator,-4,Kofi
compliment,receiver,5,Pearl
thanks,receiver,3,Pearl
joke,receiver,2,Pearl
compliment,initiator,24,Claire
thanks,receiver,1,Oliver
ignore,receiver,-2,Conald
joke,initiator,0,Claire
thanks,initiator,3,Jimmy
argue,initiator,-1,Patrick
joke,initiator,0,Amber
thanks,initiator,5,Emily
compliment,initiator,0,Conald
compliment,receiver,0,Emily
compliment,initiator,4,Micah
thanks,receiver,-3,Eugene
thanks,receiver,0,Micah
joke,initiator,2,Alex
thanks,receiver,0,Claire
compliment,initiator,0,Eugene
joke,initiator,0,Kofi
joke,initiator,0,Ben
ignore,receiver,-1,Emily
thanks,receiver,4,Ponchis
thanks,receiver,7,Dylan
thanks,receiver,5,Micah
thanks,receiver,0,Claire
joke,initiator,0,Michael
compliment,initiator,6,Ponchis
joke,initiator,0,Eugene
compliment,initiator,15,Patrick
compliment,initiator,34,Emily
compliment,initiator,0,Emily
joke,initiator,0,Decoy
compliment,initiator,6,Pearl
compliment,initiator,0,Kofi
compliment,initiator,0,Decoy
thanks,receiver,0,Amber
joke,initiator,0,Jimmy
thanks,receiver,0,Ben
joke,initiator,5,Amber
compliment,initiator,0,Conald
thanks,receiver,0,Michael
argue,initiator,1,Jimmy
thanks,receiver,5,Jimmy
thanks,receiver,0,Oliver
compliment,receiver,4,Pearl
thanks,receiver,3,Conald
thanks,receiver,7,Micah
thanks,receiver,0,Ben
thanks,receiver,0,Jimmy
joke,initiator,2,Emily
thanks,receiver,-1,Michael
thanks,receiver,6,Amber
compliment,receiver,12,Eugene
thanks,receiver,5,Conald
compliment,receiver,2,Tony
thanks,receiver,7,Emily
thanks,receiver,0,Ben
thanks,receiver,7,Claire
thanks,receiver,1,Ben
thanks,receiver,-4,Michael
compliment,initiator,4,Oliver
thanks,receiver,7,Micah
thanks,receiver,5,Tony
argue,initiator,2,Squidward
thanks,receiver,0,Amber
thanks,receiver,0,Ponchis
joke,initiator,0,Claire
thanks,receiver,6,Alex
thanks,receiver,6,Spongebob
compliment,initiator,10,Eugene
joke,initiator,3,Amber
thanks,receiver,3,Conald
compliment,initiator,24,Dom
compliment,initiator,-3,Michael
compliment,initiator,4,Pearl
compliment,receiver,0,Micah
compliment,initiator,5,Ponchis
joke,initiator,4,Oliver
joke,receiver,2,Micah
compliment,initiator,2,Jimmy
thanks,receiver,-5,Kofi
joke,initiator,3,Dylan
compliment,initiator,-1,Kofi
joke,initiator,0,Jimmy
compliment,initiator,17,Amber
joke,receiver,4,Ben
compliment,initiator,3,Tony
joke,initiator,2,Emily
joke,initiator,0,Ponchis
compliment,receiver,5,Squidward
compliment,initiator,34,Claire
argue,initiator,0,Dom
thanks,receiver,2,Eugene
joke,receiver,0,Tony
compliment,initiator,0,Alex
compliment,initiator,-3,Kofi
compliment,initiator,0,Pearl
thanks,receiver,0,Kofi
thanks,receiver,1,Oliver
thanks,receiver,0,Spongebob
thanks,receiver,3,Ponchis
argue,initiator,0,Decoy
thanks,receiver,0,Emily
thanks,receiver,0,Decoy
thanks,receiver,3,Conald
compliment,initiator,0,Amber
compliment,initiator,4,Jimmy
compliment,receiver,14,Eugene
thanks,receiver,-2,Eugene
thanks,receiver,-1,Michael
joke,initiator,0,Jimmy
thanks,receiver,-4,Michael
ignore,receiver,-5,Conald
joke,initiator,1,Emily
compliment,initiator,0,Michael
joke,initiator,0,Jimmy
compliment,receiver,10,Ben
joke,initiator,0,Eugene
thanks,receiver,0,Micah
thanks,receiver,0,Oliver
thanks,receiver,-2,Kofi
thanks,receiver,5,Pearl
compliment,receiver,-3,Michael
thanks,receiver,3,Pearl
thanks,receiver,7,Micah
thanks,receiver,4,Ponchis
compliment,receiver,8,Pearl
thanks,receiver,5,Tony
argue,initiator,-3,Spongebob
ignore,receiver,-5,Conald
compliment,initiator,26,Amber
compliment,initiator,30,Dylan
compliment,initiator,5,Eugene
thanks,receiver,0,Dylan
joke,receiver,0,Ben
thanks,receiver,0,Emily
thanks,receiver,6,Micah
thanks,receiver,0,Conald
thanks,receiver,-2,Eugene
compliment,receiver,17,Spongebob
joke,receiver,0,Eugene
thanks,receiver,3,Conald
compliment,initiator,24,Decoy
thanks,receiver,-5,Kofi
thanks,receiver,5,Ponchis
argue,initiator,0,Ponchis
thanks,receiver,-4,Michael
joke,receiver,0,Eugene
compliment,receiver,-3,Michael
thanks,initiator,0,Pearl
joke,receiver,1,Eugene
thanks,receiver,0,Squidward
thanks,receiver,2,Tony
thanks,receiver,0,Micah
thanks,receiver,0,Dylan
thanks,receiver,5,Decoy
joke,receiver,0,Alex
thanks,receiver,0,Micah
compliment,initiator,4,Tony
thanks,receiver,3,Pearl
thanks,receiver,0,Michael
compliment,initiator,15,Emily
compliment,initiator,12,Eugene
joke,initiator,-2,Kofi
thanks,receiver,0,Dylan
thanks,receiver,0,Spongebob
joke,initiator,0,Tony
thanks,initiator,3,Conald
thanks,receiver,3,Ponchis
thanks,receiver,6,Spongebob
compliment,initiator,-5,Jimmy
joke,initiator,1,Decoy
joke,initiator,1,Emily
thanks,receiver,0,Michael
thanks,initiator,-1,Michael
compliment,initiator,0,Conald
compliment,initiator,0,Ben
argue,initiator,1,Dylan
joke,initiator,1,Micah
compliment,initiator,0,Dom
thanks,receiver,0,Eugene
thanks,receiver,2,Tony
joke,initiator,0,Tony
compliment,initiator,0,Patrick
joke,initiator,1,Decoy
thanks,receiver,0,Ponchis
thanks,receiver,5,Conald
compliment,initiator,0,Eugene
thanks,receiver,0,Decoy
argue,initiator,0,Emily
compliment,receiver,0,Claire
argue,initiator,5,Jimmy
compliment,initiator,3,Squidward
thanks,receiver,3,Conald
thanks,receiver,2,Tony
compliment,initiator,-1,Decoy
thanks,receiver,0,Ben
thanks,receiver,-3,Michael
compliment,initiator,0,Dylan
thanks,receiver,1,Oliver
thanks,receiver,0,Michael
compliment,receiver,0,Eugene
joke,receiver,0,Jimmy
compliment,initiator,17,Amber
argue,initiator,0,Amber
argue,initiator,-8,Ponchis
compliment,initiator,-3,Kofi
argue,initiator,-7,Decoy
compliment,initiator,32,Eugene
joke,initiator,2,Alex
joke,initiator,4,Amber
compliment,initiator,16,Eugene
compliment,receiver,0,Oliver
joke,initiator,3,Dom
compliment,receiver,4,Conald
thanks,receiver,7,Micah
compliment,receiver,-1,Kofi
compliment,receiver,34,Micah
compliment,receiver,4,Conald
thanks,receiver,0,Eugene
thanks,receiver,4,Ponchis
compliment,receiver,1,Conald
thanks,receiver,2,Tony
thanks,receiver,0,Emily
compliment,initiator,-5,Ben
thanks,receiver,3,Pearl
thanks,receiver,0,Alex
thanks,receiver,0,Micah
joke,initiator,2,Oliver
compliment,initiator,6,Plankton
ignore,initiator,0,Jimmy
compliment,receiver,34,Spongebob
thanks,receiver,7,Alex
joke,initiator,0,Jimmy
compliment,receiver,0,Pearl
joke,initiator,1,Ben
joke,initiator,3,Plankton
thanks,receiver,5,Squidward
compliment,initiator,14,Decoy
thanks,receiver,0,Conald
argue,initiator,-6,Oliver
joke,initiator,0,Plankton
thanks,receiver,3,Conald
joke,initiator,4,Alex
joke,initiator,0,Alex
joke,initiator,4,Claire
thanks,receiver,6,Amber
thanks,receiver,-3,Kofi
thanks,receiver,7,Micah
argue,initiator,1,Squidward
compliment,receiver,17,Claire
joke,initiator,1,Decoy
joke,receiver,3,Dom
compliment,receiver,0,Oliver
joke,receiver,0,Michael
thanks,receiver,-1,Michael
thanks,receiver,0,Oliver
thanks,receiver,3,Pearl
thanks,receiver,0,Alex
thanks,receiver,0,Micah
joke,initiator,2,Amber
thanks,receiver,0,Micah
compliment,initiator,-4,Eugene
joke,receiver,0,Claire
joke,initiator,0,Tony
argue,initiator,4,Dylan
thanks,receiver,0,Micah
thanks,receiver,0,Spongebob
compliment,initiator,0,Squidward
thanks,receiver,7,Dylan
compliment,initiator,16,Micah
argue,initiator,3,Alex
thanks,receiver,0,Michael
joke,initiator,2,Spongebob
compliment,receiver,-2,Claire
thanks,receiver,0,Amber
compliment,initiator,4,Conald
thanks,receiver,1,Ben
thanks,receiver,7,Decoy
thanks,receiver,7,Micah
thanks,receiver,0,Kofi
thanks,receiver,-3,Michael
thanks,receiver,7,Alex
argue,initiator,0,Oliver
argue,initiator,3,Conald
compliment,initiator,20,Patrick
compliment,initiator,32,Decoy
argue,initiator,0,Amber
joke,initiator,0,Ponchis
thanks,receiver,0,Claire
compliment,initiator,32,Amber
compliment,initiator,0,Jimmy
thanks,receiver,5,Conald
joke,initiator,0,Conald
thanks,receiver,-2,Michael
thanks,receiver,0,Kofi
thanks,receiver,0,Oliver
