dialog,order,feedback,receiver
thanks,receiver,0,Claire
argue,receiver,5,Ben
thanks,receiver,4,Claire
thanks,receiver,5,Emily
thanks,receiver,0,Michael
ignore,receiver,-1,Emma
thanks,receiver,4,Claire
thanks,receiver,0,Conald
insult,receiver,-4,Kofi
thanks,receiver,0,Claire
insult,initiator,0,Squidward
argue,initiator,0,Tony
joke,initiator,0,Michael
thanks,receiver,0,Ponchis
joke,initiator,3,Ben
argue,initiator,1,Ben
ignore,initiator,0,Decoy
thanks,receiver,0,Micah
thanks,receiver,5,Tony
thanks,initiator,0,Spongebob
thanks,receiver,7,Micah
thanks,receiver,5,Claire
joke,initiator,0,Squidward
argue,initiator,-2,Emma
insult,initiator,-2,Patrick
ignore,initiator,-3,Oliver
argue,initiator,-9,Micah
thanks,initiator,4,Ponchis
thanks,initiator,0,Dylan
insult,initiator,0,Oliver
joke,initiator,0,Kofi
thanks,receiver,7,Spongebob
thanks,receiver,6,Emma
thanks,receiver,4,Amber
thanks,receiver,4,Ponchis
argue,initiator,3,Kofi
argue,initiator,2,Squidward
thanks,initiator,6,Alex
thanks,initiator,0,Micah
thanks,receiver,0,Ponchis
joke,initiator,0,Emily
thanks,receiver,-1,Conald
thanks,receiver,0,Micah
thanks,receiver,-2,Kofi
argue,initiator,0,Tony
thanks,receiver,2,Conald
thanks,receiver,6,Emma
insult,receiver,-18,Pearl
thanks,receiver,7,Spongebob
thanks,receiver,2,Pearl
joke,initiator,0,Tony
thanks,receiver,3,Tony
insult,receiver,-3,Conald
compliment,initiator,-1,Claire
thanks,receiver,3,Conald
thanks,initiator,2,Micah
thanks,receiver,5,Conald
compliment,initiator,5,Ben
thanks,receiver,4,Jimmy
thanks,receiver,-5,Ponchis
joke,initiator,0,Jimmy
thanks,receiver,7,Micah
compliment,initiator,17,Claire
joke,initiator,0,Ponchis
thanks,receiver,7,Micah
thanks,receiver,4,Pearl
insult,initiator,-3,Claire
joke,initiator,0,Patrick
ignore,initiator,2,Dom
thanks,initiator,0,Emma
compliment,initiator,0,Decoy
thanks,initiator,0,Dylan
thanks,receiver,5,Conald
thanks,receiver,7,Micah
thanks,receiver,7,Micah
insult,initiator,-2,Dom
thanks,receiver,-1,Conald
joke,initiator,0,Ponchis
thanks,receiver,0,Spongebob
joke,initiator,1,Alex
thanks,receiver,-5,Kofi
thanks,receiver,0,Kofi
thanks,receiver,0,Emma
joke,initiator,3,Alex
insult,receiver,-3,Tony
insult,receiver,0,Conald
joke,initiator,0,Michael
joke,initiator,0,Patrick
joke,initiator,1,Alex
thanks,receiver,-3,Michael
joke,initiator,0,Decoy
joke,initiator,0,Oliver
insult,initiator,-4,Patrick
thanks,receiver,0,Ben
ignore,receiver,-5,Ben
joke,initiator,3,Oliver
thanks,receiver,-2,Michael
thanks,receiver,5,Pearl
joke,initiator,0,Emma
thanks,receiver,-2,Kofi
thanks,receiver,7,Emily
joke,initiator,0,Decoy
joke,initiator,5,Patrick
joke,initiator,3,Oliver
joke,initiator,0,Decoy
thanks,receiver,3,Ponchis
joke,initiator,4,Claire
thanks,receiver,7,Amber
insult,initiator,-1,Conald
insult,initiator,-4,Spongebob
ignore,receiver,0,Tony
joke,initiator,0,Jimmy
thanks,receiver,-1,Michael
thanks,receiver,7,Claire
joke,initiator,0,Tony
joke,initiator,1,Amber
joke,initiator,0,Emma
thanks,initiator,0,Decoy
joke,initiator,2,Oliver
joke,initiator,2,Emma
joke,initiator,4,Amber
thanks,receiver,0,Alex
joke,initiator,0,Ponchis
joke,initiator,4,Claire
thanks,receiver,0,Ben
joke,initiator,0,Tony
joke,initiator,-4,Plankton
insult,initiator,-80,Claire
joke,initiator,0,Michael
thanks,receiver,5,Ponchis
thanks,receiver,6,Emma
thanks,receiver,0,Oliver
joke,initiator,0,Jimmy
thanks,receiver,4,Ponchis
thanks,receiver,7,Spongebob
joke,initiator,0,Conald
thanks,receiver,3,Tony
thanks,receiver,1,Ben
thanks,receiver,-3,Kofi
thanks,receiver,3,Ponchis
thanks,receiver,0,Michael
thanks,receiver,-4,Michael
thanks,receiver,6,Amber
joke,initiator,1,Decoy
joke,initiator,0,Conald
joke,initiator,5,Alex
joke,initiator,-2,Squidward
joke,initiator,4,Micah
thanks,receiver,0,Emma
thanks,receiver,0,Spongebob
joke,initiator,0,Claire
thanks,receiver,3,Pearl
thanks,receiver,0,Michael
joke,initiator,4,Emily
thanks,receiver,7,Dylan
joke,initiator,4,Emma
thanks,receiver,0,Dylan
thanks,receiver,5,Alex
thanks,receiver,5,Alex
joke,initiator,5,Emma
thanks,receiver,3,Alex
