dialog,order,feedback,receiver
insult,receiver,-1,Conald
insult,initiator,1,Conald
argue,initiator,-3,Micah
ignore,receiver,0,Claire
ignore,receiver,0,Claire
ignore,receiver,-4,Spongebob
joke,initiator,0,Conald
argue,initiator,0,Ponchis
insult,receiver,0,Kofi
joke,initiator,1,Emma
insult,initiator,-3,Oliver
insult,initiator,-5,Amber
ignore,receiver,-11,Spongebob
ignore,receiver,3,Conald
ignore,receiver,-3,Kofi
joke,initiator,0,Michael
argue,initiator,3,Pearl
ignore,receiver,-3,Ponchis
ignore,receiver,-3,Emma
compliment,initiator,14,Patrick
insult,receiver,-3,Conald
compliment,initiator,0,Pearl
compliment,initiator,8,Tony
ignore,receiver,-2,Conald
insult,initiator,-5,Patrick
ignore,receiver,-2,Dylan
ignore,receiver,0,Decoy
argue,initiator,0,Patrick
ignore,receiver,-5,Dylan
joke,initiator,4,Spongebob
ignore,receiver,-3,Oliver
ignore,receiver,0,Dylan
joke,initiator,0,Ponchis
ignore,receiver,-5,Spongebob
ignore,receiver,-2,Dylan
joke,initiator,1,Patrick
ignore,receiver,-4,Oliver
argue,initiator,2,Micah
ignore,receiver,-2,Michael
ignore,receiver,0,Kofi
ignore,receiver,-2,Conald
argue,initiator,1,Squidward
joke,initiator,0,Decoy
ignore,receiver,-5,Tony
joke,initiator,5,Patrick
joke,initiator,-5,Pearl
ignore,receiver,0,Emma
insult,receiver,0,Conald
ignore,receiver,-2,Ben
thanks,initiator,-4,Michael
ignore,receiver,-1,Ben
joke,initiator,5,Dylan
joke,initiator,0,Eugene
ignore,receiver,-4,Micah
ignore,receiver,0,Emma
ignore,receiver,-5,Eugene
joke,initiator,1,Alex
insult,initiator,-2,Ponchis
insult,initiator,-64,Emma
ignore,receiver,-1,Ben
ignore,receiver,0,Ben
insult,receiver,-2,Conald
argue,initiator,0,Squidward
thanks,initiator,0,Emily
insult,initiator,0,Emma
joke,initiator,0,Oliver
ignore,receiver,-3,Micah
ignore,receiver,-4,Alex
joke,initiator,0,Claire
joke,initiator,0,Emily
insult,initiator,0,Patrick
joke,initiator,0,Michael
joke,initiator,2,Dylan
argue,initiator,-7,Spongebob
ignore,receiver,0,Decoy
ignore,receiver,0,Micah
ignore,receiver,0,Ponchis
joke,initiator,0,Conald
ignore,receiver,-3,Ponchis
joke,initiator,3,Spongebob
insult,receiver,0,Conald
joke,initiator,0,Decoy
ignore,receiver,-5,Pearl
thanks,initiator,1,Oliver
argue,initiator,0,Emily
ignore,receiver,0,Dylan
ignore,receiver,0,Kofi
insult,initiator,-4,Patrick
argue,initiator,5,Claire
ignore,receiver,5,Conald
ignore,initiator,0,Spongebob
argue,initiator,3,Squidward
argue,initiator,0,Ponchis
joke,initiator,1,Alex
ignore,receiver,-1,Emma
ignore,receiver,-4,Micah
joke,initiator,0,Ben
joke,initiator,3,Claire
argue,initiator,0,Decoy
insult,initiator,-2,Dylan
ignore,receiver,-2,Emma
ignore,receiver,-4,Oliver
ignore,receiver,-1,Claire
ignore,receiver,-1,Pearl
ignore,receiver,-2,Emily
joke,initiator,4,Claire
joke,initiator,0,Amber
ignore,receiver,-3,Eugene
