dialog,order,feedback,receiver
ignore,initiator,0,Ben
insult,receiver,-5,Oliver
insult,receiver,-10,Pearl
insult,initiator,-85,Patrick
ignore,initiator,-4,Alex
insult,initiator,-51,Micah
insult,initiator,-34,Spongebob
insult,receiver,-80,Alex
argue,initiator,-5,Eugene
insult,initiator,-5,Jimmy
compliment,initiator,-3,Ben
insult,initiator,-2,Emma
insult,initiator,-4,Conald
argue,initiator,2,Dylan
argue,initiator,0,Decoy
ignore,initiator,-1,Oliver
insult,receiver,-32,Emma
insult,receiver,0,Ponchis
insult,receiver,-2,Spongebob
ignore,initiator,-2,Conald
argue,initiator,0,Pearl
joke,initiator,0,Claire
argue,initiator,2,Jimmy
ignore,initiator,-4,Conald
argue,initiator,0,Micah
argue,initiator,-1,Ben
insult,initiator,-4,Conald
insult,receiver,-56,Amber
insult,initiator,-5,Dylan
insult,receiver,2,Eugene
ignore,initiator,-1,Tony
insult,receiver,-4,Emma
insult,receiver,-35,Eugene
argue,receiver,1,Michael
argue,receiver,3,Pearl
insult,receiver,-5,Oliver
compliment,initiator,0,Emily
argue,initiator,-4,Patrick
compliment,initiator,30,Patrick
argue,receiver,-6,Spongebob
ignore,initiator,0,Claire
compliment,initiator,7,Eugene
compliment,initiator,-5,Conald
thanks,initiator,0,Claire
compliment,initiator,-5,Dylan
argue,receiver,9,Conald
argue,initiator,0,Claire
compliment,initiator,0,Emily
thanks,initiator,0,Spongebob
insult,initiator,0,Alex
insult,receiver,-48,Alex
compliment,initiator,4,Jimmy
argue,initiator,-6,Ben
insult,receiver,-4,Emma
insult,receiver,-3,Conald
insult,initiator,-75,Patrick
compliment,initiator,3,Pearl
insult,receiver,-4,Oliver
ignore,receiver,3,Conald
ignore,initiator,0,Squidward
compliment,initiator,5,Patrick
insult,initiator,4,Dylan
insult,initiator,-1,Tony
insult,receiver,-4,Ponchis
compliment,initiator,-3,Dylan
insult,initiator,-3,Conald
argue,initiator,5,Michael
insult,initiator,-3,Oliver
ignore,receiver,-4,Alex
compliment,initiator,-4,Alex
insult,initiator,-5,Alex
insult,initiator,-5,Dylan
argue,initiator,-5,Patrick
argue,receiver,0,Conald
ignore,initiator,-3,Michael
insult,receiver,0,Ponchis
argue,receiver,2,Alex
insult,initiator,-5,Micah
ignore,receiver,-4,Micah
ignore,initiator,-1,Amber
compliment,initiator,0,Emily
compliment,initiator,17,Emily
insult,initiator,0,Amber
insult,initiator,1,Plankton
compliment,initiator,-3,Claire
argue,initiator,1,Emily
compliment,initiator,-4,Emily
argue,receiver,0,Ben
insult,receiver,-2,Pearl
ignore,initiator,-3,Jimmy
insult,initiator,0,Conald
insult,initiator,2,Eugene
compliment,initiator,4,Ponchis
insult,receiver,-5,Amber
insult,initiator,4,Eugene
ignore,receiver,0,Emily
insult,initiator,-5,Emily
compliment,initiator,0,Claire
argue,initiator,5,Emma
insult,receiver,0,Emma
compliment,initiator,9,Decoy
argue,initiator,0,Tony
argue,initiator,-3,Spongebob
ignore,receiver,0,Ponchis
insult,receiver,-1,Emily
argue,initiator,4,Claire
insult,initiator,-1,Pearl
insult,receiver,-3,Michael
insult,initiator,-2,Ben
compliment,initiator,7,Eugene
insult,receiver,-1,Pearl
argue,initiator,0,Emily
insult,initiator,-4,Amber
compliment,receiver,0,Oliver
compliment,initiator,5,Conald
insult,initiator,0,Ben
insult,receiver,-64,Emma
argue,initiator,-1,Spongebob
joke,initiator,4,Ben
compliment,initiator,14,Emma
argue,initiator,-4,Emily
compliment,initiator,-4,Ben
compliment,initiator,14,Pearl
argue,initiator,0,Tony
argue,initiator,4,Alex
argue,initiator,-10,Emily
insult,initiator,0,Micah
joke,initiator,0,Tony
argue,initiator,0,Jimmy
argue,initiator,0,Ponchis
compliment,initiator,4,Tony
compliment,initiator,6,Squidward
insult,receiver,-3,Ben
insult,receiver,0,Michael
argue,initiator,0,Alex
compliment,initiator,0,Spongebob
argue,initiator,-9,Amber
insult,initiator,0,Claire
argue,initiator,0,Jimmy
argue,initiator,3,Jimmy
insult,receiver,3,Michael
argue,initiator,0,Decoy
insult,initiator,-2,Decoy
joke,initiator,1,Dylan
insult,initiator,-5,Ben
argue,initiator,4,Patrick
compliment,initiator,-3,Claire
ignore,receiver,-5,Michael
insult,initiator,-8,Squidward
insult,initiator,0,Tony
insult,initiator,-85,Emily
compliment,initiator,17,Spongebob
argue,initiator,1,Emily
insult,initiator,-5,Amber
argue,initiator,5,Amber
argue,initiator,2,Emma
insult,initiator,-8,Squidward
argue,receiver,0,Tony
compliment,initiator,6,Squidward
insult,receiver,0,Spongebob
compliment,initiator,5,Oliver
insult,initiator,-2,Jimmy
joke,initiator,5,Dylan
insult,initiator,3,Eugene
argue,initiator,1,Alex
argue,receiver,3,Jimmy
insult,initiator,-5,Ben
insult,initiator,0,Tony
argue,initiator,0,Decoy
argue,initiator,2,Claire
insult,initiator,-60,Amber
insult,initiator,-3,Jimmy
insult,initiator,0,Jimmy
ignore,initiator,-3,Alex
ignore,initiator,0,Amber
insult,initiator,-4,Patrick
insult,initiator,-34,Micah
argue,initiator,0,Decoy
insult,receiver,0,Spongebob
ignore,initiator,-4,Amber
ignore,receiver,0,Conald
insult,initiator,-3,Jimmy
insult,initiator,0,Claire
insult,receiver,-3,Michael
insult,initiator,-4,Conald
insult,receiver,-5,Ponchis
insult,initiator,-5,Tony
ignore,initiator,3,Plankton
argue,initiator,2,Emily
insult,initiator,-4,Decoy
compliment,initiator,0,Claire
argue,initiator,0,Micah
insult,initiator,-34,Emma
argue,initiator,0,Tony
insult,initiator,-16,Dylan
insult,initiator,-5,Conald
insult,initiator,-12,Decoy
ignore,initiator,0,Claire
compliment,initiator,4,Alex
argue,initiator,1,Michael
insult,receiver,-1,Pearl
argue,initiator,0,Alex
insult,receiver,0,Conald
argue,initiator,0,Claire
argue,initiator,4,Michael
joke,initiator,0,Spongebob
insult,initiator,-5,Jimmy
insult,receiver,-70,Alex
insult,receiver,-3,Oliver
argue,initiator,0,Michael
insult,initiator,0,Decoy
compliment,initiator,0,Ponchis
argue,initiator,-2,Claire
insult,initiator,-75,Claire
insult,initiator,0,Pearl
compliment,initiator,32,Amber
joke,initiator,5,Eugene
insult,initiator,-3,Emily
compliment,initiator,-2,Oliver
argue,initiator,2,Squidward
insult,initiator,-11,Eugene
argue,initiator,0,Eugene
joke,initiator,0,Michael
ignore,initiator,0,Oliver
argue,initiator,-9,Emily
argue,initiator,-8,Decoy
ignore,initiator,-4,Conald
insult,initiator,-5,Emily
argue,initiator,5,Squidward
argue,initiator,0,Tony
insult,receiver,-24,Ben
argue,initiator,0,Dom
insult,receiver,-3,Oliver
ignore,initiator,0,Squidward
ignore,receiver,0,Conald
insult,initiator,-2,Claire
insult,receiver,-1,Spongebob
argue,receiver,0,Michael
insult,initiator,3,Alex
insult,receiver,-1,Emma
argue,initiator,-7,Amber
argue,initiator,5,Dylan
ignore,receiver,-2,Michael
insult,initiator,-4,Emily
compliment,initiator,12,Decoy
argue,receiver,0,Jimmy
argue,initiator,0,Michael
insult,initiator,-2,Oliver
ignore,receiver,-5,Eugene
argue,initiator,1,Ben
argue,initiator,1,Squidward
insult,receiver,-2,Conald
argue,initiator,0,Pearl
ignore,receiver,-6,Spongebob
insult,initiator,0,Michael
compliment,initiator,3,Ponchis
insult,initiator,0,Conald
joke,initiator,0,Ben
insult,receiver,0,Ponchis
argue,receiver,0,Ponchis
argue,initiator,0,Amber
joke,initiator,-1,Plankton
insult,initiator,0,Michael
argue,initiator,0,Pearl
argue,initiator,0,Tony
joke,initiator,0,Jimmy
argue,initiator,4,Emily
ignore,initiator,-1,Ponchis
compliment,initiator,14,Eugene
argue,initiator,-8,Micah
ignore,receiver,0,Tony
argue,initiator,0,Pearl
insult,initiator,0,Eugene
insult,receiver,-4,Micah
insult,initiator,-5,Squidward
ignore,receiver,-2,Emily
argue,initiator,0,Micah
argue,initiator,-4,Eugene
insult,initiator,-2,Dom
argue,receiver,-3,Conald
ignore,initiator,-1,Conald
compliment,initiator,-5,Decoy
insult,initiator,-3,Michael
thanks,initiator,4,Alex
compliment,receiver,0,Oliver
argue,initiator,0,Squidward
compliment,initiator,2,Conald
insult,initiator,-2,Michael
insult,initiator,-1,Conald
argue,receiver,2,Amber
argue,initiator,2,Squidward
joke,initiator,1,Spongebob
insult,receiver,-3,Emma
argue,initiator,-10,Dom
insult,initiator,-2,Michael
insult,initiator,-3,Spongebob
argue,initiator,-6,Dylan
insult,initiator,-3,Plankton
argue,initiator,0,Squidward
argue,initiator,0,Jimmy
ignore,initiator,-5,Oliver
insult,initiator,-5,Oliver
ignore,initiator,0,Emma
ignore,initiator,0,Decoy
argue,receiver,3,Conald
insult,initiator,-1,Ponchis
ignore,receiver,0,Amber
compliment,initiator,0,Ponchis
argue,initiator,-5,Emily
ignore,receiver,-4,Conald
argue,initiator,3,Amber
insult,initiator,-15,Ponchis
ignore,initiator,-3,Ponchis
ignore,initiator,1,Conald
ignore,receiver,-2,Michael
joke,initiator,4,Micah
compliment,initiator,-1,Claire
argue,initiator,0,Micah
insult,initiator,-12,Ponchis
insult,receiver,-2,Pearl
argue,initiator,5,Spongebob
argue,initiator,0,Tony
compliment,initiator,-2,Micah
insult,receiver,-24,Ben
insult,initiator,-1,Decoy
ignore,receiver,-2,Claire
argue,initiator,3,Ben
argue,initiator,0,Micah
joke,initiator,1,Eugene
thanks,initiator,5,Decoy
argue,initiator,-9,Claire
ignore,initiator,0,Ben
compliment,initiator,3,Conald
ignore,receiver,-4,Michael
insult,receiver,-5,Pearl
insult,initiator,-16,Alex
insult,initiator,-1,Michael
insult,initiator,-3,Amber
argue,initiator,4,Plankton
insult,initiator,-5,Conald
argue,receiver,0,Conald
ignore,initiator,-2,Ben
insult,initiator,-2,Emily
argue,initiator,0,Alex
argue,initiator,0,Eugene
argue,initiator,-1,Micah
compliment,initiator,30,Dylan
insult,initiator,-1,Eugene
argue,initiator,4,Patrick
insult,receiver,0,Decoy
compliment,initiator,0,Ben
insult,initiator,-2,Emma
insult,initiator,-2,Eugene
ignore,initiator,1,Plankton
argue,initiator,3,Michael
