dialog,order,feedback,receiver
argue,initiator,-4,Oliver
thanks,receiver,6,Spongebob
thanks,receiver,0,Michael
compliment,initiator,4,Ponchis
joke,initiator,0,Claire
ignore,receiver,-5,Kofi
insult,receiver,0,Jimmy
insult,receiver,1,Tony
compliment,initiator,2,Decoy
thanks,receiver,-2,Tony
joke,initiator,0,Plankton
joke,initiator,2,Alex
joke,initiator,0,Tony
insult,receiver,0,Ben
thanks,receiver,0,Alex
thanks,receiver,5,Amber
ignore,receiver,-1,Emily
joke,initiator,5,Oliver
compliment,initiator,12,Decoy
thanks,receiver,4,Claire
joke,initiator,-2,Plankton
thanks,receiver,-2,Michael
compliment,initiator,0,Patrick
thanks,receiver,1,Pearl
joke,receiver,3,Ben
thanks,receiver,0,Claire
thanks,receiver,6,Spongebob
thanks,receiver,-2,Kofi
compliment,initiator,11,Eugene
joke,initiator,5,Emily
compliment,initiator,11,Eugene
thanks,receiver,0,Emma
compliment,initiator,26,Emma
joke,initiator,2,Ben
thanks,receiver,0,Oliver
ignore,receiver,-1,Eugene
joke,initiator,0,Spongebob
compliment,initiator,5,Oliver
joke,initiator,0,Decoy
thanks,initiator,6,Emily
compliment,initiator,28,Patrick
compliment,initiator,0,Amber
thanks,initiator,4,Decoy
joke,initiator,1,Amber
compliment,receiver,-5,Conald
joke,initiator,0,Dylan
joke,receiver,0,Eugene
joke,initiator,0,Eugene
thanks,receiver,0,Alex
joke,initiator,-4,Squidward
thanks,initiator,0,Emma
thanks,receiver,0,Emily
thanks,receiver,3,Jimmy
thanks,initiator,0,Oliver
compliment,initiator,5,Tony
joke,initiator,1,Dom
argue,initiator,-7,Dylan
compliment,initiator,4,Tony
argue,initiator,3,Conald
thanks,receiver,3,Conald
thanks,receiver,-1,Eugene
joke,initiator,2,Dylan
compliment,initiator,2,Jimmy
compliment,initiator,0,Emily
compliment,receiver,-4,Michael
thanks,receiver,4,Conald
joke,initiator,0,Eugene
joke,initiator,4,Claire
joke,initiator,0,Michael
joke,receiver,0,Michael
compliment,initiator,12,Eugene
thanks,receiver,-4,Ponchis
argue,initiator,-2,Dom
compliment,initiator,26,Emma
joke,initiator,-1,Squidward
insult,initiator,-2,Tony
compliment,initiator,0,Jimmy
thanks,receiver,1,Oliver
thanks,receiver,2,Conald
thanks,receiver,-5,Kofi
joke,initiator,-3,Kofi
compliment,initiator,9,Eugene
joke,initiator,0,Eugene
thanks,receiver,0,Claire
thanks,initiator,0,Jimmy
thanks,receiver,6,Alex
joke,initiator,0,Emily
thanks,receiver,4,Pearl
thanks,receiver,0,Claire
thanks,receiver,1,Oliver
compliment,initiator,34,Emma
thanks,receiver,2,Ponchis
thanks,receiver,0,Claire
compliment,initiator,6,Pearl
compliment,initiator,0,Ponchis
joke,initiator,3,Alex
thanks,receiver,3,Conald
joke,initiator,3,Emma
argue,initiator,2,Emma
joke,initiator,5,Amber
thanks,receiver,-2,Ponchis
joke,initiator,0,Jimmy
joke,initiator,0,Ponchis
compliment,initiator,-2,Dylan
thanks,initiator,-1,Squidward
thanks,receiver,1,Oliver
thanks,receiver,7,Claire
joke,initiator,2,Dylan
compliment,initiator,-5,Dylan
thanks,receiver,5,Conald
thanks,receiver,4,Tony
thanks,receiver,0,Claire
joke,initiator,0,Tony
thanks,receiver,4,Tony
compliment,initiator,0,Conald
compliment,initiator,0,Conald
thanks,receiver,0,Alex
compliment,initiator,0,Ben
thanks,receiver,-2,Kofi
thanks,receiver,7,Claire
compliment,receiver,-2,Emily
joke,initiator,1,Emily
compliment,initiator,-4,Claire
compliment,initiator,0,Michael
compliment,receiver,2,Jimmy
joke,receiver,0,Conald
thanks,receiver,0,Decoy
joke,initiator,3,Dylan
compliment,initiator,0,Dylan
compliment,receiver,0,Ben
thanks,initiator,5,Amber
joke,initiator,1,Emily
compliment,initiator,0,Emma
joke,initiator,1,Patrick
compliment,receiver,8,Pearl
thanks,initiator,5,Tony
thanks,receiver,0,Dylan
thanks,receiver,0,Jimmy
thanks,receiver,4,Pearl
joke,initiator,3,Emma
thanks,initiator,-5,Michael
compliment,initiator,-4,Spongebob
compliment,initiator,28,Claire
compliment,receiver,-2,Dylan
thanks,receiver,5,Conald
compliment,initiator,-1,Claire
joke,initiator,0,Ponchis
thanks,receiver,-3,Conald
thanks,receiver,7,Spongebob
thanks,receiver,-5,Kofi
thanks,receiver,0,Ben
joke,receiver,0,Eugene
insult,initiator,-4,Ben
compliment,receiver,0,Conald
argue,initiator,0,Plankton
compliment,initiator,0,Conald
thanks,receiver,7,Dylan
compliment,receiver,-2,Jimmy
compliment,receiver,4,Conald
compliment,initiator,0,Emma
thanks,receiver,-3,Michael
thanks,receiver,5,Conald
joke,receiver,-5,Kofi
thanks,receiver,-4,Michael
compliment,initiator,16,Pearl
compliment,receiver,5,Conald
compliment,initiator,18,Eugene
compliment,initiator,15,Dylan
thanks,receiver,0,Ponchis
argue,initiator,0,Claire
argue,initiator,-10,Dylan
thanks,receiver,0,Oliver
compliment,initiator,0,Claire
joke,initiator,0,Ben
thanks,receiver,0,Eugene
compliment,initiator,28,Emma
compliment,receiver,17,Dylan
joke,initiator,5,Claire
thanks,receiver,7,Spongebob
compliment,receiver,2,Tony
joke,initiator,2,Decoy
thanks,receiver,0,Dylan
joke,initiator,1,Spongebob
compliment,initiator,0,Emma
thanks,receiver,5,Decoy
compliment,initiator,12,Claire
thanks,receiver,0,Decoy
thanks,receiver,6,Emily
joke,initiator,0,Tony
compliment,initiator,0,Ponchis
compliment,receiver,7,Conald
thanks,receiver,-3,Michael
thanks,receiver,-2,Tony
compliment,initiator,0,Tony
compliment,receiver,-1,Michael
joke,initiator,0,Jimmy
compliment,initiator,-2,Pearl
joke,initiator,1,Decoy
argue,initiator,1,Oliver
compliment,initiator,0,Alex
thanks,receiver,1,Oliver
joke,initiator,2,Ben
thanks,receiver,4,Conald
thanks,receiver,3,Ponchis
joke,initiator,9,Plankton
thanks,receiver,5,Dylan
joke,receiver,0,Emma
compliment,initiator,3,Squidward
thanks,receiver,2,Conald
thanks,receiver,2,Tony
joke,initiator,0,Jimmy
compliment,receiver,0,Pearl
thanks,receiver,-2,Kofi
thanks,receiver,3,Pearl
compliment,initiator,34,Emily
thanks,receiver,-1,Michael
compliment,initiator,15,Eugene
compliment,initiator,-2,Kofi
compliment,initiator,0,Alex
joke,initiator,5,Dylan
compliment,receiver,-5,Kofi
thanks,receiver,0,Pearl
thanks,receiver,-1,Jimmy
compliment,initiator,8,Plankton
argue,initiator,0,Oliver
compliment,initiator,0,Claire
thanks,receiver,2,Conald
joke,initiator,-5,Squidward
compliment,initiator,0,Squidward
joke,receiver,0,Michael
thanks,initiator,6,Dom
thanks,receiver,-3,Michael
compliment,initiator,0,Ponchis
thanks,receiver,0,Claire
compliment,receiver,5,Ponchis
joke,initiator,0,Jimmy
compliment,initiator,5,Ben
