dialog,order,feedback,receiver
compliment,receiver,30,Emma
insult,receiver,-1,Alex
compliment,receiver,0,Alex
insult,initiator,-5,Emily
compliment,initiator,0,Oliver
insult,receiver,3,Conald
argue,initiator,-5,Micah
compliment,receiver,26,Alex
thanks,receiver,0,Emily
argue,initiator,-5,Dom
compliment,initiator,13,Patrick
compliment,initiator,4,Tony
compliment,initiator,0,Oliver
compliment,initiator,9,Eugene
compliment,initiator,14,Patrick
insult,initiator,5,Ponchis
compliment,receiver,6,Pearl
insult,receiver,-28,Patrick
joke,initiator,1,Alex
argue,initiator,-4,Ben
insult,initiator,3,Plankton
compliment,receiver,6,Eugene
compliment,initiator,15,Micah
compliment,initiator,-2,Oliver
compliment,receiver,3,Jimmy
compliment,receiver,7,Decoy
insult,initiator,-1,Ben
thanks,receiver,7,Dylan
insult,initiator,0,Tony
insult,initiator,-6,Ponchis
compliment,initiator,7,Ponchis
argue,initiator,-9,Oliver
insult,receiver,0,Emily
insult,receiver,-4,Conald
joke,initiator,0,Ben
argue,initiator,2,Pearl
argue,initiator,0,Alex
insult,receiver,-1,Spongebob
argue,initiator,-5,Kofi
compliment,receiver,12,Amber
compliment,receiver,5,Conald
compliment,initiator,14,Decoy
compliment,initiator,0,Spongebob
insult,receiver,-1,Emma
compliment,initiator,16,Decoy
argue,initiator,5,Jimmy
argue,initiator,0,Decoy
compliment,initiator,6,Tony
insult,initiator,-5,Amber
compliment,receiver,2,Conald
compliment,initiator,5,Pearl
compliment,receiver,15,Alex
argue,initiator,0,Plankton
insult,receiver,0,Spongebob
insult,receiver,0,Jimmy
insult,initiator,-5,Emma
compliment,initiator,16,Claire
argue,initiator,5,Micah
argue,receiver,0,Kofi
compliment,receiver,17,Micah
argue,initiator,1,Micah
insult,initiator,-4,Ben
joke,initiator,1,Amber
compliment,receiver,2,Pearl
ignore,initiator,0,Amber
insult,receiver,-4,Kofi
ignore,receiver,-4,Pearl
insult,initiator,-4,Oliver
argue,initiator,3,Pearl
compliment,initiator,28,Emma
insult,receiver,-4,Tony
ignore,initiator,-1,Spongebob
compliment,receiver,-3,Tony
insult,initiator,0,Plankton
compliment,receiver,0,Jimmy
compliment,initiator,0,Decoy
compliment,receiver,3,Pearl
ignore,receiver,0,Amber
compliment,receiver,4,Ponchis
insult,initiator,0,Tony
argue,initiator,2,Emma
argue,receiver,0,Pearl
argue,initiator,-5,Oliver
compliment,receiver,7,Ponchis
joke,initiator,0,Alex
compliment,receiver,18,Decoy
compliment,initiator,28,Spongebob
argue,receiver,2,Pearl
compliment,receiver,6,Conald
ignore,receiver,0,Amber
insult,initiator,-1,Patrick
argue,initiator,2,Claire
ignore,initiator,0,Dylan
compliment,receiver,17,Emma
insult,receiver,-4,Ben
ignore,receiver,0,Eugene
insult,receiver,-2,Conald
compliment,initiator,-1,Ben
compliment,receiver,3,Conald
insult,initiator,3,Eugene
compliment,initiator,6,Tony
argue,initiator,5,Emily
insult,initiator,-75,Patrick
argue,receiver,5,Amber
compliment,initiator,-3,Decoy
joke,initiator,5,Ben
compliment,initiator,6,Tony
argue,initiator,4,Kofi
insult,receiver,-4,Emily
insult,initiator,4,Eugene
argue,initiator,1,Patrick
argue,initiator,0,Claire
joke,receiver,0,Squidward
insult,initiator,-4,Dylan
joke,receiver,0,Amber
ignore,receiver,-1,Conald
ignore,initiator,0,Eugene
insult,initiator,0,Ponchis
insult,receiver,-2,Emily
