dialog,order,feedback,receiver
joke,initiator,3,Kofi
ignore,receiver,-2,Michael
ignore,receiver,0,Micah
joke,initiator,3,Patrick
joke,receiver,0,Michael
thanks,receiver,4,Claire
thanks,receiver,7,Spongebob
joke,initiator,0,Emma
joke,initiator,0,Decoy
thanks,receiver,5,Alex
joke,initiator,0,Decoy
ignore,receiver,-3,Jimmy
thanks,receiver,4,Claire
ignore,receiver,-9,Kofi
thanks,receiver,-5,Micah
joke,initiator,0,Tony
joke,initiator,0,Emma
thanks,receiver,5,Alex
joke,initiator,0,Squidward
ignore,receiver,-5,Michael
thanks,initiator,1,Ben
thanks,receiver,0,Amber
thanks,initiator,-3,Conald
thanks,receiver,5,Claire
ignore,receiver,-10,Amber
thanks,receiver,6,Emily
joke,initiator,0,Tony
joke,initiator,3,Emily
ignore,receiver,-5,Eugene
joke,initiator,5,Micah
ignore,receiver,0,Michael
joke,initiator,0,Dylan
joke,initiator,1,Claire
thanks,receiver,0,Micah
joke,initiator,5,Spongebob
thanks,receiver,-3,Eugene
joke,initiator,0,Jimmy
joke,initiator,0,Decoy
joke,initiator,1,Kofi
joke,initiator,0,Ponchis
ignore,receiver,2,Squidward
joke,initiator,4,Patrick
joke,receiver,0,Ponchis
joke,initiator,3,Patrick
joke,initiator,0,Jimmy
ignore,receiver,-2,Pearl
joke,receiver,3,Pearl
thanks,receiver,5,Micah
thanks,receiver,4,Tony
joke,initiator,0,Tony
joke,initiator,1,Kofi
joke,initiator,0,Dom
joke,initiator,0,Ben
ignore,receiver,-4,Conald
joke,initiator,0,Ponchis
thanks,receiver,0,Spongebob
joke,receiver,0,Conald
ignore,receiver,-1,Ponchis
joke,initiator,0,Tony
joke,initiator,0,Tony
compliment,initiator,0,Emma
ignore,receiver,-5,Kofi
joke,initiator,0,Decoy
ignore,receiver,-5,Ben
joke,initiator,-2,Squidward
joke,initiator,0,Tony
joke,receiver,0,Conald
ignore,receiver,0,Michael
joke,receiver,0,Jimmy
joke,initiator,1,Emily
joke,initiator,0,Ponchis
ignore,receiver,0,Pearl
compliment,initiator,32,Micah
joke,initiator,2,Patrick
compliment,initiator,0,Spongebob
thanks,receiver,3,Pearl
compliment,initiator,17,Spongebob
compliment,initiator,-4,Spongebob
joke,initiator,2,Patrick
joke,initiator,0,Squidward
thanks,receiver,3,Conald
thanks,receiver,0,Emma
ignore,receiver,0,Claire
joke,initiator,4,Micah
compliment,initiator,0,Squidward
argue,receiver,3,Michael
joke,receiver,3,Spongebob
joke,receiver,0,Jimmy
joke,initiator,0,Alex
joke,initiator,0,Decoy
thanks,receiver,0,Emily
joke,receiver,0,Decoy
compliment,initiator,-2,Alex
joke,receiver,0,Ponchis
thanks,receiver,3,Decoy
joke,initiator,3,Patrick
joke,initiator,0,Tony
joke,receiver,4,Emma
ignore,receiver,0,Emily
joke,initiator,5,Alex
argue,initiator,4,Emily
joke,receiver,0,Eugene
joke,initiator,2,Micah
compliment,initiator,-3,Decoy
thanks,receiver,-1,Conald
ignore,initiator,-3,Jimmy
joke,receiver,0,Eugene
joke,receiver,0,Ben
joke,initiator,-3,Pearl
joke,initiator,2,Kofi
joke,initiator,0,Dylan
joke,receiver,0,Eugene
ignore,receiver,-1,Decoy
ignore,receiver,0,Ponchis
joke,initiator,4,Emma
joke,initiator,0,Amber
argue,initiator,3,Claire
joke,initiator,0,Ben
joke,initiator,0,Tony
joke,initiator,4,Claire
joke,receiver,-5,Pearl
ignore,receiver,-4,Decoy
joke,initiator,12,Squidward
thanks,receiver,0,Eugene
compliment,initiator,0,Decoy
ignore,receiver,0,Decoy
joke,initiator,1,Dom
joke,receiver,3,Dylan
joke,receiver,3,Dylan
joke,initiator,1,Spongebob
ignore,receiver,-1,Ben
joke,initiator,2,Alex
thanks,receiver,-3,Michael
joke,initiator,3,Dylan
ignore,receiver,-1,Conald
joke,initiator,0,Eugene
joke,initiator,5,Emma
thanks,receiver,2,Ponchis
joke,initiator,6,Squidward
thanks,receiver,4,Ponchis
joke,initiator,0,Jimmy
thanks,receiver,2,Pearl
thanks,receiver,-4,Kofi
ignore,receiver,-9,Conald
compliment,initiator,32,Spongebob
joke,initiator,0,Jimmy
joke,initiator,3,Squidward
joke,initiator,0,Decoy
compliment,initiator,17,Alex
joke,receiver,0,Michael
thanks,receiver,2,Conald
compliment,initiator,2,Patrick
compliment,initiator,0,Dylan
joke,initiator,4,Dylan
ignore,receiver,0,Claire
compliment,receiver,34,Spongebob
compliment,initiator,20,Decoy
thanks,receiver,0,Amber
compliment,initiator,34,Dylan
compliment,initiator,22,Decoy
joke,initiator,1,Emily
compliment,receiver,-5,Decoy
ignore,initiator,0,Tony
joke,initiator,5,Ben
joke,initiator,2,Claire
compliment,initiator,0,Pearl
compliment,receiver,1,Alex
ignore,receiver,0,Dylan
compliment,receiver,4,Eugene
ignore,receiver,-1,Alex
joke,initiator,0,Conald
thanks,receiver,3,Pearl
ignore,receiver,-3,Pearl
ignore,initiator,-3,Tony
joke,initiator,0,Conald
joke,initiator,0,Jimmy
joke,initiator,0,Kofi
insult,initiator,-2,Micah
compliment,receiver,18,Eugene
compliment,initiator,4,Squidward
compliment,receiver,30,Spongebob
ignore,receiver,-2,Spongebob
compliment,initiator,0,Eugene
compliment,initiator,-4,Spongebob
compliment,initiator,2,Conald
compliment,initiator,0,Pearl
compliment,initiator,20,Eugene
thanks,receiver,-5,Kofi
thanks,receiver,0,Dylan
compliment,initiator,0,Emily
compliment,receiver,-1,Kofi
joke,receiver,0,Michael
joke,initiator,0,Amber
joke,initiator,0,Spongebob
thanks,receiver,5,Decoy
joke,initiator,0,Conald
joke,initiator,0,Kofi
joke,initiator,0,Pearl
compliment,initiator,-4,Michael
joke,initiator,3,Squidward
thanks,receiver,0,Micah
ignore,receiver,-3,Kofi
joke,receiver,0,Claire
thanks,receiver,0,Michael
compliment,receiver,0,Emily
ignore,initiator,-2,Pearl
joke,initiator,0,Ponchis
joke,initiator,4,Micah
joke,initiator,4,Decoy
compliment,initiator,0,Amber
joke,initiator,5,Dylan
thanks,receiver,7,Amber
joke,initiator,0,Claire
ignore,receiver,-10,Michael
compliment,initiator,14,Claire
thanks,receiver,-2,Michael
ignore,receiver,0,Ponchis
compliment,initiator,6,Squidward
joke,initiator,5,Claire
joke,initiator,0,Dylan
thanks,receiver,-1,Michael
compliment,receiver,1,Jimmy
compliment,initiator,32,Eugene
insult,initiator,-4,Plankton
thanks,receiver,0,Claire
thanks,receiver,0,Micah
thanks,receiver,2,Conald
compliment,initiator,34,Amber
thanks,receiver,0,Amber
thanks,initiator,0,Patrick
compliment,initiator,0,Emma
joke,initiator,-4,Kofi
thanks,receiver,-3,Michael
thanks,receiver,7,Eugene
joke,initiator,5,Claire
compliment,initiator,0,Squidward
thanks,receiver,3,Pearl
ignore,receiver,-5,Eugene
