dialog,order,feedback,receiver
thanks,receiver,0,Claire
joke,receiver,5,Oliver
joke,receiver,0,Pearl
thanks,receiver,0,Kofi
joke,receiver,0,Michael
thanks,receiver,-5,Michael
thanks,receiver,0,Alex
compliment,initiator,-3,Michael
thanks,receiver,0,Emma
joke,receiver,0,Dylan
thanks,receiver,0,Claire
insult,receiver,-1,Pearl
thanks,receiver,4,Claire
joke,initiator,0,Ponchis
thanks,receiver,5,Decoy
thanks,receiver,6,Micah
thanks,receiver,5,Jimmy
insult,receiver,0,Tony
thanks,receiver,7,Emma
thanks,receiver,3,Ponchis
joke,initiator,4,Ben
thanks,receiver,5,Jimmy
insult,receiver,2,Eugene
thanks,receiver,-5,Jimmy
joke,initiator,4,Emily
thanks,receiver,7,Micah
thanks,receiver,0,Amber
thanks,receiver,1,Ben
insult,receiver,-4,Kofi
thanks,receiver,-5,Kofi
thanks,receiver,0,Dylan
thanks,receiver,5,Jimmy
thanks,receiver,6,Alex
thanks,receiver,0,Oliver
thanks,receiver,1,Oliver
joke,initiator,0,Squidward
compliment,receiver,0,Spongebob
thanks,receiver,0,Emma
insult,receiver,-3,Kofi
thanks,receiver,3,Jimmy
insult,receiver,-68,Dylan
thanks,receiver,-4,Ponchis
thanks,receiver,-5,Kofi
insult,receiver,-2,Conald
thanks,receiver,3,Conald
compliment,initiator,0,Dom
thanks,receiver,3,Pearl
insult,receiver,-4,Kofi
thanks,receiver,0,Claire
thanks,receiver,-4,Eugene
thanks,receiver,0,Ponchis
thanks,receiver,0,Oliver
thanks,receiver,0,Amber
thanks,receiver,0,Jimmy
thanks,receiver,0,Oliver
thanks,receiver,6,Alex
thanks,receiver,6,Alex
thanks,receiver,-5,Conald
insult,receiver,-2,Jimmy
insult,receiver,-5,Michael
thanks,receiver,0,Ben
thanks,receiver,6,Alex
thanks,receiver,7,Amber
thanks,receiver,-3,Ponchis
thanks,receiver,1,Oliver
thanks,receiver,-4,Conald
thanks,receiver,0,Eugene
joke,initiator,0,Tony
compliment,initiator,0,Dylan
joke,initiator,5,Claire
joke,initiator,0,Ponchis
thanks,receiver,-2,Eugene
ignore,receiver,-1,Michael
thanks,receiver,0,Amber
thanks,receiver,0,Emily
thanks,receiver,-2,Michael
thanks,receiver,3,Conald
thanks,receiver,0,Decoy
joke,initiator,1,Claire
joke,receiver,0,Eugene
thanks,receiver,1,Ben
insult,receiver,-2,Conald
insult,receiver,-4,Tony
thanks,receiver,-1,Jimmy
insult,receiver,-5,Conald
thanks,receiver,3,Decoy
joke,receiver,0,Tony
insult,receiver,-3,Jimmy
thanks,receiver,-5,Kofi
insult,receiver,-2,Tony
argue,initiator,-10,Claire
thanks,receiver,0,Micah
thanks,receiver,0,Spongebob
joke,receiver,-4,Squidward
thanks,receiver,0,Ben
thanks,receiver,5,Conald
joke,initiator,0,Ben
thanks,receiver,5,Conald
thanks,receiver,3,Tony
insult,receiver,-12,Squidward
thanks,receiver,-2,Michael
thanks,receiver,0,Spongebob
insult,receiver,0,Kofi
joke,initiator,0,Jimmy
thanks,receiver,1,Oliver
insult,receiver,-4,Michael
thanks,receiver,-3,Michael
compliment,receiver,0,Squidward
insult,receiver,-3,Alex
thanks,receiver,2,Tony
insult,receiver,-4,Conald
ignore,receiver,-4,Tony
ignore,receiver,0,Jimmy
thanks,receiver,0,Pearl
thanks,receiver,2,Eugene
thanks,receiver,6,Emma
ignore,receiver,-5,Oliver
thanks,receiver,-5,Jimmy
ignore,receiver,-1,Amber
thanks,receiver,0,Ben
thanks,receiver,0,Pearl
thanks,receiver,5,Dylan
thanks,receiver,4,Ponchis
thanks,receiver,7,Amber
thanks,receiver,0,Micah
thanks,receiver,-1,Michael
thanks,receiver,7,Amber
thanks,receiver,6,Dylan
thanks,receiver,0,Amber
thanks,receiver,7,Spongebob
thanks,receiver,4,Conald
thanks,receiver,-3,Kofi
thanks,receiver,4,Conald
thanks,receiver,3,Squidward
thanks,receiver,3,Ponchis
thanks,receiver,7,Claire
thanks,receiver,0,Decoy
thanks,receiver,-5,Jimmy
thanks,receiver,1,Ben
thanks,receiver,0,Kofi
thanks,receiver,0,Micah
thanks,receiver,7,Micah
thanks,receiver,3,Pearl
insult,receiver,0,Michael
thanks,receiver,0,Emma
thanks,receiver,-5,Michael
ignore,receiver,0,Ben
thanks,receiver,5,Ponchis
thanks,receiver,-5,Kofi
thanks,receiver,1,Squidward
thanks,receiver,0,Alex
thanks,receiver,2,Conald
thanks,receiver,-4,Tony
thanks,receiver,-2,Michael
thanks,receiver,0,Spongebob
thanks,receiver,7,Amber
compliment,receiver,32,Amber
ignore,receiver,-3,Kofi
