dialog,order,feedback,receiver
argue,initiator,0,Decoy
argue,initiator,0,Kofi
insult,initiator,-34,Emma
ignore,receiver,-2,Spongebob
argue,initiator,0,Patrick
argue,initiator,-3,Spongebob
argue,initiator,0,Claire
argue,initiator,5,Squidward
argue,initiator,1,Squidward
argue,initiator,0,Claire
argue,initiator,5,Alex
argue,initiator,0,Claire
thanks,receiver,-2,Ponchis
argue,initiator,-10,Alex
thanks,initiator,0,Michael
argue,initiator,0,Ponchis
argue,initiator,-4,Patrick
argue,initiator,0,Ponchis
compliment,initiator,5,Conald
insult,receiver,0,Claire
argue,initiator,0,Spongebob
compliment,initiator,0,Alex
argue,initiator,-6,Ben
joke,initiator,2,Claire
compliment,initiator,30,Emma
compliment,initiator,32,Emma
argue,initiator,0,Emma
argue,receiver,0,Kofi
argue,initiator,2,Amber
argue,receiver,0,Amber
ignore,initiator,0,Micah
ignore,receiver,-1,Jimmy
thanks,receiver,5,Claire
thanks,receiver,3,Jimmy
argue,initiator,0,Ponchis
argue,initiator,3,Alex
ignore,receiver,0,Dylan
compliment,initiator,0,Amber
argue,initiator,4,Emily
argue,initiator,0,Dylan
thanks,receiver,-4,Michael
thanks,receiver,4,Amber
thanks,receiver,6,Claire
argue,initiator,0,Tony
argue,initiator,6,Kofi
argue,initiator,0,Decoy
argue,initiator,2,Amber
thanks,receiver,-5,Ponchis
ignore,initiator,-4,Amber
insult,initiator,-5,Decoy
argue,initiator,0,Ben
argue,initiator,5,Emily
argue,initiator,-7,Oliver
argue,initiator,3,Oliver
argue,initiator,2,Dylan
argue,initiator,3,Amber
thanks,receiver,0,Ben
insult,initiator,0,Conald
thanks,receiver,0,Ben
ignore,initiator,-4,Eugene
ignore,receiver,0,Emma
joke,initiator,0,Eugene
thanks,receiver,-5,Michael
thanks,receiver,7,Claire
insult,initiator,-2,Decoy
thanks,receiver,0,Kofi
argue,initiator,2,Dylan
argue,receiver,0,Jimmy
thanks,initiator,0,Alex
joke,initiator,0,Decoy
thanks,receiver,0,Amber
insult,receiver,0,Ponchis
insult,receiver,-5,Ben
argue,initiator,0,Emily
ignore,initiator,0,Decoy
argue,initiator,-6,Emma
argue,initiator,0,Patrick
compliment,initiator,-5,Michael
argue,initiator,0,Alex
argue,initiator,0,Eugene
argue,initiator,1,Dylan
joke,initiator,0,Michael
argue,initiator,-3,Dom
ignore,receiver,-5,Michael
argue,initiator,-4,Oliver
argue,initiator,0,Oliver
argue,initiator,-2,Dylan
thanks,receiver,5,Conald
argue,initiator,2,Michael
argue,initiator,0,Claire
argue,initiator,-5,Claire
ignore,initiator,-2,Emily
argue,initiator,3,Emily
argue,initiator,0,Michael
argue,initiator,-2,Micah
argue,initiator,-9,Claire
argue,initiator,0,Tony
argue,initiator,3,Jimmy
argue,initiator,0,Michael
thanks,receiver,0,Micah
argue,initiator,0,Tony
argue,initiator,0,Kofi
argue,initiator,0,Ben
argue,initiator,0,Tony
argue,initiator,0,Decoy
ignore,receiver,-3,Emma
argue,initiator,0,Squidward
argue,initiator,3,Amber
argue,initiator,-7,Claire
argue,initiator,0,Decoy
argue,initiator,0,Tony
argue,initiator,2,Spongebob
insult,receiver,-3,Kofi
argue,initiator,2,Alex
argue,initiator,-3,Ben
argue,initiator,0,Decoy
argue,initiator,4,Amber
argue,initiator,3,Dylan
argue,initiator,0,Decoy
ignore,initiator,0,Eugene
thanks,initiator,-1,Kofi
argue,initiator,-5,Dom
