dialog,order,feedback,receiver
insult,receiver,-4,Emily
ignore,receiver,-5,Tony
ignore,receiver,0,Micah
insult,receiver,-1,Alex
argue,receiver,-1,Spongebob
ignore,receiver,-2,Michael
insult,receiver,2,Micah
joke,receiver,0,Dylan
argue,receiver,0,Michael
ignore,receiver,0,Ponchis
insult,receiver,-2,Emily
ignore,receiver,-3,Spongebob
argue,receiver,3,Amber
ignore,receiver,-5,Tony
ignore,receiver,-4,Michael
ignore,receiver,-10,Kofi
ignore,receiver,0,Claire
argue,receiver,0,Ponchis
argue,receiver,4,Amber
ignore,receiver,0,Squidward
ignore,receiver,0,Decoy
ignore,receiver,-1,Ben
ignore,receiver,-2,Ponchis
argue,receiver,3,Squidward
argue,receiver,4,Alex
insult,receiver,5,Eugene
argue,receiver,3,Squidward
ignore,receiver,-2,Conald
argue,receiver,3,Conald
ignore,receiver,0,Michael
ignore,receiver,0,Amber
argue,receiver,3,Micah
ignore,receiver,3,Kofi
ignore,receiver,0,Claire
ignore,receiver,0,Decoy
ignore,receiver,2,Dom
ignore,receiver,0,Michael
ignore,receiver,0,Emily
argue,receiver,0,Ponchis
argue,receiver,0,Ponchis
ignore,receiver,1,Claire
ignore,receiver,-3,Conald
ignore,receiver,0,Dylan
ignore,receiver,-2,Tony
ignore,receiver,-10,Conald
ignore,receiver,0,Decoy
argue,receiver,2,Emily
argue,receiver,3,Emily
argue,receiver,-10,Micah
ignore,receiver,-9,Conald
ignore,receiver,-3,Conald
argue,receiver,4,Kofi
insult,receiver,-4,Michael
argue,receiver,0,Ponchis
ignore,receiver,0,Michael
ignore,receiver,-3,Micah
ignore,receiver,-5,Oliver
ignore,receiver,0,Spongebob
ignore,receiver,-2,Michael
ignore,receiver,-3,Eugene
ignore,receiver,-1,Emily
argue,receiver,4,Claire
insult,receiver,-4,Kofi
insult,receiver,0,Tony
argue,receiver,-9,Emily
ignore,receiver,-1,Emily
insult,receiver,-2,Michael
argue,receiver,5,Amber
ignore,receiver,-2,Michael
ignore,receiver,-3,Claire
ignore,receiver,-3,Claire
ignore,receiver,0,Emma
ignore,receiver,0,Amber
insult,receiver,0,Conald
argue,receiver,-7,Emily
ignore,receiver,-5,Emma
argue,receiver,-3,Kofi
ignore,receiver,0,Emily
ignore,receiver,-5,Conald
argue,receiver,4,Emma
ignore,receiver,-2,Pearl
ignore,receiver,0,Emily
thanks,receiver,0,Oliver
argue,receiver,9,Conald
argue,receiver,-5,Spongebob
thanks,receiver,7,Claire
ignore,receiver,-4,Kofi
argue,receiver,-8,Ben
ignore,receiver,-2,Micah
thanks,receiver,-3,Michael
argue,receiver,2,Amber
argue,receiver,1,Kofi
ignore,receiver,-2,Pearl
ignore,receiver,0,Alex
argue,receiver,0,Alex
thanks,receiver,7,Dom
thanks,receiver,0,Eugene
thanks,receiver,3,Pearl
argue,receiver,-6,Micah
thanks,receiver,0,Oliver
argue,receiver,0,Tony
argue,receiver,-4,Eugene
thanks,receiver,-4,Michael
argue,receiver,3,Claire
argue,receiver,0,Michael
thanks,receiver,0,Tony
argue,receiver,-8,Emily
argue,initiator,-9,Emily
argue,receiver,-5,Claire
thanks,receiver,3,Pearl
argue,receiver,0,Tony
thanks,receiver,0,Kofi
thanks,receiver,0,Kofi
thanks,receiver,0,Alex
thanks,receiver,5,Emily
argue,initiator,-9,Dylan
thanks,receiver,0,Oliver
argue,receiver,-5,Amber
thanks,receiver,0,Claire
thanks,receiver,0,Emily
argue,initiator,2,Claire
ignore,receiver,0,Alex
