dialog,order,feedback,receiver
ignore,receiver,-4,Conald
argue,initiator,-2,Spongebob
ignore,receiver,-1,Emily
ignore,receiver,-1,Micah
argue,initiator,0,Pearl
ignore,receiver,-5,Spongebob
ignore,receiver,0,Jimmy
ignore,receiver,-3,Alex
insult,receiver,-5,Amber
ignore,receiver,0,Michael
ignore,receiver,-2,Pearl
ignore,receiver,-3,Emma
ignore,receiver,0,Ben
argue,initiator,-1,Ben
joke,initiator,1,Claire
ignore,receiver,-3,Pearl
ignore,receiver,0,Patrick
insult,initiator,-4,Kofi
joke,initiator,0,Eugene
joke,initiator,2,Emily
ignore,receiver,-4,Spongebob
joke,initiator,0,Decoy
joke,initiator,0,Jimmy
argue,initiator,-6,Patrick
ignore,receiver,-3,Conald
ignore,receiver,3,Pearl
insult,receiver,-2,Michael
ignore,receiver,-3,Michael
ignore,receiver,-4,Eugene
insult,initiator,-5,Emily
ignore,receiver,-3,Conald
joke,initiator,0,Eugene
ignore,receiver,-2,Jimmy
joke,initiator,5,Amber
compliment,initiator,26,Alex
joke,initiator,5,Alex
joke,initiator,0,Eugene
ignore,receiver,-4,Oliver
insult,initiator,-5,Emma
ignore,initiator,0,Pearl
joke,initiator,4,Ben
ignore,receiver,-4,Conald
joke,initiator,5,Oliver
joke,initiator,0,Conald
ignore,receiver,-5,Emma
insult,initiator,-4,Tony
insult,receiver,0,Decoy
ignore,receiver,-2,Emily
joke,initiator,0,Emily
ignore,receiver,0,Amber
ignore,receiver,0,Alex
joke,initiator,0,Conald
insult,initiator,0,Claire
ignore,receiver,-4,Spongebob
ignore,receiver,-5,Oliver
compliment,initiator,6,Plankton
compliment,initiator,24,Patrick
thanks,initiator,0,Amber
insult,initiator,-2,Oliver
joke,initiator,0,Eugene
insult,initiator,-2,Spongebob
insult,receiver,-1,Jimmy
joke,initiator,-1,Kofi
ignore,receiver,-5,Emily
ignore,receiver,-3,Dylan
argue,initiator,-6,Alex
argue,initiator,-3,Conald
ignore,receiver,0,Eugene
insult,initiator,-6,Pearl
insult,initiator,2,Dylan
joke,initiator,1,Micah
joke,initiator,2,Dom
insult,initiator,-1,Kofi
ignore,receiver,0,Tony
insult,initiator,-1,Emily
ignore,receiver,-2,Oliver
ignore,receiver,-4,Emily
joke,initiator,4,Patrick
joke,initiator,0,Jimmy
joke,initiator,4,Alex
insult,initiator,0,Michael
argue,initiator,2,Jimmy
ignore,receiver,-2,Eugene
joke,initiator,5,Micah
ignore,initiator,0,Michael
argue,initiator,2,Alex
thanks,initiator,6,Amber
argue,initiator,0,Emma
insult,initiator,-3,Alex
ignore,receiver,-5,Micah
ignore,receiver,-2,Kofi
argue,initiator,-3,Ben
joke,initiator,0,Decoy
joke,initiator,5,Oliver
insult,initiator,-5,Patrick
ignore,receiver,-1,Jimmy
joke,initiator,-3,Plankton
ignore,receiver,-3,Emma
ignore,receiver,0,Emily
joke,initiator,0,Micah
ignore,receiver,0,Micah
ignore,receiver,-2,Decoy
joke,initiator,2,Claire
joke,initiator,5,Amber
joke,initiator,2,Claire
joke,initiator,1,Dom
ignore,receiver,0,Patrick
ignore,receiver,0,Claire
insult,initiator,-1,Conald
joke,initiator,-5,Kofi
thanks,initiator,0,Claire
ignore,receiver,0,Decoy
ignore,receiver,0,Dylan
ignore,receiver,-1,Emma
ignore,receiver,-1,Ben
ignore,receiver,-2,Emily
ignore,receiver,-3,Emily
thanks,initiator,3,Decoy
joke,initiator,0,Decoy
joke,initiator,0,Eugene
joke,initiator,0,Tony
insult,initiator,-2,Oliver
joke,initiator,4,Dylan
ignore,receiver,-4,Dylan
joke,initiator,0,Decoy
joke,initiator,3,Emily
compliment,initiator,0,Emma
ignore,receiver,0,Michael
ignore,receiver,-5,Kofi
