dialog,order,feedback,receiver
argue,initiator,-3,Dylan
thanks,receiver,0,Amber
compliment,receiver,9,Ponchis
joke,initiator,0,Tony
joke,initiator,5,Micah
joke,initiator,0,Pearl
thanks,receiver,0,Claire
compliment,initiator,2,Conald
compliment,receiver,6,Pearl
joke,initiator,2,Ben
argue,initiator,0,Emma
compliment,initiator,28,Alex
compliment,initiator,5,Oliver
thanks,receiver,0,Kofi
thanks,receiver,0,Claire
joke,initiator,1,Alex
joke,initiator,5,Claire
joke,initiator,0,Jimmy
compliment,initiator,7,Ponchis
joke,initiator,0,Conald
compliment,initiator,30,Dylan
argue,initiator,5,Plankton
compliment,receiver,-2,Conald
thanks,receiver,0,Claire
thanks,receiver,3,Pearl
joke,initiator,3,Emily
thanks,initiator,5,Jimmy
compliment,initiator,6,Decoy
compliment,initiator,2,Kofi
compliment,initiator,7,Ponchis
joke,initiator,0,Amber
compliment,initiator,16,Micah
argue,initiator,0,Decoy
joke,receiver,0,Conald
thanks,receiver,-2,Eugene
thanks,receiver,0,Amber
argue,initiator,-1,Dom
compliment,initiator,-2,Alex
compliment,initiator,4,Tony
thanks,receiver,4,Micah
thanks,receiver,1,Oliver
compliment,receiver,0,Jimmy
compliment,initiator,10,Eugene
thanks,receiver,2,Conald
compliment,initiator,-2,Michael
thanks,receiver,5,Conald
compliment,initiator,32,Claire
compliment,initiator,3,Jimmy
argue,initiator,-1,Kofi
thanks,receiver,-4,Michael
thanks,receiver,6,Alex
compliment,initiator,30,Alex
thanks,initiator,0,Dylan
compliment,initiator,-4,Tony
thanks,receiver,-5,Kofi
insult,initiator,-51,Patrick
joke,initiator,0,Eugene
compliment,initiator,17,Emily
joke,receiver,0,Amber
compliment,initiator,0,Decoy
ignore,initiator,-2,Michael
compliment,initiator,4,Ponchis
compliment,initiator,0,Oliver
joke,initiator,3,Alex
thanks,receiver,3,Ponchis
thanks,receiver,1,Ben
compliment,initiator,10,Ben
argue,initiator,6,Dylan
thanks,receiver,2,Tony
thanks,receiver,6,Alex
joke,initiator,2,Dylan
joke,initiator,0,Conald
compliment,initiator,0,Plankton
compliment,receiver,28,Amber
joke,initiator,5,Emily
compliment,initiator,18,Decoy
thanks,receiver,0,Oliver
thanks,receiver,-4,Michael
thanks,receiver,6,Amber
joke,receiver,0,Oliver
compliment,initiator,0,Tony
thanks,receiver,1,Oliver
compliment,initiator,-2,Emily
thanks,receiver,-3,Jimmy
compliment,receiver,0,Conald
joke,receiver,0,Jimmy
thanks,receiver,0,Claire
joke,initiator,0,Oliver
compliment,receiver,0,Amber
thanks,receiver,5,Conald
