dialog,order,feedback,receiver
argue,receiver,5,Pearl
argue,receiver,3,Pearl
ignore,receiver,-2,Eugene
ignore,receiver,-2,Oliver
ignore,receiver,0,Eugene
ignore,receiver,0,Emily
argue,initiator,0,Ben
argue,receiver,6,Amber
ignore,receiver,-5,Eugene
argue,initiator,-6,Oliver
insult,receiver,-2,Micah
argue,receiver,-6,Ben
argue,initiator,0,Claire
ignore,receiver,0,Decoy
ignore,receiver,-1,Patrick
argue,receiver,1,Jimmy
ignore,receiver,-5,Kofi
insult,receiver,-20,Ben
ignore,receiver,0,Decoy
argue,receiver,-2,Conald
ignore,receiver,-1,Tony
ignore,receiver,-3,Dylan
ignore,receiver,-1,Ben
ignore,receiver,0,Conald
insult,receiver,-3,Oliver
ignore,receiver,-5,Jimmy
insult,receiver,0,Micah
insult,receiver,-3,Amber
ignore,receiver,-3,Alex
ignore,receiver,-4,Amber
ignore,receiver,0,Oliver
insult,receiver,-5,Decoy
insult,receiver,-2,Conald
ignore,receiver,0,Oliver
ignore,receiver,-2,Ben
argue,receiver,-5,Emma
compliment,initiator,34,Claire
ignore,receiver,0,Jimmy
argue,receiver,0,Tony
argue,receiver,4,Pearl
ignore,receiver,0,Alex
insult,receiver,-5,Micah
insult,receiver,-3,Decoy
argue,initiator,0,Emma
argue,receiver,0,Tony
argue,initiator,1,Michael
compliment,initiator,5,Plankton
ignore,receiver,0,Decoy
ignore,receiver,-1,Kofi
ignore,receiver,-2,Oliver
ignore,receiver,0,Amber
ignore,receiver,-1,Claire
ignore,receiver,0,Spongebob
argue,receiver,0,Michael
argue,initiator,2,Plankton
thanks,receiver,7,Alex
insult,receiver,0,Ben
thanks,receiver,4,Ponchis
insult,receiver,0,Kofi
argue,receiver,-8,Ben
compliment,initiator,13,Claire
argue,initiator,1,Plankton
ignore,receiver,-3,Oliver
insult,receiver,-3,Conald
ignore,receiver,-1,Jimmy
insult,receiver,-2,Kofi
argue,initiator,4,Patrick
thanks,receiver,-4,Kofi
ignore,receiver,-5,Conald
argue,receiver,2,Michael
ignore,receiver,-5,Oliver
argue,initiator,-7,Patrick
ignore,receiver,-3,Conald
ignore,receiver,-1,Ponchis
insult,receiver,1,Eugene
ignore,receiver,-3,Alex
argue,initiator,-5,Amber
thanks,receiver,0,Jimmy
thanks,receiver,7,Dylan
insult,receiver,-4,Jimmy
thanks,receiver,0,Ben
argue,initiator,-9,Patrick
ignore,receiver,-2,Conald
thanks,receiver,0,Decoy
thanks,receiver,-3,Michael
thanks,receiver,2,Conald
argue,initiator,-5,Dom
ignore,receiver,0,Jimmy
argue,receiver,1,Michael
argue,receiver,3,Emily
ignore,receiver,-3,Oliver
argue,initiator,0,Emma
joke,initiator,4,Spongebob
argue,receiver,0,Spongebob
argue,receiver,0,Kofi
argue,receiver,0,Pearl
ignore,receiver,-11,Spongebob
argue,receiver,3,Dylan
argue,receiver,-1,Kofi
ignore,receiver,0,Kofi
argue,receiver,-5,Oliver
argue,initiator,-9,Decoy
argue,initiator,0,Dom
argue,receiver,5,Michael
argue,receiver,5,Kofi
argue,initiator,-7,Emily
thanks,receiver,0,Micah
thanks,receiver,7,Emily
insult,receiver,-4,Pearl
ignore,receiver,-5,Michael
argue,initiator,1,Ben
insult,receiver,-5,Kofi
ignore,receiver,0,Oliver
ignore,receiver,0,Emma
ignore,receiver,-4,Emily
ignore,receiver,0,Jimmy
argue,initiator,3,Ben
thanks,receiver,7,Emily
ignore,receiver,-2,Micah
ignore,receiver,-1,Micah
ignore,receiver,-3,Pearl
argue,receiver,0,Kofi
argue,receiver,2,Emily
thanks,receiver,7,Spongebob
argue,receiver,-2,Kofi
ignore,receiver,-1,Oliver
thanks,receiver,-1,Kofi
thanks,receiver,0,Pearl
ignore,receiver,0,Spongebob
argue,receiver,3,Emily
thanks,receiver,7,Claire
argue,receiver,-9,Micah
