dialog,order,feedback,receiver
ignore,receiver,-2,Spongebob
insult,initiator,-1,Dylan
ignore,receiver,-3,Michael
ignore,receiver,-5,Alex
argue,initiator,-3,Micah
argue,initiator,-8,Micah
insult,initiator,0,Plankton
ignore,receiver,-4,Micah
argue,receiver,0,Amber
insult,initiator,-2,Ben
argue,receiver,0,Eugene
ignore,receiver,-4,Oliver
argue,initiator,0,Alex
ignore,receiver,-4,Dylan
ignore,receiver,-2,Amber
insult,initiator,-13,Claire
argue,initiator,-8,Patrick
ignore,receiver,0,Jimmy
ignore,receiver,-4,Claire
ignore,receiver,-5,Michael
compliment,initiator,8,Eugene
argue,initiator,0,Conald
ignore,receiver,-5,Oliver
ignore,receiver,-3,Spongebob
insult,receiver,-3,Conald
argue,initiator,0,Claire
ignore,receiver,0,Claire
insult,initiator,-2,Dom
insult,receiver,-2,Kofi
argue,receiver,4,Pearl
ignore,receiver,-5,Ben
ignore,receiver,-4,Ben
insult,receiver,0,Spongebob
ignore,receiver,-5,Conald
argue,receiver,0,Eugene
insult,receiver,-3,Conald
insult,receiver,-15,Ponchis
ignore,receiver,-4,Claire
ignore,receiver,0,Decoy
ignore,receiver,-4,Micah
argue,initiator,0,Decoy
joke,initiator,0,Oliver
ignore,receiver,-3,Oliver
ignore,receiver,0,Claire
ignore,receiver,0,Michael
ignore,receiver,0,Eugene
insult,initiator,5,Eugene
ignore,receiver,-5,Micah
argue,initiator,-3,Dom
argue,initiator,3,Jimmy
ignore,receiver,-5,Claire
ignore,receiver,-3,Oliver
insult,receiver,0,Kofi
insult,initiator,-4,Spongebob
ignore,receiver,0,Amber
ignore,receiver,-5,Oliver
argue,initiator,-5,Alex
joke,initiator,12,Squidward
ignore,receiver,-1,Alex
insult,initiator,-5,Dylan
ignore,receiver,-2,Oliver
insult,receiver,-4,Claire
insult,initiator,1,Plankton
insult,initiator,-2,Amber
insult,receiver,-17,Micah
insult,initiator,0,Ponchis
ignore,receiver,-3,Amber
insult,receiver,-2,Conald
compliment,initiator,-4,Michael
insult,initiator,0,Michael
ignore,receiver,0,Spongebob
joke,initiator,1,Emma
ignore,receiver,-2,Ben
ignore,receiver,0,Michael
argue,receiver,5,Pearl
insult,initiator,-5,Emma
insult,initiator,-3,Emily
argue,receiver,3,Pearl
argue,receiver,2,Pearl
ignore,receiver,0,Emily
ignore,receiver,-1,Oliver
argue,initiator,1,Squidward
ignore,receiver,-3,Ben
insult,initiator,-35,Eugene
ignore,receiver,0,Patrick
argue,initiator,-6,Alex
ignore,receiver,-2,Alex
ignore,receiver,-5,Michael
ignore,receiver,-1,Kofi
argue,initiator,9,Conald
argue,initiator,4,Claire
ignore,receiver,-3,Amber
ignore,receiver,0,Pearl
ignore,receiver,-4,Conald
ignore,receiver,-5,Emma
insult,receiver,0,Alex
argue,receiver,-2,Conald
ignore,receiver,0,Michael
ignore,receiver,-2,Ben
insult,receiver,-2,Conald
argue,initiator,0,Squidward
argue,initiator,0,Emma
ignore,receiver,-1,Conald
ignore,receiver,-1,Claire
ignore,receiver,-2,Alex
ignore,initiator,0,Micah
ignore,receiver,0,Spongebob
ignore,receiver,0,Micah
ignore,receiver,-2,Ponchis
thanks,initiator,0,Micah
ignore,receiver,-4,Ben
argue,initiator,2,Spongebob
insult,initiator,0,Ben
insult,initiator,-2,Decoy
insult,initiator,0,Claire
ignore,receiver,5,Kofi
ignore,receiver,-4,Pearl
thanks,initiator,0,Alex
insult,initiator,-24,Patrick
insult,initiator,0,Eugene
ignore,receiver,0,Ben
ignore,receiver,-1,Eugene
ignore,receiver,0,Kofi
ignore,receiver,0,Kofi
insult,initiator,-16,Emily
ignore,receiver,0,Oliver
argue,initiator,-10,Emily
ignore,receiver,0,Ben
ignore,receiver,0,Alex
ignore,receiver,0,Ponchis
insult,initiator,3,Patrick
ignore,receiver,-3,Ponchis
ignore,receiver,-2,Amber
ignore,receiver,-4,Eugene
ignore,receiver,-1,Dylan
insult,initiator,-5,Conald
insult,receiver,-2,Pearl
ignore,receiver,-2,Alex
ignore,receiver,-2,Dylan
ignore,receiver,0,Dylan
ignore,receiver,0,Kofi
argue,initiator,-6,Patrick
ignore,receiver,-1,Micah
ignore,initiator,0,Eugene
argue,initiator,6,Kofi
joke,initiator,1,Emma
compliment,initiator,28,Dom
insult,receiver,-2,Conald
argue,initiator,5,Patrick
ignore,initiator,0,Emily
ignore,receiver,-1,Kofi
ignore,receiver,1,Conald
ignore,receiver,-1,Pearl
argue,initiator,4,Spongebob
joke,initiator,0,Conald
ignore,initiator,0,Dom
ignore,receiver,-3,Michael
ignore,receiver,-3,Conald
ignore,receiver,-5,Pearl
insult,receiver,-2,Kofi
insult,initiator,0,Decoy
ignore,receiver,-1,Jimmy
thanks,initiator,0,Amber
insult,initiator,0,Patrick
ignore,receiver,-1,Kofi
ignore,receiver,-1,Oliver
ignore,receiver,-1,Eugene
ignore,receiver,0,Conald
ignore,receiver,0,Pearl
insult,initiator,-50,Patrick
ignore,receiver,0,Spongebob
joke,initiator,0,Emily
insult,initiator,-4,Jimmy
ignore,receiver,0,Michael
argue,initiator,0,Dom
insult,receiver,-1,Oliver
ignore,receiver,-3,Eugene
ignore,receiver,-3,Dylan
ignore,receiver,-4,Ponchis
insult,initiator,-3,Decoy
argue,initiator,-3,Decoy
insult,initiator,-48,Emma
argue,initiator,0,Decoy
argue,initiator,0,Micah
argue,initiator,0,Decoy
argue,initiator,-1,Decoy
ignore,receiver,0,Emma
insult,initiator,-17,Dylan
argue,initiator,5,Jimmy
insult,initiator,4,Claire
ignore,receiver,-4,Dylan
ignore,receiver,-5,Jimmy
ignore,receiver,-3,Micah
argue,initiator,-8,Claire
ignore,receiver,-2,Kofi
insult,initiator,0,Plankton
insult,receiver,0,Michael
insult,initiator,-2,Micah
ignore,receiver,-3,Micah
argue,initiator,-6,Decoy
ignore,receiver,-3,Spongebob
ignore,receiver,0,Spongebob
ignore,receiver,-4,Amber
ignore,receiver,-1,Emma
insult,initiator,-4,Pearl
ignore,receiver,0,Emily
argue,initiator,0,Dom
ignore,receiver,-5,Michael
insult,initiator,-2,Emma
ignore,receiver,-4,Emma
insult,initiator,-2,Micah
ignore,receiver,-4,Kofi
ignore,receiver,0,Spongebob
ignore,initiator,-5,Kofi
insult,initiator,-2,Dylan
argue,initiator,3,Pearl
insult,receiver,-52,Decoy
ignore,receiver,-2,Spongebob
ignore,receiver,0,Spongebob
insult,initiator,0,Emma
insult,initiator,-3,Jimmy
ignore,receiver,0,Amber
insult,receiver,-1,Conald
insult,initiator,-1,Dylan
ignore,receiver,0,Jimmy
ignore,receiver,0,Ponchis
ignore,receiver,-5,Eugene
argue,initiator,-7,Alex
ignore,receiver,-3,Emily
ignore,receiver,-1,Spongebob
thanks,initiator,0,Jimmy
argue,initiator,0,Decoy
insult,initiator,-4,Dom
insult,initiator,-1,Plankton
ignore,receiver,-1,Conald
insult,receiver,0,Spongebob
ignore,receiver,-1,Alex
insult,receiver,0,Pearl
insult,initiator,0,Emma
ignore,receiver,-5,Ben
ignore,receiver,-1,Michael
insult,initiator,-4,Ben
ignore,receiver,-4,Michael
insult,initiator,-5,Pearl
ignore,receiver,-2,Conald
ignore,receiver,-4,Amber
argue,initiator,-10,Ponchis
ignore,receiver,0,Squidward
ignore,receiver,-7,Kofi
ignore,receiver,-3,Michael
ignore,receiver,0,Ben
argue,initiator,0,Decoy
insult,receiver,-6,Conald
argue,initiator,0,Squidward
insult,initiator,-34,Amber
argue,initiator,0,Ponchis
ignore,receiver,-2,Conald
insult,initiator,-1,Alex
insult,initiator,-1,Ponchis
ignore,receiver,-4,Claire
insult,initiator,-85,Spongebob
ignore,receiver,-12,Michael
ignore,receiver,-5,Micah
insult,initiator,-3,Squidward
insult,receiver,0,Kofi
ignore,receiver,-3,Spongebob
ignore,receiver,-4,Michael
argue,initiator,1,Jimmy
insult,initiator,-3,Ponchis
