happiness,social,open_mindedness,giving,funnybone
80,90,70,80,65
80,90,70,80,65
80,90,70,80,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
81,89,70,82,65
86,83,72,92,63
86,83,72,92,63
86,83,72,92,63
86,83,72,92,63
86,83,72,93,63
86,83,72,93,63
86,83,72,93,63
86,83,72,93,63
86,83,72,93,63
86,83,72,93,63
86,83,72,93,63
86,83,72,93,63
86,83,72,93,63
86,83,72,93,63
86,83,72,93,63
86,83,72,93,63
85,84,72,95,63
85,84,72,95,63
85,84,72,95,63
90,90,75,86,67
90,90,75,86,67
90,90,75,86,67
90,90,75,86,67
90,90,75,86,67
90,90,75,86,67
96,83,72,97,62
96,83,72,97,62
99,86,71,91,60
99,86,71,91,60
99,86,71,91,60
99,86,71,91,60
99,86,71,91,60
83,67,79,100,72
83,67,79,100,72
83,67,79,100,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,98,72
84,68,79,99,72
84,68,79,99,72
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
82,66,80,100,73
