happiness,social,open_mindedness,giving,funnybone
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
85,92,90,99,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
84,93,90,100,55
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
86,89,88,100,56
85,90,88,100,56
85,90,88,100,56
85,90,88,100,56
85,90,88,100,56
85,90,88,100,56
85,90,88,100,56
85,90,88,100,56
85,90,88,100,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
86,89,88,98,56
88,85,88,98,56
88,85,88,98,56
88,85,88,98,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,94,56
89,83,88,94,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
89,83,88,95,56
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
87,86,89,100,57
