happiness,social,open_mindedness,giving,funnybone
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
40,60,87,72,81
41,61,87,70,80
41,61,87,70,80
41,61,87,70,80
41,61,87,70,80
41,61,87,70,80
41,61,87,70,80
41,61,87,70,80
41,61,87,70,80
41,61,87,70,80
41,61,87,70,80
41,61,87,70,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,61,87,71,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,60,87,70,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
41,59,87,68,80
40,57,87,71,81
40,57,87,71,81
40,57,87,71,81
40,57,87,71,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
40,57,87,72,81
