happiness,social,open_mindedness,giving,funnybone
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,90,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,89,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,88,40
75,90,65,87,40
75,90,65,87,40
75,90,65,87,40
75,90,65,87,40
75,90,65,87,40
75,90,65,87,40
75,90,65,87,40
75,90,65,87,40
75,90,65,87,40
75,90,65,87,40
75,90,65,87,40
75,90,65,87,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,88,40
76,89,65,87,40
76,89,65,87,40
76,89,65,87,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,86,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
76,89,65,85,40
80,84,63,81,42
80,84,63,81,42
80,84,63,81,42
80,84,63,81,42
80,84,63,81,42
80,84,63,81,42
80,84,63,81,42
80,84,63,81,42
80,84,63,81,42
80,84,63,82,42
80,84,63,82,42
80,84,63,82,42
80,84,63,82,42
80,84,63,82,42
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
78,86,64,86,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
79,87,64,85,43
80,86,64,84,43
80,86,64,84,43
80,86,64,84,43
80,86,64,84,43
80,86,64,84,43
80,86,64,84,43
80,86,64,84,43
80,86,64,84,43
80,86,64,84,43
80,86,64,84,43
80,86,64,84,43
80,86,64,84,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
80,86,64,85,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
81,85,64,84,43
86,80,66,87,46
86,80,66,87,46
86,80,66,87,46
86,80,66,87,46
86,80,66,87,46
86,80,66,87,46
86,80,66,87,46
86,80,66,87,46
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
91,74,68,85,49
92,73,68,83,49
92,73,68,83,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
93,72,68,81,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
94,73,68,79,49
95,72,68,77,49
95,72,68,77,49
95,72,68,77,49
