happiness,social,open_mindedness,giving,funnybone
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
46,47,51,56,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
47,47,51,57,52
49,49,51,54,53
49,49,51,54,53
50,50,51,55,53
50,50,51,55,53
50,50,51,55,53
50,50,51,55,53
50,50,51,55,53
50,50,51,55,53
50,50,51,55,53
50,50,51,55,53
50,50,51,55,53
50,50,51,55,53
51,51,51,56,53
51,51,51,56,53
51,51,51,56,53
51,51,51,56,53
51,51,51,56,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
52,51,51,55,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
53,52,51,57,53
