happiness,social,open_mindedness,giving,funnybone
75,60,79,95,90
75,60,79,95,90
75,60,79,95,90
79,66,76,84,84
79,66,76,84,84
79,66,76,84,84
79,66,76,83,84
79,66,76,83,84
79,66,76,83,84
79,66,76,83,84
79,66,76,83,84
79,66,76,83,84
79,66,76,83,84
79,66,76,83,84
79,66,76,83,84
79,66,76,83,84
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
80,67,76,85,83
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
85,68,79,96,77
90,75,76,88,72
90,75,76,88,72
90,75,76,88,72
91,74,76,90,71
91,74,76,90,71
91,74,76,90,71
91,74,76,90,71
91,74,76,90,71
91,74,76,90,71
91,74,76,90,71
91,74,76,90,71
91,74,76,90,71
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
97,81,79,97,76
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,80,79,98,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
98,81,79,99,75
