happiness,social,open_mindedness,giving,funnybone
82,65,85,90,58
82,65,85,90,58
82,65,85,90,58
82,65,85,90,58
82,65,85,90,58
82,65,85,90,58
82,65,85,90,58
82,65,85,90,58
82,65,85,90,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
81,64,85,88,58
82,63,85,86,58
82,63,85,86,58
82,63,85,86,58
82,63,85,86,58
82,63,85,86,58
82,63,85,86,58
82,63,85,86,58
82,63,85,86,58
82,63,85,86,58
82,63,85,86,58
82,63,85,86,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,88,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
82,64,85,89,58
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,98,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
87,72,88,97,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
88,73,88,95,56
89,74,88,93,56
89,74,88,93,56
89,74,88,93,56
89,74,88,93,56
89,74,88,93,56
89,74,88,93,56
89,74,88,93,56
89,74,88,93,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,90,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,72,88,89,56
90,73,88,87,56
90,73,88,87,56
90,73,88,87,56
90,73,88,87,56
90,73,88,87,56
90,73,88,87,56
91,75,88,87,56
91,75,88,87,56
91,75,88,87,56
91,75,88,87,56
91,75,88,87,56
91,75,88,87,56
91,74,88,85,56
91,74,88,85,56
92,74,88,85,56
92,74,88,85,56
92,74,88,85,56
92,74,88,85,56
92,74,88,85,56
98,66,92,100,60
98,66,92,100,60
98,66,92,100,60
98,66,92,100,60
98,66,92,100,60
97,65,92,100,60
97,65,92,100,60
97,65,92,100,60
97,65,92,100,60
97,65,92,100,60
97,65,92,100,60
97,65,92,100,60
97,65,92,100,60
97,65,92,100,60
98,67,91,96,60
98,67,91,96,60
98,67,91,96,60
98,67,91,96,60
98,67,91,96,60
98,67,91,96,60
98,67,91,96,60
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
100,66,89,98,62
