happiness,social,open_mindedness,giving,funnybone
93,87,50,99,50
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
99,82,52,91,54
100,80,53,87,56
100,80,53,87,56
100,80,53,87,56
100,80,53,87,56
100,80,53,87,56
100,80,53,87,56
100,80,53,87,56
100,80,53,87,56
100,80,53,87,56
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
94,74,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
95,75,55,97,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
96,74,55,98,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
97,73,55,97,60
91,68,57,100,64
91,68,57,100,64
91,68,57,100,64
91,68,57,100,64
91,68,57,100,64
97,73,55,91,60
97,73,55,91,60
97,73,55,91,60
97,73,55,91,60
97,73,55,91,60
97,73,55,91,60
97,73,55,91,60
100,78,53,81,56
100,78,53,81,56
100,78,53,81,56
100,78,53,81,56
100,78,53,81,56
100,78,53,81,56
100,78,53,81,56
100,78,53,81,56
100,78,53,81,56
100,79,53,81,55
100,79,53,81,55
100,79,53,81,55
100,79,53,81,55
100,79,53,81,55
100,79,53,81,55
100,79,53,81,55
100,79,53,81,55
100,79,53,81,55
100,79,53,81,55
