happiness,social,open_mindedness,giving,funnybone
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
40,62,33,1,52
41,63,33,2,53
41,63,33,2,53
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
42,64,33,4,54
43,64,33,5,54
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
44,65,33,6,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
45,65,33,7,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
46,65,33,8,53
