happiness,social,open_mindedness,giving,funnybone
25,75,80,50,61
25,75,80,50,61
25,75,80,50,61
25,75,80,50,61
25,75,80,50,61
25,75,80,50,61
25,75,80,50,61
25,75,80,50,61
25,75,80,50,61
25,75,80,50,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,52,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,53,61
24,74,80,54,61
24,74,80,54,61
24,74,80,54,61
24,74,80,54,61
24,74,80,54,61
24,74,80,54,61
24,74,80,54,61
24,74,80,54,61
23,73,80,56,61
23,73,80,56,61
23,73,80,56,61
23,73,80,56,61
23,73,80,56,61
23,73,80,56,61
23,73,80,56,61
23,73,80,56,61
23,73,80,56,61
23,73,80,56,61
23,73,80,56,61
23,73,80,56,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,54,61
22,72,80,53,61
22,72,80,53,61
22,72,80,53,61
22,72,80,53,61
22,72,80,53,61
22,72,80,53,61
22,72,80,53,61
22,72,80,53,61
22,72,80,53,61
22,72,80,53,61
22,72,80,53,61
23,73,80,55,61
23,73,80,55,61
23,73,80,55,61
23,73,80,55,61
23,73,80,55,61
23,73,80,55,61
23,73,80,55,61
23,73,80,55,61
23,73,80,55,61
23,73,80,55,61
23,73,80,55,61
23,73,80,55,61
