happiness,social,open_mindedness,giving,funnybone
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
30,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
29,92,12,80,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
28,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
27,93,12,81,22
26,93,12,81,22
26,93,12,81,22
26,93,12,81,22
26,93,12,81,22
26,93,12,81,22
26,93,12,81,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
27,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
26,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
25,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
24,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
23,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
22,93,12,80,22
21,93,12,80,22
21,93,12,80,22
21,93,12,80,22
21,93,12,80,22
21,93,12,80,22
21,93,12,80,22
21,93,12,80,22
21,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
20,93,12,80,22
