happiness,social,open_mindedness,giving,funnybone
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
99,74,69,37,89
100,75,69,38,90
100,75,69,38,90
100,75,69,38,90
100,75,69,38,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
99,74,69,37,90
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
100,75,69,38,89
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,18,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,17,100
90,64,74,16,100
90,64,74,16,100
90,64,74,16,100
90,64,74,16,100
90,64,74,16,100
90,64,74,16,100
90,64,74,16,100
90,64,74,16,100
90,64,74,16,100
90,64,74,16,100
90,64,74,16,100
89,64,74,13,100
89,64,74,13,100
