happiness,social,open_mindedness,giving,funnybone
40,70,70,60,75
40,70,70,60,75
40,70,70,60,75
40,70,70,60,75
40,70,70,60,75
40,70,70,60,75
40,70,70,60,75
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,58,76
39,69,70,59,76
39,69,70,59,76
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
40,68,70,60,77
41,69,70,62,76
41,69,70,62,76
41,69,70,62,76
41,69,70,62,76
41,69,70,62,76
42,70,70,64,77
42,70,70,64,77
42,70,70,64,77
42,70,70,64,77
42,70,70,64,77
42,70,70,64,77
42,70,70,64,77
42,70,70,64,77
42,70,70,64,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
42,70,70,65,77
43,69,70,67,76
43,69,70,67,76
43,69,70,67,76
43,69,70,67,76
43,69,70,67,76
43,69,70,67,76
43,69,70,67,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
43,69,70,68,76
44,70,70,66,77
44,70,70,66,77
44,70,70,66,77
44,70,70,66,77
44,70,70,66,77
44,70,70,66,77
44,70,70,66,77
44,70,70,66,77
44,70,70,66,77
44,70,70,66,77
44,70,70,66,77
44,70,70,66,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,67,77
44,70,70,68,77
44,70,70,68,77
44,70,70,68,77
44,70,70,68,77
44,70,70,68,77
44,70,70,68,77
44,70,70,68,77
44,70,70,68,77
44,70,70,68,77
44,70,70,68,77
44,70,70,68,77
44,70,70,68,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
44,70,70,69,77
