happiness,social,open_mindedness,giving,funnybone
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
95,55,55,50,95
100,60,57,60,85
100,60,57,60,85
100,60,57,60,85
100,60,57,60,85
100,60,57,60,85
100,60,57,60,85
100,60,57,60,85
100,60,57,60,85
100,60,57,60,85
100,60,57,60,85
100,60,57,60,85
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
83,44,64,33,100
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
85,46,65,37,95
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,42,91
87,49,66,43,90
87,49,66,43,90
87,49,66,43,90
87,49,66,43,90
82,43,64,33,90
82,43,64,33,90
82,43,64,33,90
82,43,64,33,90
82,43,64,33,90
82,43,64,33,90
82,43,64,33,90
82,43,64,33,90
82,43,64,33,90
82,43,64,33,90
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,42,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
87,48,66,43,83
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
88,49,66,45,82
90,52,67,50,79
90,52,67,50,79
90,52,67,50,79
90,52,67,50,79
90,52,67,50,79
90,52,67,50,79
90,52,67,50,79
89,51,67,53,80
89,51,67,53,80
89,51,67,53,80
89,51,67,53,80
89,51,67,53,80
89,51,67,53,80
88,50,67,55,80
88,50,67,55,80
88,50,67,55,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
88,50,67,56,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
87,49,67,55,80
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,46,82
92,55,69,46,82
92,55,69,46,82
92,55,69,46,82
92,55,69,46,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
92,55,69,45,82
98,61,66,56,76
98,61,66,56,76
98,61,66,56,76
98,61,66,56,76
98,61,66,56,76
98,61,66,56,76
98,61,66,56,76
98,61,66,56,76
98,61,66,56,76
98,61,66,56,76
98,61,66,56,76
98,61,66,56,76
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,61,73
100,64,67,62,73
100,64,67,62,73
100,64,67,62,73
100,64,67,62,73
100,64,67,62,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
100,64,67,63,73
