happiness,social,open_mindedness,giving,funnybone
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
40,95,40,35,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
38,96,40,33,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
39,96,40,34,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
40,96,40,33,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,35,20
42,95,40,36,20
42,95,40,36,20
42,95,40,36,20
42,95,40,36,20
42,95,40,36,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
43,95,40,37,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
41,95,40,35,20
42,95,40,36,20
42,95,40,36,20
43,94,40,37,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
43,94,40,38,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
44,94,40,39,20
