happiness,social,open_mindedness,giving,funnybone
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
5,15,55,5,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
6,16,55,7,5
8,17,55,10,5
8,17,55,10,5
8,17,55,10,5
8,17,55,10,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
9,17,55,11,5
