happiness,social,open_mindedness,giving,funnybone
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
25,75,50,25,60
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,27,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
26,76,50,28,61
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
26,77,50,29,62
26,77,50,29,62
26,77,50,29,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
27,77,50,30,62
28,77,50,31,62
28,77,50,31,62
28,77,50,31,62
28,77,50,31,62
28,77,50,31,62
28,77,50,31,62
28,77,50,31,62
28,77,50,31,62
28,77,50,31,62
28,77,50,31,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
28,77,50,32,62
