happiness,social,open_mindedness,giving,funnybone
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,90,90
90,90,90,91,90
90,90,90,91,90
90,90,90,91,90
90,90,90,91,90
90,90,90,91,90
90,90,90,91,90
90,90,90,91,90
90,90,90,91,90
90,90,90,92,90
90,90,90,92,90
90,90,90,92,90
91,88,89,89,90
91,88,89,90,90
91,88,89,90,90
91,88,89,90,90
91,88,89,90,90
91,88,89,90,90
97,90,84,90,82
97,90,84,90,82
97,90,84,90,82
97,90,84,90,82
97,90,84,91,82
97,90,84,91,82
97,90,84,91,82
98,89,84,88,81
98,89,84,88,81
98,89,84,88,81
98,89,84,88,81
98,89,84,88,81
98,89,84,88,81
98,89,84,88,81
98,89,84,88,81
98,89,84,88,81
98,90,84,86,81
98,90,84,86,81
98,90,84,86,81
98,90,84,86,81
98,90,84,86,81
98,90,84,86,81
98,90,84,86,81
98,90,84,86,81
99,90,83,86,80
99,90,83,86,80
99,90,83,86,80
100,88,82,83,79
100,88,82,83,79
94,78,86,100,86
94,78,86,100,86
94,78,86,100,86
94,78,86,100,86
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,83,84,92,83
97,84,84,94,83
97,84,84,94,83
97,84,84,94,83
97,84,84,94,83
96,85,84,96,84
96,85,84,96,84
96,85,84,96,84
96,85,84,96,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
96,85,84,97,84
97,84,84,97,83
97,84,84,97,83
97,84,84,97,83
97,84,84,97,83
97,84,84,97,83
97,84,84,97,83
97,84,84,97,83
97,84,84,97,83
97,84,84,97,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,98,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
97,84,84,99,83
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,87,85,100,85
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
95,88,85,100,86
96,87,85,97,86
96,87,85,97,86
96,87,85,97,86
97,86,85,94,85
97,87,85,92,84
97,87,85,92,84
97,87,85,92,84
97,87,85,92,84
97,87,85,92,84
97,87,85,92,84
97,87,85,92,84
97,87,85,92,84
97,87,85,92,84
97,87,85,92,84
97,87,85,92,84
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,86,87,100,81
100,87,87,100,81
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,88,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
99,89,87,100,82
100,88,87,98,81
100,88,87,98,81
100,88,87,98,81
100,88,87,98,81
100,88,87,98,81
100,88,87,98,81
100,88,87,98,81
100,88,87,98,81
100,88,87,98,81
100,88,87,98,81
100,87,87,96,81
100,87,87,96,81
100,87,87,96,81
100,85,86,92,80
100,85,86,92,80
100,85,86,92,80
100,85,86,92,80
100,85,86,92,80
100,85,86,92,80
100,85,86,92,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,94,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,84,86,95,80
100,82,85,92,79
99,83,85,94,80
99,83,85,94,80
99,83,85,94,80
99,83,85,94,80
99,83,85,94,80
99,83,85,94,80
99,83,85,94,80
99,83,85,94,80
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
98,82,85,97,81
99,81,85,95,80
99,81,85,95,80
99,81,85,95,80
99,81,85,95,80
100,81,84,95,79
100,81,84,95,79
100,81,84,95,79
100,81,84,95,79
100,81,84,95,79
100,81,84,95,79
100,81,84,95,79
100,81,84,95,79
100,81,84,95,79
100,81,84,95,79
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,80,84,96,78
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,78,83,93,77
100,76,83,93,76
100,76,83,93,76
100,76,83,93,76
100,76,83,93,76
100,76,83,93,76
100,76,83,93,76
100,76,83,93,76
100,76,83,93,76
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,75,83,91,75
100,73,82,88,74
100,73,82,88,74
100,73,82,88,74
100,73,82,88,74
100,73,82,88,74
100,73,82,88,74
100,73,82,88,74
100,73,82,88,74
100,73,82,88,74
100,73,82,88,74
100,73,82,88,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,72,82,90,74
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,93,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,75
100,74,82,94,76
100,74,82,94,76
100,74,82,94,76
100,74,82,94,76
100,74,82,94,76
100,74,82,94,76
100,75,82,96,76
100,75,82,96,76
100,75,82,96,76
100,75,82,96,76
100,76,84,97,77
100,76,84,97,77
100,76,84,97,77
100,76,84,97,77
100,76,84,97,77
100,76,84,97,77
100,76,84,97,77
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,97,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
100,75,84,98,78
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
99,76,84,100,79
100,74,83,97,78
100,74,83,97,78
100,74,83,97,78
100,74,83,97,78
100,74,83,97,78
100,74,83,97,78
100,74,83,97,78
100,74,83,97,78
100,74,83,97,78
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,74,85,100,75
100,70,83,91,78
100,70,83,91,78
100,70,83,91,78
100,70,83,91,78
100,70,83,91,78
100,70,83,91,78
100,70,83,91,78
100,70,83,93,78
100,70,83,93,78
100,72,82,92,77
100,72,82,92,77
100,72,82,92,77
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,95,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,94,78
99,72,82,93,78
99,72,82,93,78
99,72,82,93,78
99,72,82,93,78
100,67,81,97,72
100,67,81,97,72
100,67,81,97,72
100,67,81,97,72
100,67,81,97,72
100,67,81,97,72
100,67,81,97,72
100,67,81,97,72
100,67,81,96,72
100,67,81,96,72
100,67,81,96,72
100,67,81,96,72
87,47,90,100,84
87,47,90,100,84
87,47,90,100,84
87,47,90,100,84
87,47,90,100,84
87,47,90,100,84
87,47,90,100,84
87,47,90,100,84
87,47,90,100,84
87,47,90,100,84
87,47,90,100,84
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
92,57,86,100,78
93,58,86,98,77
93,58,86,98,77
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
94,57,86,100,78
